col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In Congress 13th District - Democrat,,,,Member Of - Democratic State Committee 3rd Senatorial District,,,,,,,,,,,All
,Brendan F Boyle,Marjorie Margolies,Val Arkoosh,Daylin Leach,Latrice Y Bryant,Elaine Tomlin,David Rodriguez,Gwen Collins,Edward M Lloyd Jr,Barbara Carroll,Humberto Perez,Karen Voss,Louis Agre,Ruth I Birchett,Dawn Thomas,All
Brendan F Boyle,461,0,0,0,"1,162",841,973,805,750,741,547,563,451,437,29,All
Marjorie Margolies,,116,0,0,174,450,204,195,156,172,192,168,140,130,7,All
Val Arkoosh,,,55,0,124,91,119,80,96,67,63,68,54,46,8,All
Daylin Leach,,,,26,46,60,53,52,43,56,53,51,37,34,1,All
Latrice Y Bryant,,,,,25,785,790,848,773,799,581,646,523,494,17,All
Elaine Tomlin,,,,,,38,709,820,662,809,601,644,518,523,23,All
David Rodriguez,,,,,,,61,678,793,672,699,646,552,508,23,All
Gwen Collins,,,,,,,,7,664,846,619,700,558,519,18,All
Edward M Lloyd Jr,,,,,,,,,17,640,593,629,534,481,24,All
Barbara Carroll,,,,,,,,,,0,604,650,533,527,13,All
Humberto Perez,,,,,,,,,,,7,602,535,449,17,All
Karen Voss,,,,,,,,,,,,0,554,511,18,All
Louis Agre,,,,,,,,,,,,,4,408,15,All
Ruth I Birchett,,,,,,,,,,,,,,0,9,All
Dawn Thomas,,,,,,,,,,,,,,,1,All
Total,"2,450",753,288,146,"1,547","1,494","1,434","1,147","1,076","1,043",877,854,694,654,47,All
