col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Representative In Congress 2nd District - Democrat,,Auditor General - Democrat,,,,,,,All
,Brendan F Boyle,Write-In,Nina Ahmad,Michael Lamb,Christina M Hartman,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Write-In,All
Brendan F Boyle,84,0,908,169,81,47,44,49,2,All
Write-In,,1,2,0,0,1,0,1,0,All
Nina Ahmad,,,116,0,0,0,0,0,0,All
Michael Lamb,,,,17,0,0,0,0,0,All
Christina M Hartman,,,,,9,0,0,0,0,All
Rose Rosie Marie Davis,,,,,,23,0,0,0,All
Tracie Fountain,,,,,,,15,0,0,All
H Scott Conklin,,,,,,,,7,0,All
Write-In,,,,,,,,,0,All
Total,"1,384",5,"1,026",186,90,71,59,57,2,All
,Representative In Congress 2nd District - Democrat,,Auditor General - Democrat,,,,,,,1
,Brendan F Boyle,Write-In,Nina Ahmad,Michael Lamb,H Scott Conklin,Christina M Hartman,Rose Rosie Marie Davis,Tracie Fountain,Write-In,1
Brendan F Boyle,10,0,54,13,6,3,2,2,0,1
Write-In,,0,1,0,0,0,0,0,0,1
Nina Ahmad,,,13,0,0,0,0,0,0,1
Michael Lamb,,,,0,0,0,0,0,0,1
H Scott Conklin,,,,,0,0,0,0,0,1
Christina M Hartman,,,,,,2,0,0,0,1
Rose Rosie Marie Davis,,,,,,,1,0,0,1
Tracie Fountain,,,,,,,,0,0,1
Write-In,,,,,,,,,0,1
Total,90,1,68,13,6,5,3,2,0,1
,Representative In Congress 2nd District - Democrat,,Auditor General - Democrat,,,,,,,2
,Brendan F Boyle,Write-In,Nina Ahmad,Michael Lamb,Rose Rosie Marie Davis,Christina M Hartman,H Scott Conklin,Tracie Fountain,Write-In,2
Brendan F Boyle,9,0,68,17,6,6,6,5,0,2
Write-In,,0,0,0,0,0,0,0,0,2
Nina Ahmad,,,12,0,0,0,0,0,0,2
Michael Lamb,,,,1,0,0,0,0,0,2
Rose Rosie Marie Davis,,,,,3,0,0,0,0,2
Christina M Hartman,,,,,,0,0,0,0,2
H Scott Conklin,,,,,,,0,0,0,2
Tracie Fountain,,,,,,,,0,0,2
Write-In,,,,,,,,,0,2
Total,117,0,80,18,9,6,6,5,0,2
,Representative In Congress 2nd District - Democrat,,Auditor General - Democrat,,,,,,,3
,Brendan F Boyle,Write-In,Nina Ahmad,Michael Lamb,Tracie Fountain,H Scott Conklin,Rose Rosie Marie Davis,Christina M Hartman,Write-In,3
Brendan F Boyle,2,0,61,6,5,4,5,2,0,3
Write-In,,0,0,0,0,0,0,0,0,3
Nina Ahmad,,,8,0,0,0,0,0,0,3
Michael Lamb,,,,0,0,0,0,0,0,3
Tracie Fountain,,,,,1,0,0,0,0,3
H Scott Conklin,,,,,,1,0,0,0,3
Rose Rosie Marie Davis,,,,,,,0,0,0,3
Christina M Hartman,,,,,,,,0,0,3
Write-In,,,,,,,,,0,3
Total,85,0,69,6,6,5,5,2,0,3
,Representative In Congress 2nd District - Democrat,,Auditor General - Democrat,,,,,,,4
,Brendan F Boyle,Write-In,Nina Ahmad,Michael Lamb,Christina M Hartman,Rose Rosie Marie Davis,Tracie Fountain,H Scott Conklin,Write-In,4
Brendan F Boyle,4,0,51,7,6,2,2,1,0,4
Write-In,,0,0,0,0,0,0,0,0,4
Nina Ahmad,,,6,0,0,0,0,0,0,4
Michael Lamb,,,,1,0,0,0,0,0,4
Christina M Hartman,,,,,0,0,0,0,0,4
Rose Rosie Marie Davis,,,,,,2,0,0,0,4
Tracie Fountain,,,,,,,1,0,0,4
H Scott Conklin,,,,,,,,0,0,4
Write-In,,,,,,,,,0,4
Total,73,0,57,8,6,4,3,1,0,4
,Representative In Congress 2nd District - Democrat,,Auditor General - Democrat,,,,,,,5
,Brendan F Boyle,Write-In,Nina Ahmad,Michael Lamb,Christina M Hartman,H Scott Conklin,Rose Rosie Marie Davis,Tracie Fountain,Write-In,5
Brendan F Boyle,3,0,61,6,5,4,3,1,0,5
Write-In,,0,0,0,0,0,0,0,0,5
Nina Ahmad,,,1,0,0,0,0,0,0,5
Michael Lamb,,,,4,0,0,0,0,0,5
Christina M Hartman,,,,,0,0,0,0,0,5
H Scott Conklin,,,,,,1,0,0,0,5
Rose Rosie Marie Davis,,,,,,,1,0,0,5
Tracie Fountain,,,,,,,,2,0,5
Write-In,,,,,,,,,0,5
Total,83,0,62,10,5,5,4,3,0,5
,Representative In Congress 2nd District - Democrat,,Auditor General - Democrat,,,,,,,6
