col_1,col_2,col_3,division
,Question Number 1,,All
,Yes,No,All
Yes,"2,164",0,All
No,,259,All
Total,"2,164",259,All
,Question Number 1,,1
,Yes,No,1
Yes,171,0,1
No,,19,1
Total,171,19,1
,Question Number 1,,2
,Yes,No,2
Yes,69,0,2
No,,2,2
Total,69,2,2
,Question Number 1,,3
,Yes,No,3
Yes,262,0,3
No,,34,3
Total,262,34,3
,Question Number 1,,4
,Yes,No,4
Yes,34,0,4
No,,8,4
Total,34,8,4
,Question Number 1,,5
,Yes,No,5
Yes,37,0,5
No,,2,5
Total,37,2,5
,Question Number 1,,6
,Yes,No,6
Yes,38,0,6
No,,11,6
Total,38,11,6
,Question Number 1,,7
,Yes,No,7
Yes,20,0,7
No,,3,7
Total,20,3,7
,Question Number 1,,8
,Yes,No,8
Yes,56,0,8
No,,3,8
Total,56,3,8
,Question Number 1,,9
,Yes,No,9
Yes,61,0,9
No,,7,9
Total,61,7,9
,Question Number 1,,10
,Yes,No,10
Yes,328,0,10
No,,38,10
Total,328,38,10
,Question Number 1,,11
,Yes,No,11
Yes,167,0,11
No,,22,11
Total,167,22,11
,Question Number 1,,12
,Yes,No,12
Yes,188,0,12
No,,19,12
Total,188,19,12
,Question Number 1,,13
,Yes,No,13
Yes,170,0,13
No,,14,13
Total,170,14,13
,Question Number 1,,14
,Yes,No,14
Yes,90,0,14
No,,15,14
Total,90,15,14
,Question Number 1,,15
,Yes,No,15
Yes,91,0,15
No,,16,15
Total,91,16,15
,Question Number 1,,16
,Yes,No,16
Yes,141,0,16
No,,12,16
Total,141,12,16
,Question Number 1,,17
,Yes,No,17
Yes,107,0,17
No,,20,17
Total,107,20,17
,Question Number 1,,18
,Yes,No,18
Yes,134,0,18
No,,14,18
Total,134,14,18
