col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,division
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,All
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Katherine Gilmore Richardson,Allan Domb,Kendra Brooks,Nicolas O'Rourke,David Oh,Al Taubenberger,Matt Wolfe,Dan Tinney,Bill Heeney,Sherrie Cohen,Maj Toure,Joe Cox,Clarc King,Steve Cherniavsky,Write-In,All
Amanda Green-Hawkins,41,"6,621",28,40,0,"6,507","6,362","6,260","6,188","6,104","1,004",699,273,72,34,43,34,76,64,67,40,19,10,All
Daniel D Mccaffery,,33,53,30,1,"6,337","6,230","6,114","6,042","6,019",945,676,263,99,43,52,33,82,52,53,34,18,7,All
Megan Mccarthy King,,,6,261,0,68,55,70,61,79,36,19,259,245,245,237,224,10,19,12,9,11,0,All
Christylee Peck,,,,1,0,55,48,59,48,66,25,12,252,234,235,223,208,9,20,13,7,7,0,All
Write-In,,,,,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,All
Isaiah Thomas,,,,,,11,"6,413","6,211","6,213","6,086",690,467,214,58,24,27,24,46,42,38,23,9,4,All
Derek S Green,,,,,,,7,"6,124","6,151","6,057",591,381,186,54,22,20,11,46,37,36,18,3,5,All
Helen Gym,,,,,,,,4,"6,032","6,052",560,360,197,54,27,32,12,65,37,39,14,11,3,All
Katherine Gilmore Richardson,,,,,,,,,3,"5,913",484,326,106,46,21,36,15,32,24,20,18,5,1,All
Allan Domb,,,,,,,,,,15,362,193,200,66,34,48,23,31,23,15,7,10,4,All
Kendra Brooks,,,,,,,,,,,5,811,104,20,11,20,12,70,42,53,27,18,5,All
Nicolas O'Rourke,,,,,,,,,,,,0,60,11,5,7,7,34,21,24,13,9,2,All
David Oh,,,,,,,,,,,,,8,282,257,244,239,16,21,22,13,7,2,All
Al Taubenberger,,,,,,,,,,,,,,0,249,249,232,6,6,2,3,7,1,All
Matt Wolfe,,,,,,,,,,,,,,,2,235,236,7,10,6,3,4,0,All
Dan Tinney,,,,,,,,,,,,,,,,1,225,1,3,3,2,3,0,All
Bill Heeney,,,,,,,,,,,,,,,,,0,4,3,8,1,2,0,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,1,14,7,7,5,1,All
Maj Toure,,,,,,,,,,,,,,,,,,,3,15,14,10,0,All
Joe Cox,,,,,,,,,,,,,,,,,,,,0,37,8,3,All
Clarc King,,,,,,,,,,,,,,,,,,,,,1,10,1,All
Steve Cherniavsky,,,,,,,,,,,,,,,,,,,,,,0,0,All
Write-In,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"7,264","7,051",375,347,1,"6,901","6,726","6,606","6,495","6,484","1,205",848,616,362,308,303,273,114,101,99,69,35,16,All
,Judge Of The Superior Court,,,,,Council At Large,,,,,,,,,,,,,,,,,,1
,Amanda Green-Hawkins,Daniel D Mccaffery,Megan Mccarthy King,Christylee Peck,Write-In,Isaiah Thomas,Derek S Green,Helen Gym,Allan Domb,Katherine Gilmore Richardson,Kendra Brooks,David Oh,Write-In,Nicolas O'Rourke,Al Taubenberger,Joe Cox,Sherrie Cohen,Bill Heeney,Clarc King,Dan Tinney,Maj Toure,Matt Wolfe,Steve Cherniavsky,1
Amanda Green-Hawkins,2,95,0,1,0,93,90,91,88,87,7,4,0,3,1,1,2,0,0,0,1,0,0,1
Daniel D Mccaffery,,0,2,0,0,93,94,91,91,90,6,3,0,4,1,1,2,0,1,0,1,0,0,1
Megan Mccarthy King,,,0,2,0,2,2,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1
