col_1,col_2,col_3,col_4,col_5,division
,Judge Of The Municipal Court,,Register Of Wills,,All
,David H Conroy,Write-In,Tracey Gordon,Write-In,All
David H Conroy,385,0,"1,854",7,All
Write-In,,0,1,1,All
Tracey Gordon,,,176,0,All
Write-In,,,,3,All
Total,"2,246",2,"2,031",11,All
,Judge Of The Municipal Court,,Register Of Wills,,1
,David H Conroy,Write-In,Tracey Gordon,Write-In,1
David H Conroy,15,0,34,1,1
Write-In,,0,0,0,1
Tracey Gordon,,,8,0,1
Write-In,,,,0,1
Total,50,0,42,1,1
,Judge Of The Municipal Court,,Register Of Wills,,2
,David H Conroy,Write-In,Tracey Gordon,Write-In,2
David H Conroy,21,0,72,0,2
Write-In,,0,0,0,2
Tracey Gordon,,,9,0,2
Write-In,,,,0,2
Total,93,0,81,0,2
,Judge Of The Municipal Court,,Register Of Wills,,3
,David H Conroy,Write-In,Tracey Gordon,Write-In,3
David H Conroy,23,0,50,0,3
Write-In,,0,0,0,3
Tracey Gordon,,,12,0,3
Write-In,,,,0,3
Total,73,0,62,0,3
,Judge Of The Municipal Court,,Register Of Wills,,4
,David H Conroy,Write-In,Tracey Gordon,Write-In,4
David H Conroy,32,0,50,0,4
Write-In,,0,0,0,4
Tracey Gordon,,,4,0,4
Write-In,,,,0,4
Total,82,0,54,0,4
,Judge Of The Municipal Court,,Register Of Wills,,5
,David H Conroy,Write-In,Tracey Gordon,Write-In,5
David H Conroy,16,0,65,0,5
Write-In,,0,0,0,5
Tracey Gordon,,,4,0,5
Write-In,,,,0,5
Total,81,0,69,0,5
,Judge Of The Municipal Court,,Register Of Wills,,6
,David H Conroy,Write-In,Tracey Gordon,Write-In,6
David H Conroy,51,0,85,0,6
Write-In,,0,1,0,6
Tracey Gordon,,,11,0,6
Write-In,,,,0,6
Total,136,1,97,0,6
,Judge Of The Municipal Court,,Register Of Wills,,7
,David H Conroy,Write-In,Tracey Gordon,Write-In,7
David H Conroy,21,0,65,0,7
Write-In,,0,0,0,7
Tracey Gordon,,,9,0,7
Write-In,,,,0,7
Total,86,0,74,0,7
,Judge Of The Municipal Court,,Register Of Wills,,8
,David H Conroy,Write-In,Tracey Gordon,Write-In,8
David H Conroy,18,0,82,0,8
Write-In,,0,0,0,8
Tracey Gordon,,,8,0,8
Write-In,,,,0,8
Total,100,0,90,0,8
,Judge Of The Municipal Court,,Register Of Wills,,9
,David H Conroy,Write-In,Tracey Gordon,Write-In,9
David H Conroy,13,0,82,0,9
Write-In,,0,0,0,9
Tracey Gordon,,,10,0,9
Write-In,,,,1,9
Total,95,0,92,1,9
,Judge Of The Municipal Court,,Register Of Wills,,10
,David H Conroy,Write-In,Tracey Gordon,Write-In,10
David H Conroy,7,0,63,1,10
Write-In,,0,0,0,10
Tracey Gordon,,,5,0,10
Write-In,,,,0,10
Total,71,0,68,1,10
,Judge Of The Municipal Court,,Register Of Wills,,11
,David H Conroy,Write-In,Tracey Gordon,Write-In,11
David H Conroy,21,0,91,0,11
Write-In,,0,0,0,11
Tracey Gordon,,,8,0,11
Write-In,,,,0,11
Total,112,0,99,0,11
,Judge Of The Municipal Court,,Register Of Wills,,12
,David H Conroy,Write-In,Tracey Gordon,Write-In,12
David H Conroy,16,0,99,0,12
Write-In,,0,0,0,12
Tracey Gordon,,,7,0,12
Write-In,,,,1,12
Total,115,0,106,1,12
,Judge Of The Municipal Court,,Register Of Wills,,13
,David H Conroy,Write-In,Tracey Gordon,Write-In,13
David H Conroy,14,0,74,1,13
Write-In,,0,0,0,13
Tracey Gordon,,,11,0,13
Write-In,,,,0,13
