col_1,col_2,col_3,col_4,col_5,col_6,division
,Representative In Congress 1st District,,United States Senator,,,All
,Robert A Brady,John Featherman,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,All
Robert A Brady,89,0,"4,125",209,56,All
John Featherman,,17,114,782,19,All
Bob Casey Jr,,,95,0,0,All
Tom Smith,,,,45,0,All
Rayburn Douglas Smith,,,,,10,All
Total,"4,479",932,"4,334","1,036",85,All
,Representative In Congress 1st District,,United States Senator,,,1
,Robert A Brady,John Featherman,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,1
Robert A Brady,3,0,266,7,2,1
John Featherman,,0,3,18,0,1
Bob Casey Jr,,,4,0,0,1
Tom Smith,,,,2,0,1
Rayburn Douglas Smith,,,,,0,1
Total,278,21,273,27,2,1
,Representative In Congress 1st District,,United States Senator,,,2
,Robert A Brady,John Featherman,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,2
Robert A Brady,2,0,173,4,0,2
John Featherman,,2,1,16,0,2
Bob Casey Jr,,,4,0,0,2
Tom Smith,,,,0,0,2
Rayburn Douglas Smith,,,,,1,2
Total,179,19,178,20,1,2
,United States Senator,,,Representative In Congress 1st District,,3
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert A Brady,John Featherman,3
Bob Casey Jr,5,0,0,199,4,3
Tom Smith,,1,0,0,16,3
Rayburn Douglas Smith,,,2,4,1,3
Robert A Brady,,,,5,0,3
John Featherman,,,,,0,3
Total,208,17,7,208,21,3
,Representative In Congress 1st District,,United States Senator,,,4
,Robert A Brady,John Featherman,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,4
Robert A Brady,0,0,276,19,3,4
John Featherman,,0,9,84,3,4
Bob Casey Jr,,,4,0,0,4
Tom Smith,,,,3,0,4
Rayburn Douglas Smith,,,,,2,4
Total,298,96,289,106,8,4
,United States Senator,,,Representative In Congress 1st District,,5
,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,Robert A Brady,John Featherman,5
Bob Casey Jr,9,0,0,234,6,5
Tom Smith,,3,0,10,49,5
Rayburn Douglas Smith,,,0,0,1,5
Robert A Brady,,,,1,0,5
John Featherman,,,,,0,5
Total,249,62,1,245,56,5
,Representative In Congress 1st District,,United States Senator,,,6
,Robert A Brady,John Featherman,Bob Casey Jr,Tom Smith,Rayburn Douglas Smith,6
Robert A Brady,5,0,173,13,4,6
John Featherman,,2,10,37,0,6
Bob Casey Jr,,,5,0,0,6
Tom Smith,,,,5,0,6
Rayburn Douglas Smith,,,,,0,6
Total,195,49,188,55,4,6
,Representative In Congress 1st District,,United States Senator,,,7
