col_1,col_2,col_3,col_4,col_5,division
,Representative In The General Assembly 195th District,State Treasurer,,,All
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,All
Michelle F Brownlee,123,"5,584",350,94,All
Robert M Mccord,,63,0,0,All
Diana Irey Vaughan,,,266,0,All
Patricia M Fryman,,,,37,All
Total,"6,151","5,647",616,131,All
,Representative In The General Assembly 195th District,State Treasurer,,,1
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,1
Michelle F Brownlee,7,249,36,5,1
Robert M Mccord,,5,0,0,1
Diana Irey Vaughan,,,28,0,1
Patricia M Fryman,,,,6,1
Total,297,254,64,11,1
,Representative In The General Assembly 195th District,State Treasurer,,,2
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,2
Michelle F Brownlee,3,283,10,3,2
Robert M Mccord,,3,0,0,2
Diana Irey Vaughan,,,6,0,2
Patricia M Fryman,,,,0,2
Total,299,286,16,3,2
,Representative In The General Assembly 195th District,State Treasurer,,,3
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,3
Michelle F Brownlee,9,337,3,5,3
Robert M Mccord,,4,0,0,3
Diana Irey Vaughan,,,4,0,3
Patricia M Fryman,,,,0,3
Total,354,341,7,5,3
,Representative In The General Assembly 195th District,State Treasurer,,,4
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,4
Michelle F Brownlee,8,313,5,2,4
Robert M Mccord,,6,0,0,4
Diana Irey Vaughan,,,4,0,4
Patricia M Fryman,,,,0,4
Total,328,319,9,2,4
,Representative In The General Assembly 195th District,State Treasurer,,,5
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,5
Michelle F Brownlee,1,290,39,8,5
Robert M Mccord,,6,0,0,5
Diana Irey Vaughan,,,15,0,5
Patricia M Fryman,,,,5,5
Total,338,296,54,13,5
,Representative In The General Assembly 195th District,State Treasurer,,,6
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,6
Michelle F Brownlee,13,475,18,5,6
Robert M Mccord,,5,0,0,6
Diana Irey Vaughan,,,21,0,6
Patricia M Fryman,,,,0,6
Total,511,480,39,5,6
,Representative In The General Assembly 195th District,State Treasurer,,,7
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,7
Michelle F Brownlee,9,356,3,0,7
Robert M Mccord,,7,0,0,7
Diana Irey Vaughan,,,1,0,7
Patricia M Fryman,,,,2,7
Total,368,363,4,2,7
,Representative In The General Assembly 195th District,State Treasurer,,,8
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,8
Michelle F Brownlee,10,314,14,6,8
Robert M Mccord,,6,0,0,8
Diana Irey Vaughan,,,4,0,8
Patricia M Fryman,,,,1,8
Total,344,320,18,7,8
,Representative In The General Assembly 195th District,State Treasurer,,,9
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,9
Michelle F Brownlee,3,265,1,0,9
Robert M Mccord,,1,0,0,9
Diana Irey Vaughan,,,0,0,9
Patricia M Fryman,,,,0,9
Total,269,266,1,0,9
,Representative In The General Assembly 195th District,State Treasurer,,,10
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,10
Michelle F Brownlee,6,369,95,16,10
Robert M Mccord,,5,0,0,10
Diana Irey Vaughan,,,61,0,10
Patricia M Fryman,,,,11,10
Total,486,374,156,27,10
,Representative In The General Assembly 195th District,State Treasurer,,,11
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,11
Michelle F Brownlee,6,265,9,6,11
Robert M Mccord,,2,0,0,11
Diana Irey Vaughan,,,4,0,11
Patricia M Fryman,,,,2,11
Total,286,267,13,8,11
,Representative In The General Assembly 195th District,State Treasurer,,,12
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,12
Michelle F Brownlee,13,286,4,0,12
Robert M Mccord,,3,0,0,12
Diana Irey Vaughan,,,1,0,12
Patricia M Fryman,,,,0,12
Total,303,289,5,0,12
,Representative In The General Assembly 195th District,State Treasurer,,,13
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,13
Michelle F Brownlee,7,297,1,0,13
Robert M Mccord,,1,0,0,13
Diana Irey Vaughan,,,0,0,13
Patricia M Fryman,,,,0,13
Total,305,298,1,0,13
,Representative In The General Assembly 195th District,State Treasurer,,,14
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,14
Michelle F Brownlee,5,333,1,3,14
Robert M Mccord,,1,0,0,14
Diana Irey Vaughan,,,3,0,14
Patricia M Fryman,,,,0,14
Total,342,334,4,3,14
,Representative In The General Assembly 195th District,State Treasurer,,,15
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,15
Michelle F Brownlee,5,246,1,0,15
Robert M Mccord,,2,0,0,15
Diana Irey Vaughan,,,0,0,15
Patricia M Fryman,,,,0,15
Total,252,248,1,0,15
,Representative In The General Assembly 195th District,State Treasurer,,,16
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,16
Michelle F Brownlee,2,201,1,0,16
Robert M Mccord,,0,0,0,16
Diana Irey Vaughan,,,0,0,16
Patricia M Fryman,,,,0,16
Total,204,201,1,0,16
,Representative In The General Assembly 195th District,State Treasurer,,,17
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,17
Michelle F Brownlee,5,158,2,0,17
Robert M Mccord,,1,0,0,17
Diana Irey Vaughan,,,2,0,17
Patricia M Fryman,,,,1,17
Total,165,159,4,1,17
,Representative In The General Assembly 195th District,State Treasurer,,,18
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,18
Michelle F Brownlee,5,338,67,18,18
Robert M Mccord,,3,0,0,18
Diana Irey Vaughan,,,74,0,18
Patricia M Fryman,,,,9,18
Total,428,341,141,27,18
,Representative In The General Assembly 195th District,State Treasurer,,,19
,Michelle F Brownlee,Robert M Mccord,Diana Irey Vaughan,Patricia M Fryman,19
Michelle F Brownlee,6,209,40,17,19
Robert M Mccord,,2,0,0,19
Diana Irey Vaughan,,,38,0,19
