col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Delegate To The Republican National Convention 2nd District,,,,,United States Senator - Republican,,,,,All
,Walter F Vogler Jr,Calvin R Tucker,Lewis Harris Jr,Adam A Lang,Vahan H Gureghian,Tom Smith,Steven D Welch,David Alan Christian,Sam Rohrer,Marc A Scaringi,All
Walter F Vogler Jr,39,987,699,439,497,667,377,355,152,121,All
Calvin R Tucker,,54,715,354,405,569,350,395,151,109,All
Lewis Harris Jr,,,38,355,189,342,361,306,125,98,All
Adam A Lang,,,,21,339,341,235,151,150,52,All
Vahan H Gureghian,,,,,5,420,183,85,94,27,All
Tom Smith,,,,,,253,0,0,0,0,All
Steven D Welch,,,,,,,192,0,0,0,All
David Alan Christian,,,,,,,,165,0,0,All
Sam Rohrer,,,,,,,,,99,0,All
Marc A Scaringi,,,,,,,,,,64,All
Total,"1,754","1,677","1,308",969,831,"1,285",871,815,414,283,All
