col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 7th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Maria Quinones Sanchez,Manny Morales,Thomas Martin,Edward William Louden Jr,Ken Powell,Mia Roberts Perez,Scott Diclaudio,Rania Major,Jon Marshall,Tracy B Roman,Leon Goodman,Shanese Johnson,Betsy Wahl,Jodi Lobel,Lucretia Clemons,Lynne M Summers,Rainy Papademetriou,Stella Tsai,Vincent Furlong,Chris Mallios,Deborah Watson Stokes,James F Berardinelli,Jennifer Schultz,Lyris Younge,Abbe Fletman,Anthony Kyriakakis,Chris Mccabe,Daine Grey Jr,Kai Scott,Marissa Brumbach,Sherman Toppin,Stephanie M Sawyer,Vince Giusini,Vincent N Melchiorre,Wayne M D Bennett,Frances Fattah,Franklin A Bennett Iii,Joshua Hill,Leon A King Ii,Michael Fanning,Sandjai Weaver,Starr Marshall Cash,Brian T Ortelere,Tangie M Boston,William J Ciancaglini,1
Maria Quinones Sanchez,25,0,6,8,6,7,6,6,3,4,3,5,4,1,4,4,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,1,1,1,0,0,0,1
Manny Morales,,24,5,2,4,2,2,1,3,2,2,0,0,2,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Thomas Martin,,,0,3,3,2,2,3,1,2,2,3,2,3,2,2,2,2,0,2,1,1,1,0,0,0,0,2,1,1,1,1,1,2,1,1,0,0,1,0,1,1,0,0,0,1
Edward William Louden Jr,,,,0,3,1,2,2,3,3,1,3,2,1,1,2,2,1,1,1,0,1,2,2,1,1,1,2,0,1,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,1
Ken Powell,,,,,0,1,3,3,3,3,3,1,1,0,2,1,1,2,1,0,2,1,2,1,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1
Mia Roberts Perez,,,,,,0,2,3,1,1,1,1,3,1,2,2,1,1,1,2,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Scott Diclaudio,,,,,,,0,2,2,1,1,2,1,0,1,2,2,3,1,1,2,0,0,1,0,1,1,1,0,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
Rania Major,,,,,,,,0,1,1,2,3,3,0,3,3,0,2,2,1,2,2,1,1,1,1,1,0,1,1,1,2,1,1,2,0,1,0,0,0,1,1,0,0,0,1
Jon Marshall,,,,,,,,,0,2,3,2,1,0,1,1,2,1,0,2,1,2,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Tracy B Roman,,,,,,,,,,0,2,0,1,1,0,0,1,1,0,1,1,0,0,2,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
Leon Goodman,,,,,,,,,,,0,1,1,0,1,1,1,1,0,1,1,2,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1
Shanese Johnson,,,,,,,,,,,,0,2,0,2,3,2,2,1,2,1,2,1,1,1,2,2,1,0,1,1,0,1,2,0,1,0,0,1,0,1,0,0,0,0,1
Betsy Wahl,,,,,,,,,,,,,0,1,2,3,1,1,2,2,1,2,0,1,1,1,1,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1
Jodi Lobel,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Lucretia Clemons,,,,,,,,,,,,,,,0,2,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Lynne M Summers,,,,,,,,,,,,,,,,0,1,2,2,1,1,2,0,1,1,1,1,1,0,2,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,1
Rainy Papademetriou,,,,,,,,,,,,,,,,,0,2,0,2,1,1,1,0,0,1,1,2,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
Stella Tsai,,,,,,,,,,,,,,,,,,0,1,1,3,0,0,0,0,1,1,1,1,2,2,2,0,1,1,1,0,0,1,0,0,1,0,0,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Chris Mallios,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,1,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
Kai Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,1,0,0,0,1
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,54,37,12,10,10,9,8,7,6,6,5,5,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,1
,District Council 7th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Maria Quinones Sanchez,Manny Morales,Scott Diclaudio,Edward William Louden Jr,Kai Scott,Lyris Younge,Mia Roberts Perez,Abbe Fletman,Anthony Kyriakakis,Deborah Watson Stokes,Jennifer Schultz,Jodi Lobel,Leon Goodman,Rania Major,Jon Marshall,Ken Powell,Marissa Brumbach,Michael Fanning,Starr Marshall Cash,Stephanie M Sawyer,Thomas Martin,Tracy B Roman,Vincent Furlong,William J Ciancaglini,Betsy Wahl,Brian T Ortelere,Chris Mallios,Chris Mccabe,Daine Grey Jr,Frances Fattah,Franklin A Bennett Iii,James F Berardinelli,Joshua Hill,Leon A King Ii,Lucretia Clemons,Lynne M Summers,Rainy Papademetriou,Sandjai Weaver,Shanese Johnson,Sherman Toppin,Stella Tsai,Tangie M Boston,Vince Giusini,Vincent N Melchiorre,Wayne M D Bennett,2
Maria Quinones Sanchez,16,0,3,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Manny Morales,,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Scott Diclaudio,,,0,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Edward William Louden Jr,,,,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Kai Scott,,,,,0,2,1,1,1,2,2,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lyris Younge,,,,,,0,1,0,0,1,2,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mia Roberts Perez,,,,,,,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Abbe Fletman,,,,,,,,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Anthony Kyriakakis,,,,,,,,,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Deborah Watson Stokes,,,,,,,,,,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jennifer Schultz,,,,,,,,,,,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jodi Lobel,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Leon Goodman,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rania Major,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Jon Marshall,,,,,,,,,,,,,,,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ken Powell,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Marissa Brumbach,,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Michael Fanning,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Thomas Martin,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tracy B Roman,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
