col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Scott Diclaudio,Tracy B Roman,Ken Powell,Daine Grey Jr,Lyris Younge,Kai Scott,Mia Roberts Perez,Abbe Fletman,Chris Mallios,Stephanie M Sawyer,Michael Fanning,Vincent N Melchiorre,Leon Goodman,Stella Tsai,Anthony Kyriakakis,Rainy Papademetriou,Jennifer Schultz,Frances Fattah,Leon A King Ii,Lynne M Summers,Betsy Wahl,Brian T Ortelere,Edward William Louden Jr,Jon Marshall,Lucretia Clemons,James F Berardinelli,Marissa Brumbach,Shanese Johnson,Starr Marshall Cash,Deborah Watson Stokes,Jodi Lobel,Sherman Toppin,Thomas Martin,Wayne M D Bennett,Chris Mccabe,Rania Major,Sandjai Weaver,Vincent Furlong,Joshua Hill,Tangie M Boston,Vince Giusini,Franklin A Bennett Iii,William J Ciancaglini,Blondell Reynolds Brown,Sherrie Cohen,William K Greenlee,W Wilson Goode Jr,Ed Neilson,Derek S Green,Isaiah Thomas,Allan Domb,Helen Gym,Jenne Ayers,Paul Steinke,Frank Rizzo,Wilson Alexander,Carla M Cain,Thomas Wyatt,Marnie Aument Loughrey,1
Scott Diclaudio,1,42,41,37,39,33,34,30,28,27,28,27,8,5,3,5,6,3,7,5,2,5,7,7,4,3,1,3,1,1,3,4,2,2,0,0,2,2,1,0,1,0,0,35,32,31,26,25,8,4,8,3,8,3,3,5,3,1,2,1
Tracy B Roman,,1,39,36,39,31,32,29,28,26,28,27,9,5,4,4,7,4,5,4,5,4,7,5,5,4,2,3,4,1,2,3,2,4,1,2,1,3,1,0,1,0,0,33,31,29,24,24,9,3,9,6,10,4,3,6,2,3,1,1
Ken Powell,,,0,35,38,34,32,33,29,30,28,28,8,7,3,5,4,1,3,1,2,5,5,7,2,3,0,1,2,2,0,1,2,0,1,1,0,1,0,0,0,0,0,31,32,29,26,24,7,5,5,4,4,4,2,3,1,2,1,1
Daine Grey Jr,,,,0,33,33,33,33,31,30,28,28,9,9,5,7,7,4,5,3,2,5,4,5,4,5,2,3,3,1,1,4,4,3,2,1,2,3,1,0,1,0,0,31,31,27,27,22,10,7,8,6,6,4,2,4,1,4,2,1
Lyris Younge,,,,,0,31,28,28,27,28,27,27,5,2,2,2,1,1,3,0,0,2,4,4,0,2,0,1,2,0,1,1,0,1,1,0,1,3,0,0,1,0,0,30,29,27,24,24,5,2,4,2,4,1,0,4,1,2,0,1
Kai Scott,,,,,,0,32,32,31,29,29,27,5,7,4,6,4,2,3,4,2,2,5,3,2,2,1,1,1,1,0,0,1,0,2,1,1,1,0,0,0,0,0,32,31,27,29,25,3,7,5,4,4,4,1,2,2,2,2,1
Mia Roberts Perez,,,,,,,1,29,29,27,29,27,3,7,5,6,5,4,4,5,5,4,4,3,3,3,3,3,2,2,2,1,3,2,0,1,2,1,0,0,0,0,0,30,29,29,25,23,3,5,5,6,3,2,4,4,3,0,3,1
Abbe Fletman,,,,,,,,0,30,28,26,25,7,7,6,5,5,1,2,1,2,4,4,4,1,3,1,0,2,2,0,0,2,0,2,1,1,1,0,0,0,0,0,26,29,25,24,21,3,6,5,4,3,7,2,1,2,3,1,1
Chris Mallios,,,,,,,,,0,26,28,28,4,4,5,4,2,1,4,1,2,2,0,0,1,3,2,0,0,1,1,1,1,1,2,0,0,2,0,0,1,0,0,25,28,22,23,20,5,5,3,4,3,4,0,3,0,3,0,1
Stephanie M Sawyer,,,,,,,,,,0,24,24,3,5,3,4,1,2,3,1,1,3,1,2,0,3,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,26,27,24,24,20,1,4,2,4,0,4,2,1,0,1,0,1
Michael Fanning,,,,,,,,,,,0,27,4,2,2,2,2,1,2,0,2,0,1,2,1,0,3,0,1,1,1,0,1,1,2,0,0,1,0,0,0,0,0,27,26,25,22,23,4,3,1,2,1,1,0,3,0,2,0,1
Vincent N Melchiorre,,,,,,,,,,,,0,2,3,2,2,1,1,2,0,1,1,0,1,0,0,1,2,1,1,0,1,1,1,3,0,1,2,0,0,0,0,0,26,23,23,21,20,4,3,3,2,0,1,0,2,0,3,1,1
Leon Goodman,,,,,,,,,,,,,1,4,1,1,6,2,3,1,3,2,5,6,2,2,2,0,1,2,1,2,2,1,2,1,0,1,0,0,1,0,0,7,7,3,3,2,6,3,5,2,6,4,2,3,1,4,0,1
Stella Tsai,,,,,,,,,,,,,,0,6,6,5,2,0,6,5,4,3,2,5,4,3,3,2,2,1,1,3,0,2,2,2,0,0,0,0,0,0,7,5,3,7,0,4,4,5,7,3,4,3,0,3,3,3,1
Anthony Kyriakakis,,,,,,,,,,,,,,,0,5,2,2,1,3,3,4,1,1,3,4,4,2,2,1,3,0,0,2,2,0,2,1,0,0,0,0,0,4,4,4,4,1,3,6,4,6,1,5,3,1,1,2,0,1
Rainy Papademetriou,,,,,,,,,,,,,,,,0,2,2,3,3,2,5,1,2,2,5,3,2,2,1,1,2,2,0,0,1,1,0,0,1,0,0,0,5,3,5,4,1,2,4,5,4,2,5,2,2,2,0,2,1
Jennifer Schultz,,,,,,,,,,,,,,,,,0,5,3,4,5,2,5,3,4,0,3,3,2,1,1,1,3,3,1,3,1,0,1,1,0,0,0,4,3,3,3,0,5,4,5,3,6,2,3,2,4,2,2,1
Frances Fattah,,,,,,,,,,,,,,,,,,0,3,3,4,0,1,1,3,0,3,5,2,1,1,1,1,3,1,2,2,1,1,1,0,0,0,5,4,2,3,0,4,4,2,5,3,2,3,1,3,1,1,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,0,3,2,2,1,1,1,2,1,1,1,1,2,2,0,1,0,1,0,1,0,1,1,0,0,5,5,6,4,2,2,3,4,0,3,3,3,2,1,1,0,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,0,4,1,4,1,5,1,2,2,1,1,2,0,1,1,0,1,2,0,0,0,0,0,0,4,1,2,4,0,2,1,5,3,3,2,4,1,3,0,2,1
