col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 1st District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Scott Diclaudio,Michael Fanning,Tracy B Roman,Ken Powell,Vincent N Melchiorre,Mia Roberts Perez,Jennifer Schultz,Abbe Fletman,Lyris Younge,Vincent Furlong,Kai Scott,Chris Mallios,James F Berardinelli,Stephanie M Sawyer,Vince Giusini,Daine Grey Jr,Lynne M Summers,Jon Marshall,Leon Goodman,Thomas Martin,Edward William Louden Jr,Rainy Papademetriou,Brian T Ortelere,Chris Mccabe,Anthony Kyriakakis,Wayne M D Bennett,Deborah Watson Stokes,Stella Tsai,Marissa Brumbach,William J Ciancaglini,Betsy Wahl,Leon A King Ii,Lucretia Clemons,Sherman Toppin,Jodi Lobel,Rania Major,Franklin A Bennett Iii,Frances Fattah,Sandjai Weaver,Shanese Johnson,Joshua Hill,Starr Marshall Cash,Tangie M Boston,All
Mark F Squilla,142,267,172,213,205,152,156,154,136,141,136,139,141,132,125,112,102,102,113,108,108,109,84,86,86,83,81,83,74,72,67,67,60,55,54,57,48,50,48,43,40,36,32,22,All
Scott Diclaudio,,23,161,149,130,156,77,71,82,107,70,77,80,75,66,57,48,37,76,63,73,72,35,45,37,39,31,26,24,22,32,18,33,13,23,19,12,33,18,15,13,14,6,10,All
Michael Fanning,,,3,82,90,161,85,41,74,69,46,84,87,31,72,36,35,21,23,8,57,15,19,20,36,26,19,26,15,18,28,22,12,15,16,13,7,19,11,7,10,13,10,11,All
Tracy B Roman,,,,3,126,82,89,80,93,115,49,71,63,52,76,36,50,58,65,63,62,67,37,32,26,32,32,33,38,29,19,25,28,14,17,21,29,15,16,15,15,9,10,10,All
Ken Powell,,,,,7,82,82,58,89,114,51,80,78,49,64,44,58,35,76,73,71,64,40,37,33,34,33,20,18,17,23,20,23,17,19,15,13,11,15,16,13,19,11,1,All
Vincent N Melchiorre,,,,,,6,73,27,70,64,48,73,72,36,59,52,30,30,20,13,55,17,21,18,26,33,19,15,13,22,38,18,14,15,11,9,8,18,11,10,6,11,8,3,All
Mia Roberts Perez,,,,,,,12,60,93,76,35,102,89,23,88,34,54,37,18,17,58,11,30,22,31,27,23,34,39,27,20,32,20,33,17,21,16,6,15,17,13,11,18,7,All
Jennifer Schultz,,,,,,,,5,61,38,66,37,30,68,49,50,54,76,41,44,33,43,53,50,30,33,36,36,50,42,23,47,28,33,26,34,26,17,21,21,18,17,14,15,All
Abbe Fletman,,,,,,,,,2,82,38,90,84,42,76,22,55,28,24,22,61,22,39,33,24,27,24,22,27,20,11,17,14,20,15,14,14,2,7,12,7,2,7,6,All
Lyris Younge,,,,,,,,,,11,24,78,60,24,62,19,43,25,54,52,54,52,27,18,19,17,24,21,15,17,7,16,14,16,14,7,13,5,8,9,16,5,8,3,All
Vincent Furlong,,,,,,,,,,,10,27,32,72,21,58,44,39,36,34,26,37,41,41,28,32,29,19,22,22,31,18,22,14,16,22,10,22,22,12,13,21,6,9,All
Kai Scott,,,,,,,,,,,,1,97,24,91,24,44,24,14,19,60,10,29,21,29,25,27,31,29,25,14,26,17,23,19,19,14,11,16,13,18,9,15,7,All
Chris Mallios,,,,,,,,,,,,,1,31,80,30,41,20,14,17,54,10,26,20,32,29,12,24,18,12,19,17,17,17,17,15,11,12,13,13,8,13,13,6,All
James F Berardinelli,,,,,,,,,,,,,,3,16,61,49,38,46,39,26,44,58,52,23,37,35,17,24,15,32,14,18,14,16,13,7,20,15,12,8,15,4,5,All
Stephanie M Sawyer,,,,,,,,,,,,,,,0,22,37,49,11,12,49,10,21,13,26,20,16,41,33,31,13,33,14,24,11,23,21,9,15,9,17,9,16,15,All
Vince Giusini,,,,,,,,,,,,,,,,2,21,39,24,30,29,27,28,29,26,45,36,18,23,27,40,19,24,16,20,17,10,19,17,14,13,11,8,6,All
Daine Grey Jr,,,,,,,,,,,,,,,,,2,33,33,34,25,32,40,45,23,16,26,22,21,20,14,23,16,10,24,14,14,8,12,9,15,11,15,4,All
