col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Commonwealth Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Michael Wojcik,Todd Eagen,Lyris Younge,Deborah Watson Stokes,Frances Fattah,Kai Scott,Tracy B Roman,Ken Powell,Lucretia Clemons,Mia Roberts Perez,Abbe Fletman,Leon Goodman,Scott Diclaudio,Jon Marshall,Daine Grey Jr,Stella Tsai,Vincent N Melchiorre,Sherman Toppin,Jodi Lobel,Stephanie M Sawyer,Lynne M Summers,Edward William Louden Jr,Chris Mccabe,Thomas Martin,Jennifer Schultz,Rainy Papademetriou,Leon A King Ii,Shanese Johnson,Michael Fanning,Vincent Furlong,Wayne M D Bennett,Anthony Kyriakakis,Sandjai Weaver,James F Berardinelli,Brian T Ortelere,Marissa Brumbach,Rania Major,Betsy Wahl,Joshua Hill,Chris Mallios,Tangie M Boston,Vince Giusini,Starr Marshall Cash,Franklin A Bennett Iii,William J Ciancaglini,All
Michael Wojcik,76,0,573,524,448,414,311,256,433,409,403,253,195,209,192,379,341,354,336,173,180,170,302,147,161,132,148,136,96,126,129,114,99,101,72,79,111,86,73,59,69,60,52,49,44,All
Todd Eagen,,39,319,221,186,202,306,328,122,159,138,232,291,199,190,83,89,105,70,176,176,184,76,124,121,96,119,122,102,94,109,76,93,86,99,70,77,71,81,74,65,57,60,53,30,All
Lyris Younge,,,33,501,439,500,351,379,386,443,463,250,287,231,244,354,389,371,325,208,180,225,318,113,145,121,119,117,131,103,100,63,94,92,87,51,68,67,76,98,61,49,66,38,29,All
Deborah Watson Stokes,,,,61,468,452,186,190,417,407,357,181,94,92,164,367,342,350,356,216,229,87,348,122,138,96,149,146,81,91,110,75,114,70,54,70,90,104,76,46,92,41,70,51,33,All
Frances Fattah,,,,,37,377,158,165,351,342,295,157,76,86,130,305,270,297,274,152,176,91,272,134,104,67,143,139,57,88,104,62,98,69,36,44,98,85,72,32,64,39,53,46,38,All
Kai Scott,,,,,,10,190,215,344,430,379,118,120,72,208,315,328,309,273,236,150,65,292,98,94,60,121,114,135,77,93,60,99,45,39,59,70,79,64,121,53,51,59,38,30,All
Tracy B Roman,,,,,,,26,352,117,166,170,282,320,227,223,89,106,73,45,194,166,235,39,112,162,99,119,120,110,105,105,65,73,100,101,58,88,81,62,92,60,43,43,46,28,All
Ken Powell,,,,,,,,29,91,162,169,305,285,261,228,60,132,66,69,193,151,222,37,114,126,115,106,98,135,114,115,76,95,95,106,49,64,62,71,101,52,51,31,48,28,All
Lucretia Clemons,,,,,,,,,5,352,331,87,57,128,94,337,299,314,365,98,128,50,292,160,83,146,81,90,94,52,62,130,68,35,30,131,65,59,40,22,45,31,38,31,21,All
Mia Roberts Perez,,,,,,,,,,2,398,84,115,43,158,341,350,311,287,176,108,48,301,61,81,42,84,89,103,42,59,41,60,38,33,56,70,61,46,111,41,32,51,21,17,All
Abbe Fletman,,,,,,,,,,,2,64,145,75,169,344,364,321,298,119,66,67,298,49,114,80,50,43,93,76,50,44,44,76,65,34,37,41,19,101,18,34,20,11,11,All
Leon Goodman,,,,,,,,,,,,27,226,242,153,61,49,61,66,101,138,201,41,106,111,100,129,89,42,99,113,55,72,100,82,37,66,48,76,31,47,50,31,43,27,All
Scott Diclaudio,,,,,,,,,,,,,23,216,175,45,81,56,29,113,73,209,32,69,106,76,56,47,94,70,67,51,38,92,91,25,48,35,43,82,22,38,17,32,18,All
Jon Marshall,,,,,,,,,,,,,,15,108,28,25,47,90,58,82,188,24,144,92,154,62,52,97,83,66,110,42,71,83,96,45,33,50,13,24,30,19,26,15,All
Daine Grey Jr,,,,,,,,,,,,,,,16,77,85,72,37,183,126,125,46,92,129,106,105,94,107,118,94,45,73,97,104,33,63,58,57,100,47,52,41,38,17,All
Stella Tsai,,,,,,,,,,,,,,,,1,296,304,292,75,77,39,282,38,78,38,60,62,18,40,41,36,65,35,21,40,51,43,32,19,33,31,26,19,14,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,3,278,298,106,61,28,276,34,21,42,48,34,89,28,34,32,35,18,14,14,24,17,25,75,24,18,14,14,15,All
Sherman Toppin,,,,,,,,,,,,,,,,,,2,278,68,77,53,280,63,52,50,71,49,41,36,47,36,45,42,45,25,41,27,39,30,20,22,31,26,15,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,2,49,77,21,273,98,27,111,36,39,84,23,30,90,25,17,17,82,27,34,16,14,16,17,14,15,16,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,3,153,57,49,91,108,44,97,109,122,70,75,55,87,36,36,64,68,86,40,99,70,38,64,31,24,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,13,77,45,119,128,74,118,130,42,86,99,58,69,54,44,62,87,91,81,26,78,35,53,44,36,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,19,25,71,91,68,72,60,30,82,63,43,46,85,76,22,40,25,50,10,23,32,17,27,22,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,5,33,27,21,29,28,37,21,27,29,28,17,14,18,26,24,17,30,18,13,30,11,7,All
