col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Michael Fanning,Tracy B Roman,Abbe Fletman,Ken Powell,Chris Mallios,Betsy Wahl,Daine Grey Jr,Kai Scott,Lyris Younge,Scott Diclaudio,Stephanie M Sawyer,Vince Giusini,Thomas Martin,Vincent N Melchiorre,Jennifer Schultz,Stella Tsai,Brian T Ortelere,James F Berardinelli,Lynne M Summers,Marissa Brumbach,Rainy Papademetriou,Anthony Kyriakakis,Chris Mccabe,Mia Roberts Perez,Lucretia Clemons,Vincent Furlong,Leon Goodman,Deborah Watson Stokes,Edward William Louden Jr,William J Ciancaglini,Frances Fattah,Jodi Lobel,Sandjai Weaver,Franklin A Bennett Iii,Joshua Hill,Rania Major,Jon Marshall,Leon A King Ii,Shanese Johnson,Wayne M D Bennett,Starr Marshall Cash,Tangie M Boston,Sherman Toppin,1
Michael Fanning,12,10,7,11,9,6,8,5,6,7,4,13,9,7,2,1,7,6,3,3,2,2,4,3,3,6,4,1,2,2,2,0,1,1,1,1,0,0,1,1,2,0,2,1
Tracy B Roman,,0,12,16,9,12,11,8,16,14,13,4,9,9,11,10,7,4,7,10,4,4,1,5,7,4,7,6,6,1,4,3,4,1,2,3,4,0,2,1,2,3,2,1
Abbe Fletman,,,1,13,14,14,11,13,9,7,9,5,7,11,8,9,9,5,5,7,10,6,7,7,5,2,2,5,1,1,2,3,0,3,1,0,1,1,0,3,0,1,0,1
Ken Powell,,,,1,14,8,13,9,13,11,8,7,8,10,3,4,10,6,3,4,6,2,4,3,3,3,6,2,3,0,2,0,1,2,1,2,3,2,1,1,1,0,0,1
Chris Mallios,,,,,0,8,9,10,8,5,6,8,10,12,3,4,8,4,0,5,7,8,7,3,3,3,1,2,0,2,2,1,1,1,0,1,0,1,0,2,1,0,0,1
Betsy Wahl,,,,,,0,11,10,9,2,9,6,0,6,7,9,3,2,4,7,3,7,5,8,6,3,1,7,0,1,3,3,1,1,1,3,0,1,1,2,0,3,0,1
Daine Grey Jr,,,,,,,0,12,11,6,9,5,3,6,7,8,10,7,5,4,5,4,2,7,4,4,7,5,3,1,2,2,2,1,1,2,2,3,2,1,0,2,0,1
Kai Scott,,,,,,,,0,8,5,9,4,5,7,7,8,6,5,5,3,7,6,6,6,5,1,5,2,2,2,2,1,3,1,3,2,0,3,4,2,2,0,1,1
Lyris Younge,,,,,,,,,0,9,6,5,6,8,7,5,7,3,4,9,4,4,2,4,3,4,6,3,5,1,0,1,2,2,1,2,3,1,2,3,1,2,0,1
Scott Diclaudio,,,,,,,,,,1,6,4,8,7,4,2,7,5,3,3,4,2,2,2,1,3,7,1,6,3,1,1,2,1,1,0,4,1,1,1,0,0,1,1
Stephanie M Sawyer,,,,,,,,,,,0,1,3,7,8,11,3,6,6,6,4,6,2,6,6,1,4,8,2,0,4,3,2,0,1,1,2,0,2,0,3,2,2,1
Vince Giusini,,,,,,,,,,,,2,4,5,3,0,4,4,2,3,2,5,3,4,1,3,3,1,0,2,0,0,1,0,0,1,0,1,0,3,0,0,1,1
Thomas Martin,,,,,,,,,,,,,2,9,4,1,7,3,1,3,5,0,4,0,2,4,3,0,3,2,1,1,2,1,2,1,1,0,1,1,2,0,1,1
Vincent N Melchiorre,,,,,,,,,,,,,,0,2,5,5,4,1,4,8,6,4,2,3,4,0,4,1,4,2,0,3,1,0,1,0,0,0,0,1,0,0,1
Jennifer Schultz,,,,,,,,,,,,,,,0,7,4,6,6,8,4,3,2,7,5,3,5,5,4,1,3,3,3,0,2,1,2,1,1,3,1,3,1,1
Stella Tsai,,,,,,,,,,,,,,,,0,0,1,7,7,4,6,0,6,5,1,1,6,1,0,3,2,3,1,2,2,1,0,1,1,1,2,0,1
Brian T Ortelere,,,,,,,,,,,,,,,,,0,6,1,4,6,0,5,2,4,3,5,2,3,1,1,0,0,1,0,0,2,1,0,1,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,0,2,0,4,2,3,1,1,3,5,2,3,3,1,0,0,0,1,0,2,1,1,0,2,0,1,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,0,6,1,1,0,7,4,1,5,4,1,1,3,3,3,2,3,2,1,2,3,2,1,2,1,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,0,3,4,2,7,6,1,1,6,0,0,3,3,2,1,0,1,0,0,1,3,1,3,0,1
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,1,4,2,2,2,2,1,2,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,0,1,3,0,2,1,0,1,0,0,1,0,0,0,2,0,0,1,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,1,2,4,4,0,1,0,3,2,0,0,0,0,0,0,0,0,2,1,0,0,1
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,2,5,0,1,3,3,2,0,1,0,0,1,1,3,0,2,0,1
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,4,0,0,3,2,2,0,1,1,0,0,1,0,1,3,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,3,1,0,2,1,0,1,0,1,0,0,1,1,0,1
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,1,1,1,1,1,3,1,4,3,3,2,1,0,2,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,3,2,0,0,1,1,0,0,1,0,2,0,1
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1,0,4,0,0,1,0,0,0,1
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,1,1,0,0,0,0,1
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,0,0,1,0,1,1,0,1,0,0,1
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,1,0,0,2,0,1
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,3,0,1,1,0,0,0,0,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,2,1,0,0,0,0,1
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,2,1,1,0,1,1
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,1
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,1,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,37,29,27,25,22,21,21,20,20,20,19,19,18,18,16,16,15,15,14,14,14,13,13,13,12,12,11,10,7,7,6,6,6,5,5,5,4,4,4,4,3,3,2,1
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
