col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Helen Gym,Paul Steinke,Sherrie Cohen,Blondell Reynolds Brown,W Wilson Goode Jr,Thomas Wyatt,Isaiah Thomas,William K Greenlee,Allan Domb,Derek S Green,Jenne Ayers,Frank Rizzo,Carla M Cain,Wilson Alexander,Ed Neilson,Marnie Aument Loughrey,Abbe Fletman,Kai Scott,Chris Mallios,Mia Roberts Perez,Stella Tsai,Ken Powell,Leon A King Ii,Jodi Lobel,Rainy Papademetriou,Jennifer Schultz,Rania Major,Vince Giusini,Betsy Wahl,Daine Grey Jr,Anthony Kyriakakis,Stephanie M Sawyer,Frances Fattah,Lucretia Clemons,Tracy B Roman,Chris Mccabe,Deborah Watson Stokes,Marissa Brumbach,Brian T Ortelere,James F Berardinelli,Lynne M Summers,Leon Goodman,Thomas Martin,Joshua Hill,Michael Fanning,Shanese Johnson,Jon Marshall,Lyris Younge,Sandjai Weaver,Starr Marshall Cash,Vincent Furlong,Wayne M D Bennett,Edward William Louden Jr,Franklin A Bennett Iii,Sherman Toppin,Vincent N Melchiorre,William J Ciancaglini,Scott Diclaudio,Tangie M Boston,1
Helen Gym,1,32,24,11,13,14,10,9,8,5,8,5,5,1,2,2,40,37,33,33,33,25,19,16,17,16,18,16,12,7,12,10,6,7,5,10,9,7,7,7,2,3,4,4,3,1,0,2,2,0,2,1,1,2,0,1,1,0,0,1
Paul Steinke,,1,14,5,7,13,8,7,5,5,4,2,0,0,1,0,27,25,25,16,16,21,12,10,11,8,11,10,5,9,7,6,4,1,2,6,4,3,4,5,1,2,2,1,2,3,1,1,1,2,2,1,0,1,1,2,1,0,0,1
Sherrie Cohen,,,0,10,4,8,2,8,2,3,7,2,3,2,3,1,18,19,17,19,18,15,11,9,11,5,12,9,6,6,7,8,4,1,5,3,4,4,6,5,3,2,1,1,1,1,0,1,2,0,0,0,1,0,0,1,1,0,0,1
Blondell Reynolds Brown,,,,0,9,2,5,9,6,7,2,1,3,1,2,1,9,10,8,9,7,6,7,2,7,4,4,4,4,9,5,10,6,3,5,1,2,3,5,4,6,5,4,2,1,2,1,2,2,1,2,2,1,1,1,0,2,0,0,1
W Wilson Goode Jr,,,,,0,6,7,5,4,5,2,3,2,1,0,1,11,11,9,6,7,4,4,4,4,7,3,4,5,5,2,6,6,2,2,6,1,0,2,4,3,4,5,4,2,3,0,2,2,1,2,3,0,2,1,0,1,0,0,1
Thomas Wyatt,,,,,,0,9,3,2,2,3,2,1,1,0,1,12,12,12,6,9,9,5,5,7,6,5,4,6,3,3,1,3,0,3,3,1,2,1,0,1,1,1,1,2,3,1,0,1,2,0,0,1,1,1,1,0,0,0,1
Isaiah Thomas,,,,,,,0,4,4,4,1,1,1,1,1,1,6,6,6,4,5,5,4,4,7,6,2,2,6,6,3,5,3,3,3,4,2,3,0,1,4,3,4,1,2,3,3,1,1,2,0,1,1,1,2,0,0,0,0,1
William K Greenlee,,,,,,,,0,3,5,0,2,1,0,4,0,11,11,8,7,6,8,5,3,6,3,4,4,2,7,8,6,2,2,2,2,2,3,5,5,3,1,3,1,1,3,3,1,1,2,1,1,0,0,1,0,1,0,0,1
