col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,City Commissioners - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Lisa M Deeley,Anthony Clark,Carol A Jenkins,Tracey L Gordon,Omar Sabir,Will Mega,Abbe Fletman,Tracy B Roman,Jennifer Schultz,Scott Diclaudio,Michael Fanning,Ken Powell,James F Berardinelli,Leon Goodman,Vincent Furlong,Chris Mallios,Lyris Younge,Vincent N Melchiorre,Rainy Papademetriou,Kai Scott,Betsy Wahl,Daine Grey Jr,Lynne M Summers,Mia Roberts Perez,Thomas Martin,Stephanie M Sawyer,Anthony Kyriakakis,Brian T Ortelere,Chris Mccabe,Marissa Brumbach,Edward William Louden Jr,Vince Giusini,Jon Marshall,Stella Tsai,Deborah Watson Stokes,Jodi Lobel,Wayne M D Bennett,Lucretia Clemons,Joshua Hill,William J Ciancaglini,Frances Fattah,Leon A King Ii,Rania Major,Shanese Johnson,Sherman Toppin,Sandjai Weaver,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,All
Lisa M Deeley,193,426,206,164,119,44,391,376,360,304,353,235,264,194,267,316,286,286,256,247,277,191,226,229,210,249,238,157,222,214,128,181,109,198,169,182,138,164,106,132,86,88,103,91,73,67,68,57,45,All
Anthony Clark,,106,112,140,39,70,240,327,249,342,206,267,234,246,236,178,204,191,154,145,121,172,166,148,177,129,150,149,144,85,203,138,185,93,119,96,155,93,112,90,93,96,77,76,73,70,80,45,40,All
Carol A Jenkins,,,29,110,68,23,210,178,244,128,121,126,158,136,148,120,102,124,161,98,148,157,143,112,91,127,99,111,71,110,83,79,85,121,113,93,82,77,61,49,55,58,70,43,47,42,29,30,31,All
Tracey L Gordon,,,,25,26,17,175,206,241,145,77,114,142,141,158,76,120,77,107,116,122,135,151,114,91,121,76,109,76,92,91,72,90,102,108,83,87,84,73,50,66,57,74,64,43,47,34,37,33,All
Omar Sabir,,,,,14,13,98,59,70,57,121,79,43,40,45,105,98,68,73,74,51,62,40,67,70,59,57,30,55,45,26,56,28,32,41,24,46,27,22,17,48,25,19,31,28,13,16,25,14,All
Will Mega,,,,,,4,56,72,63,81,36,79,72,78,45,33,55,34,39,32,31,46,31,36,47,23,41,46,27,21,53,44,61,31,27,27,34,25,30,23,22,36,20,19,19,24,17,7,12,All
Abbe Fletman,,,,,,,16,275,268,220,218,176,194,179,159,291,153,275,202,264,169,196,116,155,158,159,132,175,147,119,74,95,84,138,84,145,97,123,71,47,42,66,48,43,51,44,33,24,23,All
Tracy B Roman,,,,,,,,19,307,338,165,222,196,233,182,161,234,162,139,118,155,190,177,152,124,167,113,136,84,121,172,89,160,139,118,111,102,82,88,58,78,65,87,73,48,52,35,33,33,All
