col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Christine Hope,Christian Dicicco,Sharon Williams Losier,Joffie C Pittman,Matthew Perks,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,Michael Fanning,Jennifer Schultz,Ken Powell,Tracy B Roman,Vincent N Melchiorre,Chris Mallios,Scott Diclaudio,Vincent Furlong,Lynne M Summers,Abbe Fletman,James F Berardinelli,Rainy Papademetriou,Lyris Younge,Joshua Hill,Thomas Martin,Rania Major,Mia Roberts Perez,Daine Grey Jr,Kai Scott,Brian T Ortelere,Anthony Kyriakakis,Leon Goodman,Jon Marshall,Chris Mccabe,Vince Giusini,Stephanie M Sawyer,Betsy Wahl,Edward William Louden Jr,Marissa Brumbach,Deborah Watson Stokes,Wayne M D Bennett,Stella Tsai,William J Ciancaglini,Jodi Lobel,Lucretia Clemons,Frances Fattah,Leon A King Ii,Sandjai Weaver,Shanese Johnson,Sherman Toppin,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,All
Christine Hope,61,420,362,196,151,170,109,73,440,393,353,373,268,262,310,269,286,257,211,263,251,200,219,207,208,201,184,195,166,139,157,156,141,171,136,107,141,122,111,100,93,93,80,83,66,65,69,69,54,47,42,All
Christian Dicicco,,22,175,69,115,143,77,73,270,295,180,215,162,131,186,183,249,118,178,149,103,216,140,204,127,106,85,101,135,106,103,114,133,115,112,80,102,93,92,87,108,59,62,72,58,52,44,51,41,31,28,All
Sharon Williams Losier,,,7,164,85,56,65,29,214,179,259,305,158,174,265,130,144,178,110,148,222,57,148,80,152,129,140,131,64,122,106,85,65,132,82,102,80,94,69,74,52,60,61,65,39,47,49,45,25,37,31,All
Joffie C Pittman,,,,6,98,69,42,16,137,116,194,160,98,139,171,76,52,158,84,99,154,49,96,45,99,106,147,90,72,96,86,67,59,67,58,69,48,47,56,57,33,46,41,31,39,32,28,34,25,22,18,All
Matthew Perks,,,,,4,60,55,29,103,133,151,121,75,104,119,116,83,76,95,62,77,65,75,39,52,83,78,67,77,101,92,58,66,46,64,89,47,49,45,52,42,57,43,26,33,32,26,24,25,15,12,All
Daniel R Sulman,,,,,,1,25,24,160,142,99,82,79,104,80,78,119,87,78,98,54,114,61,101,66,54,69,47,66,41,43,62,56,54,58,26,44,42,49,52,43,36,30,19,27,21,20,14,20,11,16,All
Gary S Silver,,,,,,,1,24,64,100,72,63,53,51,76,86,54,65,83,73,41,43,46,33,46,76,41,68,48,53,51,40,55,34,29,40,14,35,49,29,41,23,23,26,38,26,30,30,17,16,14,All
Franklin A Bennett Iii,,,,,,,,2,56,55,51,50,43,35,40,45,45,21,43,24,23,28,42,24,37,24,27,24,33,33,39,37,26,35,32,25,28,34,38,29,29,22,18,24,21,23,13,12,41,13,10,All
Michael Fanning,,,,,,,,,34,193,251,202,422,399,210,151,163,156,121,166,157,149,162,140,137,97,142,101,108,63,81,133,91,103,78,52,82,58,64,44,83,51,42,42,27,28,28,27,41,23,30,All
Jennifer Schultz,,,,,,,,,,6,175,203,81,101,156,170,243,138,157,145,105,184,106,168,104,131,85,111,110,128,110,78,95,107,111,91,85,97,82,87,60,53,65,57,50,52,53,47,40,29,30,All
Ken Powell,,,,,,,,,,,7,288,186,192,278,140,111,188,119,174,225,98,178,77,130,144,165,152,97,137,157,92,92,92,70,108,62,57,67,46,57,52,51,38,41,27,35,41,37,11,21,All
Tracy B Roman,,,,,,,,,,,,11,167,174,289,141,142,189,119,174,241,74,149,85,138,135,124,154,74,122,118,74,77,94,79,112,79,76,64,76,45,64,45,50,45,54,39,36,26,33,16,All
Vincent N Melchiorre,,,,,,,,,,,,,2,365,173,111,61,120,85,119,121,42,113,38,99,71,109,84,85,33,57,87,85,71,52,23,76,41,27,33,74,50,27,31,15,28,15,15,22,12,14,All
Chris Mallios,,,,,,,,,,,,,,1,170,95,63,158,88,111,123,56,120,42,123,95,136,88,80,43,58,97,67,86,64,35,51,56,33,51,58,59,41,29,18,29,20,27,22,18,16,All
Scott Diclaudio,,,,,,,,,,,,,,,7,138,82,170,130,156,214,65,141,65,114,116,113,150,70,126,135,71,89,63,43,111,37,31,54,39,73,42,30,27,48,42,22,40,37,17,15,All
Vincent Furlong,,,,,,,,,,,,,,,,9,113,91,147,92,90,69,100,60,58,92,68,99,88,86,100,80,96,65,50,69,48,49,69,48,74,51,26,30,35,35,29,27,33,24,18,All
