col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 7th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Quinones Sanchez,Manny Morales,Tracy B Roman,Ken Powell,Mia Roberts Perez,Thomas Martin,Kai Scott,Brian T Ortelere,Rainy Papademetriou,Frances Fattah,Abbe Fletman,Michael Fanning,Scott Diclaudio,Vincent N Melchiorre,Chris Mallios,Leon Goodman,Jennifer Schultz,Edward William Louden Jr,Jon Marshall,Lyris Younge,Daine Grey Jr,Stephanie M Sawyer,Lynne M Summers,Deborah Watson Stokes,James F Berardinelli,Leon A King Ii,Wayne M D Bennett,Lucretia Clemons,Stella Tsai,Rania Major,Shanese Johnson,Vincent Furlong,Marissa Brumbach,Anthony Kyriakakis,Sherman Toppin,Betsy Wahl,Joshua Hill,Vince Giusini,Chris Mccabe,Sandjai Weaver,Jodi Lobel,Franklin A Bennett Iii,William J Ciancaglini,Tangie M Boston,Starr Marshall Cash,All
Maria Quinones Sanchez,199,0,262,231,238,191,192,176,163,167,154,160,84,145,135,80,88,64,65,54,66,67,53,65,46,46,48,50,40,47,45,34,43,38,38,41,29,34,28,30,20,19,27,26,20,All
Manny Morales,,147,109,84,66,54,37,34,40,31,35,32,82,26,23,70,55,69,57,56,39,35,38,27,26,28,25,23,28,22,18,24,21,23,20,17,26,19,21,16,24,20,14,13,17,All
Tracy B Roman,,,3,215,171,170,151,151,155,137,142,135,86,123,121,84,81,78,70,74,50,42,37,39,42,32,34,34,33,29,33,24,21,24,30,23,18,24,15,22,15,17,10,14,18,All
Ken Powell,,,,2,154,159,155,159,156,144,136,146,71,132,123,79,46,73,74,71,53,38,30,31,35,25,32,20,17,15,21,19,12,18,20,15,32,14,15,13,10,16,11,9,9,All
Mia Roberts Perez,,,,,1,154,169,134,137,142,133,151,37,131,134,36,60,29,15,35,36,54,43,42,26,34,23,32,34,36,22,15,41,23,27,39,16,17,22,18,19,16,22,22,20,All
Thomas Martin,,,,,,3,154,139,137,139,134,141,37,130,127,35,44,31,28,26,35,33,30,28,23,20,29,24,14,19,22,18,26,15,28,18,21,18,16,19,24,11,13,7,8,All
Kai Scott,,,,,,,4,129,131,143,132,137,26,128,129,26,35,19,19,37,31,41,28,35,20,25,25,27,21,24,33,19,20,20,15,25,21,25,17,17,12,15,14,15,13,All
Brian T Ortelere,,,,,,,,4,162,126,133,129,43,115,110,39,47,30,31,24,39,15,19,15,45,19,22,11,16,18,11,21,14,11,15,10,14,12,12,16,7,14,8,8,2,All
