col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Commonwealth Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Todd Eagen,Michael Wojcik,Kai Scott,Ken Powell,Abbe Fletman,Mia Roberts Perez,Stephanie M Sawyer,Tracy B Roman,Daine Grey Jr,Rainy Papademetriou,Lyris Younge,Scott Diclaudio,Stella Tsai,Chris Mallios,Jennifer Schultz,Jodi Lobel,Leon Goodman,Wayne M D Bennett,Betsy Wahl,Deborah Watson Stokes,Shanese Johnson,Thomas Martin,Lucretia Clemons,Lynne M Summers,Anthony Kyriakakis,Marissa Brumbach,Leon A King Ii,Michael Fanning,James F Berardinelli,Chris Mccabe,Jon Marshall,Vincent Furlong,William J Ciancaglini,Vincent N Melchiorre,Joshua Hill,Rania Major,Brian T Ortelere,Sherman Toppin,Frances Fattah,Sandjai Weaver,Vince Giusini,Edward William Louden Jr,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,1
Todd Eagen,3,0,30,26,21,23,21,19,17,21,15,16,14,15,12,11,14,10,12,14,9,10,7,11,9,11,13,9,8,8,8,9,6,8,6,7,4,5,5,6,3,4,4,0,3,1
Michael Wojcik,,4,7,7,7,7,6,10,7,6,5,8,12,5,10,7,8,8,7,3,6,8,9,7,7,5,2,6,6,4,6,4,3,2,4,4,5,2,1,2,3,2,3,4,0,1
Kai Scott,,,0,23,27,25,24,11,20,18,18,10,15,19,12,13,10,10,13,12,11,8,10,7,13,8,10,11,8,8,4,3,4,9,5,4,4,6,5,5,3,2,2,0,2,1
Ken Powell,,,,1,18,16,15,15,17,9,14,13,7,14,8,8,11,8,5,11,8,9,4,8,8,5,8,8,9,8,7,6,5,10,5,2,5,3,3,1,4,4,2,0,2,1
Abbe Fletman,,,,,0,18,15,11,16,14,10,6,15,19,10,12,6,9,10,9,8,4,7,6,10,8,5,7,8,6,4,2,1,9,5,7,4,1,1,3,4,1,1,2,0,1
Mia Roberts Perez,,,,,,0,20,13,16,16,12,9,16,13,8,9,7,6,9,11,7,8,6,9,7,6,7,9,7,6,2,3,3,8,4,6,3,3,5,5,2,4,1,2,1,1
Stephanie M Sawyer,,,,,,,0,13,23,11,17,8,9,12,8,7,6,8,10,13,10,5,7,9,4,8,9,7,4,4,2,5,2,6,5,6,3,5,6,3,3,2,0,2,2,1
Tracy B Roman,,,,,,,,2,14,7,14,19,9,8,9,6,9,9,7,7,11,10,8,9,3,5,6,5,3,6,7,7,3,7,4,6,5,3,4,7,1,6,2,1,1,1
Daine Grey Jr,,,,,,,,,0,7,13,9,7,11,4,7,8,9,6,12,10,4,4,9,5,7,10,7,4,4,4,7,3,9,5,5,4,3,3,1,1,3,1,2,1,1
Rainy Papademetriou,,,,,,,,,,1,6,6,14,10,9,9,5,5,10,7,3,2,5,3,9,10,4,5,6,5,4,4,2,3,1,4,3,2,3,4,4,1,1,2,0,1
Lyris Younge,,,,,,,,,,,0,14,6,5,5,8,7,7,6,5,8,3,6,5,3,3,5,5,2,2,6,6,2,5,1,1,2,4,5,2,2,3,0,1,1,1
Scott Diclaudio,,,,,,,,,,,,0,6,7,7,5,9,3,4,4,5,6,6,4,4,4,2,5,6,4,7,8,4,5,1,1,1,4,4,3,2,4,3,0,0,1
Stella Tsai,,,,,,,,,,,,,0,11,12,9,5,6,10,6,5,3,6,3,11,5,4,4,5,5,3,3,0,4,3,4,5,2,1,4,0,3,1,2,0,1
Chris Mallios,,,,,,,,,,,,,,1,6,6,4,3,6,8,1,3,5,1,5,5,2,6,5,3,1,2,1,6,1,1,2,0,0,1,3,1,0,0,0,1
Jennifer Schultz,,,,,,,,,,,,,,,0,7,5,4,11,5,5,6,8,4,5,3,5,2,3,4,3,3,0,0,4,5,5,3,1,3,1,2,3,2,0,1
Jodi Lobel,,,,,,,,,,,,,,,,1,6,6,12,5,6,8,8,5,7,6,3,6,4,4,4,4,1,1,0,4,4,2,0,3,1,0,0,3,0,1
Leon Goodman,,,,,,,,,,,,,,,,,0,9,4,5,3,9,7,8,4,6,7,5,7,5,10,3,3,2,4,4,4,3,2,1,0,3,2,3,1,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,1,4,4,8,7,6,7,6,5,7,5,5,5,6,4,3,4,5,5,3,3,1,2,3,2,2,2,0,1
Betsy Wahl,,,,,,,,,,,,,,,,,,,0,6,7,4,6,5,5,6,5,3,2,6,5,2,1,1,3,6,4,3,0,3,1,0,1,4,0,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,0,9,4,5,6,3,6,4,3,4,1,2,2,2,4,6,3,2,1,3,2,1,2,2,2,2,1
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,1,7,5,10,4,2,5,2,3,3,2,3,2,3,5,3,3,5,3,6,2,1,1,3,2,1
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,0,9,9,5,5,5,6,5,5,4,4,3,2,4,3,3,3,4,4,3,0,1,1,1,1
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,0,7,6,7,3,6,3,2,4,5,1,1,5,2,1,3,3,4,2,3,2,1,0,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,8,1,5,6,4,7,5,1,7,5,2,2,4,2,3,3,2,4,2,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,0,6,2,8,6,4,4,3,1,4,1,0,5,2,2,3,3,1,0,1,0,1
