col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Joffie C Pittman,Daniel R Sulman,Matthew Perks,Christine Hope,Sharon Williams Losier,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Kai Scott,Abbe Fletman,Rainy Papademetriou,Mia Roberts Perez,Stella Tsai,Chris Mallios,Betsy Wahl,Stephanie M Sawyer,Jennifer Schultz,Daine Grey Jr,Ken Powell,Anthony Kyriakakis,Leon A King Ii,Brian T Ortelere,Lucretia Clemons,Deborah Watson Stokes,James F Berardinelli,Marissa Brumbach,Tracy B Roman,Lynne M Summers,Scott Diclaudio,Lyris Younge,Chris Mccabe,Leon Goodman,Wayne M D Bennett,Jodi Lobel,Rania Major,Vincent N Melchiorre,Frances Fattah,Sandjai Weaver,Jon Marshall,Michael Fanning,Thomas Martin,Sherman Toppin,Edward William Louden Jr,Vince Giusini,Shanese Johnson,William J Ciancaglini,Joshua Hill,Starr Marshall Cash,Tangie M Boston,Franklin A Bennett Iii,Vincent Furlong,1
Joffie C Pittman,1,79,60,16,17,5,3,3,83,81,74,68,68,65,41,42,33,36,32,30,29,26,12,15,13,13,12,9,11,11,15,15,15,10,6,10,9,3,6,9,7,3,5,5,5,4,4,2,2,1,1,1
Daniel R Sulman,,0,53,4,4,3,3,0,71,73,65,55,61,56,32,30,21,25,19,24,20,23,6,10,9,8,0,3,4,3,14,10,12,6,4,9,4,3,2,3,5,1,1,3,2,1,2,2,1,2,1,1
Matthew Perks,,,0,6,7,6,3,1,57,56,48,44,46,45,24,22,18,16,19,20,22,16,11,5,9,6,6,1,10,5,9,9,10,7,6,4,3,5,5,2,7,3,6,5,1,3,5,1,1,1,1,1
Christine Hope,,,,0,25,16,2,4,19,16,12,21,12,9,17,17,23,12,14,8,8,7,13,12,10,14,17,16,11,13,1,4,4,8,11,7,8,10,3,6,2,5,4,6,6,7,1,2,3,1,0,1
Sharon Williams Losier,,,,,0,9,6,2,12,11,13,16,12,6,11,15,19,12,13,7,6,10,11,8,10,7,16,13,9,11,3,10,5,6,8,5,5,8,6,4,2,5,5,5,6,1,1,3,1,2,1,1
Christian Dicicco,,,,,,0,3,3,9,10,9,11,10,6,11,9,14,6,9,8,4,6,9,7,5,10,8,9,6,6,1,2,2,5,11,6,5,9,1,2,3,3,5,3,2,6,2,2,1,1,0,1
Gary S Silver,,,,,,,0,2,2,3,3,3,3,3,1,3,5,4,3,6,0,2,2,4,5,2,4,4,4,2,1,5,3,1,2,2,3,2,4,1,3,3,3,2,2,0,1,0,0,1,2,1
Franklin A Bennett Iii,,,,,,,,0,3,1,2,3,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,3,2,1,0,1,0,0,1,1,3,2,0,0,1,2,1,1,1,3,2,0,1,0,0,1
