col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,City Commissioners - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Anthony Clark,Omar Sabir,Tracey L Gordon,Lisa M Deeley,Carol A Jenkins,Will Mega,Lyris Younge,Tracy B Roman,Ken Powell,Kai Scott,Leon Goodman,Frances Fattah,Rainy Papademetriou,Stephanie M Sawyer,Jennifer Schultz,Daine Grey Jr,Jon Marshall,Mia Roberts Perez,Thomas Martin,Scott Diclaudio,Abbe Fletman,Brian T Ortelere,Deborah Watson Stokes,Michael Fanning,Lynne M Summers,Leon A King Ii,Shanese Johnson,Edward William Louden Jr,Chris Mallios,Marissa Brumbach,Wayne M D Bennett,Vincent Furlong,Betsy Wahl,James F Berardinelli,Sandjai Weaver,Lucretia Clemons,Sherman Toppin,Rania Major,Stella Tsai,Joshua Hill,Tangie M Boston,Vincent N Melchiorre,Anthony Kyriakakis,Vince Giusini,Jodi Lobel,Chris Mccabe,Franklin A Bennett Iii,Starr Marshall Cash,William J Ciancaglini,All
Anthony Clark,125,261,268,120,172,167,569,597,582,413,546,413,267,303,358,417,392,233,286,477,230,239,270,193,268,259,236,320,134,134,269,230,139,200,147,153,186,163,127,165,103,143,117,112,94,84,100,70,65,All
Omar Sabir,,38,78,310,57,50,453,395,378,499,381,504,523,418,382,223,336,395,338,94,308,301,221,292,161,161,162,79,289,288,136,94,120,60,109,109,120,112,107,80,80,85,61,55,71,73,57,59,48,All
Tracey L Gordon,,,23,50,106,51,205,255,205,203,207,206,136,188,245,259,137,132,141,141,130,150,172,79,151,156,156,120,59,96,153,155,112,127,97,101,81,126,101,82,92,41,63,58,55,49,54,55,32,All
Lisa M Deeley,,,,7,53,15,361,369,298,390,58,119,288,365,104,143,49,349,289,85,291,41,122,295,96,66,90,47,289,65,59,43,93,37,49,69,58,63,80,36,42,74,41,37,32,40,23,44,26,All
Carol A Jenkins,,,,,11,15,137,162,149,148,132,141,105,133,181,193,91,80,99,86,109,106,129,42,137,109,109,69,40,66,95,113,77,86,77,86,62,90,59,53,68,31,44,35,42,29,42,37,29,All
Will Mega,,,,,,19,165,171,176,99,188,66,76,84,94,126,148,42,49,146,54,66,61,22,54,79,54,140,21,23,68,49,41,81,48,32,43,41,52,25,38,12,25,42,18,20,19,12,22,All
Lyris Younge,,,,,,,37,688,622,567,317,283,390,468,240,355,277,410,349,335,384,139,207,335,189,160,170,270,332,91,147,118,117,123,92,104,156,101,101,74,76,138,72,60,72,89,53,59,34,All
Tracy B Roman,,,,,,,,36,654,497,367,238,404,454,274,345,274,417,402,373,403,159,196,331,195,162,172,289,327,95,158,148,137,144,97,112,107,143,112,81,73,92,59,69,63,48,65,56,33,All
Ken Powell,,,,,,,,,19,435,399,218,379,392,218,327,332,354,376,327,364,158,150,330,183,178,155,279,311,61,168,154,92,138,89,90,97,102,68,100,57,100,67,59,52,47,62,34,40,All
Kai Scott,,,,,,,,,,26,207,313,338,568,186,337,115,470,387,136,390,89,291,363,209,199,222,83,360,109,170,112,150,80,125,172,149,135,130,100,101,146,61,77,83,92,59,68,39,All
Leon Goodman,,,,,,,,,,,24,433,379,164,455,295,570,111,179,285,91,390,178,71,163,203,147,249,46,283,198,172,90,152,120,97,104,114,87,105,67,45,69,62,52,46,65,41,42,All
Frances Fattah,,,,,,,,,,,,25,345,271,430,233,355,185,213,117,122,321,267,99,225,206,218,84,67,337,163,134,142,76,134,131,132,132,130,113,109,69,50,46,63,66,68,72,62,All
Rainy Papademetriou,,,,,,,,,,,,,5,315,419,221,358,294,318,131,366,399,94,268,89,79,86,119,263,273,78,129,62,154,64,41,55,56,68,34,37,61,46,48,35,17,24,24,23,All
Stephanie M Sawyer,,,,,,,,,,,,,,13,190,307,99,443,356,121,347,83,270,361,202,179,200,58,361,114,138,83,151,61,109,126,100,131,126,62,111,99,56,51,54,49,55,71,45,All
Jennifer Schultz,,,,,,,,,,,,,,,9,266,404,133,137,177,183,434,164,51,178,145,153,154,55,350,147,169,149,183,105,95,92,123,114,80,74,45,89,62,56,32,40,50,43,All
Daine Grey Jr,,,,,,,,,,,,,,,,8,188,217,167,233,223,191,214,144,194,185,161,163,123,106,208,197,138,184,132,102,116,131,103,102,82,114,67,87,73,50,63,51,40,All
Jon Marshall,,,,,,,,,,,,,,,,,14,69,119,258,81,367,84,56,100,113,88,229,41,268,106,111,49,128,75,46,70,71,55,60,27,27,53,41,39,30,36,28,32,All
Mia Roberts Perez,,,,,,,,,,,,,,,,,,3,325,115,341,47,168,335,138,101,120,49,334,71,97,65,120,47,73,118,85,92,113,59,58,108,54,39,65,67,32,65,34,All
Thomas Martin,,,,,,,,,,,,,,,,,,,2,97,286,70,154,275,162,136,138,85,278,55,142,124,75,58,86,79,99,84,61,95,57,37,40,58,32,41,56,37,37,All
Scott Diclaudio,,,,,,,,,,,,,,,,,,,,14,157,144,55,97,92,78,78,258,78,41,117,100,47,136,57,32,66,76,50,49,35,83,60,57,26,24,44,23,36,All
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,3,117,92,288,86,74,74,87,306,43,67,112,55,119,51,65,67,54,78,36,29,101,42,37,52,44,20,25,28,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,2,62,55,61,77,69,119,28,260,103,129,50,151,48,25,51,65,45,43,31,29,37,52,28,18,41,18,23,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,5,85,192,164,185,59,64,109,135,94,143,59,107,149,107,112,124,65,120,59,46,36,75,82,64,76,40,All
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,0,53,63,62,29,327,31,59,42,33,33,38,26,49,59,29,51,31,100,28,25,22,45,46,39,23,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,9,158,187,66,56,81,117,107,119,54,73,125,79,139,94,82,85,33,71,52,52,38,50,46,41,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,6,130,78,64,58,186,90,72,75,92,90,92,93,75,95,71,26,64,61,37,37,59,33,37,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,8,59,52,101,120,70,122,37,88,113,70,118,94,70,87,33,44,44,48,38,47,56,37,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,22,32,100,100,48,120,36,40,46,50,40,44,30,27,41,45,13,17,35,21,25,All
