col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,Lyris Younge,Ken Powell,Tracy B Roman,Scott Diclaudio,Daine Grey Jr,Kai Scott,Leon Goodman,Frances Fattah,Stephanie M Sawyer,Jon Marshall,Mia Roberts Perez,Abbe Fletman,Edward William Louden Jr,Deborah Watson Stokes,Michael Fanning,Vincent N Melchiorre,Chris Mallios,Lynne M Summers,Leon A King Ii,Jennifer Schultz,Wayne M D Bennett,Thomas Martin,Lucretia Clemons,Vincent Furlong,Shanese Johnson,Rainy Papademetriou,Sandjai Weaver,Anthony Kyriakakis,James F Berardinelli,Sherman Toppin,Rania Major,Marissa Brumbach,Brian T Ortelere,Jodi Lobel,Betsy Wahl,Stella Tsai,Joshua Hill,Tangie M Boston,Vince Giusini,Chris Mccabe,Starr Marshall Cash,Franklin A Bennett Iii,William J Ciancaglini,All
Sharon Williams Losier,50,680,571,255,164,134,75,52,762,705,734,688,524,491,390,334,460,307,395,376,274,258,280,296,290,204,188,181,207,153,159,120,183,116,129,90,110,122,127,93,91,108,98,119,83,97,81,66,72,51,40,All
Joffie C Pittman,,28,448,215,124,63,51,49,695,645,578,558,459,465,314,262,365,259,347,347,216,172,240,283,281,130,141,132,161,118,107,80,108,88,84,75,92,105,65,58,63,75,72,80,58,58,58,61,48,34,25,All
Christine Hope,,,13,105,129,108,99,77,493,437,481,340,507,458,206,305,384,148,342,368,131,236,264,251,247,207,182,208,160,154,142,154,170,120,117,85,101,122,121,98,95,93,94,94,85,85,61,77,76,54,33,All
Matthew Perks,,,,8,36,65,43,32,218,249,237,201,109,96,229,115,70,202,70,66,188,77,50,32,40,71,89,110,83,81,50,76,60,62,47,41,71,51,54,29,51,29,29,35,50,26,30,26,18,32,17,All
Christian Dicicco,,,,,1,51,43,29,142,128,103,104,140,120,83,172,111,66,112,87,59,91,49,72,62,90,84,73,113,74,73,70,75,48,52,54,51,54,65,35,38,35,35,39,41,39,32,30,38,33,23,All
Gary S Silver,,,,,,6,52,24,93,116,112,79,122,77,113,104,67,83,57,72,79,82,44,23,32,81,79,91,77,88,47,94,68,57,52,45,67,45,48,27,64,26,27,29,45,26,40,26,27,30,30,All
Franklin A Bennett Iii,,,,,,,3,12,67,87,67,49,66,68,78,96,59,55,50,22,40,67,32,19,19,68,80,55,75,56,39,58,59,32,45,27,30,38,49,22,20,23,20,24,34,34,17,21,24,39,16,All
Daniel R Sulman,,,,,,,,0,55,51,45,29,61,67,51,59,54,26,46,37,26,49,32,21,33,53,57,45,43,36,37,34,35,22,16,35,31,28,29,26,15,22,33,20,23,18,31,21,14,9,11,All
Lyris Younge,,,,,,,,,38,674,638,584,476,475,304,301,398,271,345,381,241,196,252,291,278,150,161,136,168,124,109,98,129,94,72,62,75,110,74,48,71,82,68,68,55,52,52,66,50,40,29,All
Ken Powell,,,,,,,,,,20,616,606,452,389,354,228,330,299,324,353,260,123,243,296,277,114,139,141,171,120,80,106,101,91,69,63,82,82,69,54,78,52,52,39,76,41,59,38,41,40,22,All
Tracy B Roman,,,,,,,,,,,20,577,421,355,343,231,326,267,290,310,270,172,237,240,230,153,135,164,123,124,92,113,130,88,88,63,98,78,105,61,73,56,66,60,69,65,55,39,47,45,31,All
Scott Diclaudio,,,,,,,,,,,,24,381,312,267,150,277,256,278,303,232,83,225,265,250,65,84,93,130,76,51,73,58,80,59,52,97,63,58,28,73,33,32,31,47,38,44,28,20,39,26,All
Daine Grey Jr,,,,,,,,,,,,,11,427,198,236,390,135,321,419,106,166,240,273,273,141,154,141,162,107,89,120,115,117,81,56,109,77,82,51,100,45,67,73,59,60,53,45,49,34,31,All
Kai Scott,,,,,,,,,,,,,,9,157,280,414,85,382,337,60,191,256,301,292,143,148,114,161,90,103,78,137,52,97,58,56,100,79,60,40,73,67,81,71,68,46,70,58,26,31,All
Leon Goodman,,,,,,,,,,,,,,,20,191,105,300,94,86,241,148,59,41,50,130,164,133,136,117,61,105,99,79,90,49,93,85,67,33,68,42,37,47,59,55,58,36,37,40,30,All
Frances Fattah,,,,,,,,,,,,,,,,37,219,109,194,157,90,213,81,110,105,182,180,112,173,140,102,123,162,52,86,57,54,89,95,53,44,59,72,80,79,79,35,58,62,47,26,All
