col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Helen Gym,Paul Steinke,Allan Domb,Sherrie Cohen,Thomas Wyatt,Blondell Reynolds Brown,Derek S Green,Isaiah Thomas,William K Greenlee,Jenne Ayers,W Wilson Goode Jr,Frank Rizzo,Ed Neilson,Carla M Cain,Marnie Aument Loughrey,Wilson Alexander,Rainy Papademetriou,Abbe Fletman,Kai Scott,Stella Tsai,Chris Mallios,Mia Roberts Perez,Anthony Kyriakakis,Jennifer Schultz,Tracy B Roman,Betsy Wahl,Stephanie M Sawyer,Ken Powell,Brian T Ortelere,Daine Grey Jr,Marissa Brumbach,Scott Diclaudio,Deborah Watson Stokes,James F Berardinelli,Lynne M Summers,Lucretia Clemons,Vincent N Melchiorre,Jodi Lobel,Vince Giusini,Chris Mccabe,Leon Goodman,Lyris Younge,Thomas Martin,Rania Major,Leon A King Ii,Frances Fattah,Michael Fanning,Joshua Hill,Vincent Furlong,Wayne M D Bennett,Jon Marshall,William J Ciancaglini,Edward William Louden Jr,Shanese Johnson,Sandjai Weaver,Sherman Toppin,Tangie M Boston,Franklin A Bennett Iii,Starr Marshall Cash,All
Helen Gym,91,"1,153",642,953,744,556,361,481,381,357,381,173,147,242,148,70,"1,026",992,886,846,822,772,667,515,362,574,504,350,429,402,421,228,384,295,302,391,247,342,220,291,177,155,162,213,196,189,152,157,103,157,84,97,83,128,113,64,58,46,53,All
Paul Steinke,,23,616,678,785,388,373,462,289,200,228,158,141,105,50,60,772,801,677,586,672,494,529,356,239,377,342,313,384,295,284,201,234,293,191,267,217,232,199,248,154,108,166,118,153,96,128,141,97,120,81,104,93,72,68,68,32,46,35,All
Allan Domb,,,54,363,427,237,278,227,239,219,146,248,119,134,61,70,464,429,318,326,299,285,322,323,306,238,200,221,240,216,245,264,207,271,214,186,197,186,218,185,172,124,159,128,107,100,117,133,169,123,111,136,107,60,69,83,43,47,43,All
Sherrie Cohen,,,,13,346,473,227,243,362,288,243,114,147,198,108,52,659,658,545,573,500,547,409,372,279,366,388,276,324,313,274,183,277,225,251,250,180,254,157,220,152,126,126,165,148,138,115,139,108,115,68,78,59,93,83,57,52,38,46,All
Thomas Wyatt,,,,,25,198,341,402,164,161,170,122,82,78,38,63,535,519,472,367,446,319,351,287,202,265,207,221,277,226,223,178,169,227,139,199,177,155,167,182,136,99,150,87,118,86,115,117,115,110,92,73,92,50,61,45,19,34,24,All
Blondell Reynolds Brown,,,,,,16,214,196,354,142,259,99,161,96,61,36,447,381,345,348,295,374,272,205,216,191,295,258,219,270,152,176,201,176,185,156,149,119,110,133,125,147,109,122,123,139,93,92,98,83,71,52,76,82,60,63,42,24,38,All
Derek S Green,,,,,,,13,257,134,208,141,103,73,110,47,101,306,284,267,205,203,227,204,215,225,166,183,227,160,199,147,230,171,147,146,149,130,93,114,113,178,153,110,98,115,91,92,94,99,102,125,58,122,69,69,78,37,45,31,All
Isaiah Thomas,,,,,,,,8,145,116,249,62,44,44,24,31,324,344,355,266,275,274,198,173,138,173,206,136,177,164,144,96,174,108,129,161,128,123,80,141,104,93,103,69,89,121,78,99,45,76,51,42,44,59,46,47,31,30,31,All
William K Greenlee,,,,,,,,,3,73,202,109,176,32,39,29,353,296,292,253,271,274,227,137,163,158,181,210,190,187,126,143,123,158,99,105,165,104,111,121,82,94,116,61,80,81,127,83,78,59,68,63,49,46,29,42,21,26,18,All
Jenne Ayers,,,,,,,,,,7,72,83,40,220,122,102,238,218,186,263,125,243,157,279,265,195,195,151,124,146,176,169,187,110,188,160,71,147,95,87,128,124,62,149,77,89,41,66,81,84,110,47,113,85,74,57,39,26,39,All
W Wilson Goode Jr,,,,,,,,,,,6,99,109,39,20,27,271,248,266,200,193,232,183,146,155,144,197,134,147,151,109,101,166,79,139,105,123,112,72,114,98,102,90,72,74,122,73,66,59,76,43,36,35,68,39,40,31,27,31,All
Frank Rizzo,,,,,,,,,,,,17,83,65,52,35,163,102,73,108,81,106,141,142,161,80,105,93,83,80,103,173,127,151,135,68,107,72,177,74,94,65,70,79,47,69,65,57,98,67,63,138,75,45,34,31,24,44,21,All
Ed Neilson,,,,,,,,,,,,,11,13,25,21,163,130,116,91,114,94,85,79,142,62,101,106,74,86,92,101,92,67,84,50,105,48,90,58,50,67,82,53,34,33,103,36,43,37,41,51,38,34,20,27,11,19,16,All
Carla M Cain,,,,,,,,,,,,,,3,120,43,167,144,96,184,51,175,87,220,180,141,144,72,73,110,139,98,150,80,155,132,36,108,62,45,84,77,35,125,48,65,25,38,73,48,51,35,51,76,60,39,28,18,33,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,2,20,95,78,46,110,36,108,48,118,106,99,94,30,25,38,104,58,85,38,108,90,26,73,49,30,27,44,23,85,21,43,27,20,33,25,22,29,27,49,38,22,22,10,21,All
Wilson Alexander,,,,,,,,,,,,,,,,2,64,62,49,47,41,45,43,63,92,39,39,83,38,52,29,99,45,49,40,24,20,23,37,25,78,73,31,30,25,24,21,28,48,35,73,23,67,25,22,23,12,11,15,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,10,809,713,699,661,609,576,386,281,405,368,344,506,372,276,223,256,325,211,310,276,239,176,280,165,149,235,157,169,141,123,170,130,113,99,71,112,82,76,58,34,33,32,All
Abbe Fletman,,,,,,,,,,,,,,,,,,3,939,650,840,599,471,372,218,418,416,351,443,388,265,158,254,253,147,321,265,240,149,274,150,136,175,113,153,88,139,129,83,128,67,45,66,59,52,50,27,22,22,All
Kai Scott,,,,,,,,,,,,,,,,,,,1,554,769,583,422,280,170,384,401,314,381,363,214,126,247,192,111,306,253,195,120,249,114,135,164,87,158,94,163,140,51,108,35,37,30,60,62,52,34,18,29,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,1,544,648,474,414,261,482,407,232,325,276,299,121,322,206,252,295,138,291,128,189,115,89,86,172,143,157,78,130,75,112,51,52,53,93,102,48,45,26,35,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,,4,489,432,220,121,335,336,292,305,284,173,124,215,212,62,176,181,168,120,187,92,69,86,45,142,73,148,100,37,86,27,40,33,31,24,30,12,22,19,All
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,,,,2,399,377,278,429,471,289,279,353,277,152,306,175,264,284,182,247,114,164,109,146,93,188,143,161,136,143,66,99,50,59,45,116,88,63,52,33,44,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,11,249,174,287,262,253,286,224,176,166,197,241,137,149,125,168,154,152,121,65,77,92,141,76,87,111,92,100,59,82,65,48,62,50,17,29,28,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,0,341,371,297,183,181,209,270,178,287,173,314,222,77,240,104,96,190,131,85,202,106,117,68,97,134,105,111,62,115,103,83,60,49,34,42,All
Tracy B Roman,,,,,,,,,,,,,,,,,,,,,,,,,10,211,246,248,133,221,225,320,243,180,261,156,108,145,132,59,180,241,85,178,93,111,113,79,125,85,155,70,149,108,79,67,44,31,32,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,9,298,147,171,164,283,93,296,102,198,237,115,238,89,128,71,70,59,140,102,86,74,85,57,67,32,38,29,86,66,28,41,17,36,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,1,215,171,310,267,113,326,146,232,184,138,178,99,116,92,127,58,152,77,121,106,66,57,84,44,51,38,98,63,40,63,31,57,All
Ken Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,248,289,94,266,93,224,84,87,146,72,110,93,180,185,99,56,112,63,143,73,100,80,156,56,144,45,41,60,12,27,21,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,231,82,160,95,226,81,201,193,114,97,241,102,64,177,55,96,79,67,77,76,74,72,52,74,24,33,35,17,27,8,All
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,109,187,164,219,116,108,123,86,105,98,143,170,88,88,111,90,115,83,93,87,82,41,83,69,56,51,24,25,24,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,92,234,98,194,198,113,185,159,85,98,72,76,144,48,67,91,44,54,73,32,53,44,82,65,32,37,19,40,All
Scott Diclaudio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,107,236,120,69,126,57,150,73,174,199,88,76,64,57,120,70,129,79,166,131,168,46,43,61,31,50,21,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,101,239,186,77,201,79,103,129,91,57,142,89,117,64,69,73,80,42,46,47,97,68,46,65,32,57,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,82,71,106,84,184,84,120,88,94,41,87,59,76,74,121,91,86,110,108,31,33,42,19,34,12,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,187,74,171,88,78,111,97,87,183,68,133,53,86,93,76,55,65,55,112,77,57,49,37,43,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,145,160,65,161,76,66,133,125,80,93,53,60,34,68,26,28,31,89,63,37,41,21,33,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,74,137,182,44,64,178,32,30,47,137,69,61,49,36,90,32,29,27,23,11,20,19,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,54,108,79,45,57,117,39,72,39,75,39,43,29,36,23,62,53,32,38,25,32,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,75,89,58,89,60,68,39,77,60,91,82,50,128,58,45,44,35,15,26,19,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,65,40,160,36,42,56,59,79,48,57,36,43,25,30,19,25,13,28,26,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,123,61,72,83,51,45,75,88,82,142,52,121,48,45,53,15,32,21,All
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,72,44,56,91,30,59,39,118,28,117,47,36,44,28,9,24,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,55,57,71,80,58,54,49,31,40,38,30,50,11,22,17,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,86,34,35,54,50,37,37,40,82,82,41,44,22,29,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,75,42,51,42,71,35,19,37,51,45,43,21,20,14,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,51,54,52,28,31,31,81,45,30,32,26,25,All
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,37,41,59,32,51,33,25,18,23,18,33,14,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,62,37,26,36,38,24,39,17,22,14,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,67,60,70,95,23,33,38,21,22,17,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,51,31,49,26,28,34,24,38,15,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,33,114,29,29,30,11,23,15,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,17,17,13,15,27,20,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,21,29,10,24,15,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,34,27,22,23,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,24,16,22,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,17,All
