col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,1
,Abbe Fletman,Kai Scott,Chris Mallios,Mia Roberts Perez,Stella Tsai,Ken Powell,Leon A King Ii,Jodi Lobel,Rainy Papademetriou,Jennifer Schultz,Rania Major,Vince Giusini,Betsy Wahl,Daine Grey Jr,Anthony Kyriakakis,Stephanie M Sawyer,Frances Fattah,Lucretia Clemons,Tracy B Roman,Chris Mccabe,Deborah Watson Stokes,Marissa Brumbach,Brian T Ortelere,James F Berardinelli,Lynne M Summers,Leon Goodman,Thomas Martin,Joshua Hill,Michael Fanning,Shanese Johnson,Jon Marshall,Lyris Younge,Sandjai Weaver,Starr Marshall Cash,Vincent Furlong,Wayne M D Bennett,Edward William Louden Jr,Franklin A Bennett Iii,Sherman Toppin,Vincent N Melchiorre,William J Ciancaglini,Scott Diclaudio,Tangie M Boston,Michael Wojcik,Todd Eagen,1
Abbe Fletman,0,41,32,27,27,28,20,14,13,15,16,17,8,9,13,8,4,4,1,8,5,6,8,7,1,1,3,3,2,3,1,1,1,2,1,1,0,1,1,2,1,0,0,19,16,1
Kai Scott,,0,30,26,25,28,19,13,12,14,17,15,9,10,12,10,3,4,3,7,5,6,8,7,1,1,4,2,3,3,1,2,1,2,2,1,0,2,2,2,1,0,0,17,15,1
Chris Mallios,,,1,20,17,17,9,15,13,11,9,8,6,8,10,8,3,2,2,8,4,6,6,7,0,1,3,3,2,1,0,1,1,0,0,1,0,1,0,2,0,0,0,11,12,1
Mia Roberts Perez,,,,0,23,21,19,10,13,11,14,13,9,9,10,9,5,5,3,5,6,4,6,6,4,3,2,3,3,0,0,0,1,0,0,2,1,1,0,2,1,0,0,15,14,1
Stella Tsai,,,,,0,20,17,11,15,10,17,16,12,2,8,7,6,4,4,8,6,4,6,4,2,2,2,2,1,1,0,1,2,0,1,0,1,1,0,0,1,0,0,16,10,1
Ken Powell,,,,,,0,18,7,10,7,16,15,7,9,9,6,2,2,3,3,1,1,6,4,2,1,2,1,3,3,1,1,0,3,1,0,1,1,1,2,1,0,0,16,9,1
Leon A King Ii,,,,,,,0,3,7,5,12,12,5,5,6,4,4,3,3,2,2,0,3,1,3,5,1,1,0,2,1,1,2,1,0,2,1,0,1,0,1,0,0,14,9,1
Jodi Lobel,,,,,,,,0,8,10,5,4,9,4,4,3,3,5,5,4,6,8,1,2,3,0,2,2,5,2,2,1,1,1,0,0,1,0,0,2,0,0,0,3,9,1
Rainy Papademetriou,,,,,,,,,0,6,4,5,9,5,8,7,3,6,4,6,4,5,5,6,2,2,3,1,2,0,2,0,1,0,0,0,1,0,0,0,1,0,0,7,9,1
Jennifer Schultz,,,,,,,,,,0,3,1,11,6,7,6,4,6,3,6,7,6,4,4,4,2,3,4,3,4,1,0,2,2,0,2,1,1,1,1,0,0,0,5,9,1
Rania Major,,,,,,,,,,,0,13,5,1,2,3,4,1,3,0,2,3,2,0,3,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,0,0,14,4,1
Vince Giusini,,,,,,,,,,,,0,2,0,1,1,2,0,2,2,2,2,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,2,0,0,15,2,1
Betsy Wahl,,,,,,,,,,,,,0,4,5,6,5,5,6,3,3,4,3,1,5,1,2,2,2,3,1,1,2,1,0,1,1,1,1,0,0,0,0,3,8,1
Daine Grey Jr,,,,,,,,,,,,,,1,7,9,2,2,4,2,1,1,4,5,5,4,3,3,3,3,2,1,1,2,0,3,1,0,2,2,0,0,0,5,7,1
Anthony Kyriakakis,,,,,,,,,,,,,,,0,6,1,4,1,3,1,2,6,4,1,0,3,3,2,1,3,0,0,1,0,1,0,0,1,1,0,0,0,4,8,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,0,4,2,5,3,3,3,4,5,4,3,4,2,2,1,1,1,2,0,1,2,1,1,1,1,1,0,0,6,6,1
Frances Fattah,,,,,,,,,,,,,,,,,0,2,2,0,3,2,1,0,5,4,1,1,0,3,0,0,2,1,2,2,0,0,0,0,1,0,0,6,3,1
Lucretia Clemons,,,,,,,,,,,,,,,,,,1,1,1,4,5,2,1,3,1,3,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,4,1
Tracy B Roman,,,,,,,,,,,,,,,,,,,0,0,2,3,0,0,5,3,2,1,2,2,1,0,2,1,1,1,2,1,0,0,1,0,0,5,4,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,0,2,1,1,5,0,1,3,3,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,2,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,0,6,0,2,2,2,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,3,5,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,0,0,1,3,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,0,5,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,2,1,3,1,0,1,2,1,2,1,0,0,0,1,0,0,4,4,1
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,1,0,0,2,0,1,2,1,0,0,0,1,0,0,5,1,1
