col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 7th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Manny Morales,Maria Quinones Sanchez,Tracy B Roman,Lyris Younge,Scott Diclaudio,Ken Powell,Jennifer Schultz,Leon Goodman,Daine Grey Jr,Mia Roberts Perez,Kai Scott,James F Berardinelli,Lynne M Summers,Stephanie M Sawyer,Jon Marshall,Edward William Louden Jr,Abbe Fletman,Vincent Furlong,Deborah Watson Stokes,Vincent N Melchiorre,Wayne M D Bennett,Michael Fanning,Frances Fattah,Leon A King Ii,Rainy Papademetriou,Thomas Martin,Brian T Ortelere,Anthony Kyriakakis,Rania Major,Lucretia Clemons,Stella Tsai,Betsy Wahl,Shanese Johnson,Vince Giusini,Chris Mallios,Marissa Brumbach,Chris Mccabe,Sherman Toppin,William J Ciancaglini,Joshua Hill,Sandjai Weaver,Franklin A Bennett Iii,Starr Marshall Cash,Jodi Lobel,Tangie M Boston,All
Manny Morales,411,0,301,254,196,179,157,154,143,125,129,105,114,99,130,110,85,94,89,117,98,107,89,82,83,101,75,71,76,71,60,65,81,68,63,65,60,62,52,59,51,62,45,37,31,All
Maria Quinones Sanchez,,133,164,100,99,121,96,100,86,120,85,81,85,92,68,69,72,63,79,41,64,52,73,73,60,56,49,62,58,64,69,69,41,45,47,49,45,41,39,42,39,22,25,24,23,All
Tracy B Roman,,,8,250,168,133,110,127,111,95,85,85,91,84,99,117,67,66,71,97,82,59,66,52,60,67,60,45,64,54,56,62,45,43,38,52,35,42,33,37,37,30,27,19,27,All
Lyris Younge,,,,4,120,123,72,88,99,77,92,61,67,71,91,84,58,48,54,91,52,55,49,39,55,39,44,39,44,39,31,34,42,36,41,31,29,38,20,27,28,25,29,17,14,All
Scott Diclaudio,,,,,9,136,99,116,83,53,46,99,53,47,109,112,55,61,41,39,50,60,44,48,53,49,69,45,43,32,22,22,28,47,39,25,28,31,38,31,27,32,15,19,21,All
Ken Powell,,,,,,4,81,130,102,73,63,67,63,56,122,108,52,63,44,36,58,60,43,51,59,66,56,42,36,44,23,35,32,35,47,28,37,32,27,36,29,30,18,15,17,All
Jennifer Schultz,,,,,,,11,88,93,70,56,98,93,65,65,60,76,74,60,25,66,40,53,54,68,61,73,47,61,52,57,53,44,32,24,55,36,37,28,44,31,33,27,26,19,All
Leon Goodman,,,,,,,,3,82,51,54,73,52,51,115,92,39,53,53,23,55,35,56,49,50,64,54,36,37,31,32,28,31,37,22,24,26,30,26,42,33,26,15,16,18,All
Daine Grey Jr,,,,,,,,,2,70,83,80,57,81,68,68,85,64,61,34,57,55,47,50,63,60,70,45,43,42,40,40,43,36,44,29,35,43,22,30,27,25,26,16,22,All
Mia Roberts Perez,,,,,,,,,,1,106,38,69,104,28,32,58,37,78,48,45,57,75,54,44,44,28,43,47,61,71,65,41,31,56,57,42,40,28,26,29,17,33,21,13,All
Kai Scott,,,,,,,,,,,1,42,57,91,31,27,64,36,80,47,54,64,66,60,47,53,27,50,42,59,47,54,57,43,60,54,44,40,25,38,30,23,37,19,18,All
