col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,Ken Powell,Kai Scott,Tracy B Roman,Lyris Younge,Daine Grey Jr,Scott Diclaudio,Abbe Fletman,Chris Mccabe,Mia Roberts Perez,Chris Mallios,Stephanie M Sawyer,Thomas Martin,Rainy Papademetriou,Vincent N Melchiorre,Leon Goodman,Michael Fanning,Jennifer Schultz,Deborah Watson Stokes,Stella Tsai,Frances Fattah,Betsy Wahl,James F Berardinelli,Wayne M D Bennett,Jon Marshall,Edward William Louden Jr,Anthony Kyriakakis,Vincent Furlong,Lynne M Summers,Lucretia Clemons,Leon A King Ii,Jodi Lobel,Brian T Ortelere,Marissa Brumbach,Rania Major,Joshua Hill,Shanese Johnson,Vince Giusini,Sandjai Weaver,Sherman Toppin,William J Ciancaglini,Franklin A Bennett Iii,Tangie M Boston,Starr Marshall Cash,All
Sharon Williams Losier,22,491,500,143,136,99,36,62,528,378,596,520,391,500,331,165,362,270,358,160,168,256,206,276,177,166,144,170,115,96,92,162,158,66,91,154,114,102,79,59,98,119,67,100,65,83,74,46,49,61,51,All
Joffie C Pittman,,10,356,272,46,54,181,30,495,464,441,456,408,409,414,185,373,374,348,132,207,276,173,255,136,137,172,100,155,112,99,125,116,126,52,64,99,84,86,100,64,54,66,64,62,57,56,20,30,27,30,All
Christine Hope,,,25,105,158,96,48,78,409,380,451,393,426,322,388,194,364,280,352,190,178,264,130,278,209,157,149,160,148,109,101,89,79,81,116,154,118,77,91,72,121,122,78,105,64,62,62,53,50,56,43,All
Matthew Perks,,,,3,51,51,150,39,184,191,143,124,125,132,173,152,113,175,90,122,144,54,169,56,119,100,140,68,128,110,80,103,108,102,64,56,87,69,89,86,49,43,66,39,49,34,28,34,33,14,14,All
Christian Dicicco,,,,,9,61,31,37,86,126,114,78,79,70,70,162,84,54,76,114,80,53,78,53,119,114,76,92,70,77,100,43,45,56,78,79,62,51,41,34,64,54,47,46,50,37,35,57,23,28,27,All
Gary S Silver,,,,,,3,39,64,90,71,90,67,84,68,62,99,58,36,50,126,72,32,97,33,93,52,50,83,63,79,58,54,51,38,86,67,52,50,37,45,38,36,58,39,46,39,41,42,27,18,18,All
Daniel R Sulman,,,,,,,0,17,74,172,32,35,82,29,161,131,112,153,91,78,119,44,48,34,83,77,120,33,115,69,60,20,20,102,25,28,56,44,61,60,49,23,42,19,34,16,20,27,13,14,8,All
Franklin A Bennett Iii,,,,,,,,0,63,46,59,40,52,40,25,49,38,15,46,76,30,23,68,24,55,57,38,79,36,39,51,35,33,23,50,65,28,43,20,21,32,42,47,40,23,34,22,27,32,28,15,All
