col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,City Commissioners - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Omar Sabir,Will Mega,Tracy B Roman,Jennifer Schultz,Ken Powell,Leon Goodman,Abbe Fletman,Daine Grey Jr,Lyris Younge,Scott Diclaudio,Kai Scott,Jon Marshall,Mia Roberts Perez,James F Berardinelli,Lynne M Summers,Michael Fanning,Chris Mallios,Anthony Kyriakakis,Vincent Furlong,Rainy Papademetriou,Stephanie M Sawyer,Thomas Martin,Lucretia Clemons,Brian T Ortelere,Edward William Louden Jr,Deborah Watson Stokes,Vincent N Melchiorre,Betsy Wahl,Stella Tsai,Marissa Brumbach,Jodi Lobel,Wayne M D Bennett,Leon A King Ii,Vince Giusini,Frances Fattah,Joshua Hill,Chris Mccabe,Sherman Toppin,Shanese Johnson,Rania Major,Sandjai Weaver,William J Ciancaglini,Franklin A Bennett Iii,Tangie M Boston,Starr Marshall Cash,All
Anthony Clark,37,70,75,61,35,31,165,112,155,150,72,100,105,137,86,124,69,90,76,53,51,61,82,65,58,73,52,68,99,57,50,41,47,41,37,70,62,43,58,57,40,45,42,37,36,43,38,28,15,All
Lisa M Deeley,,47,42,45,45,39,104,109,84,56,112,91,87,69,96,55,85,64,68,106,101,89,53,68,81,80,73,44,31,62,82,68,58,69,65,40,38,42,19,35,46,31,19,28,26,28,11,24,17,All
Tracey L Gordon,,,7,52,9,13,97,106,55,68,60,73,51,48,54,49,52,57,71,36,23,44,61,41,50,33,35,46,41,47,29,41,41,37,25,36,33,25,29,41,18,35,31,34,22,20,17,15,14,All
Carol A Jenkins,,,,5,13,6,77,93,46,61,70,71,42,37,45,38,47,53,56,26,31,35,47,48,44,34,39,41,31,41,27,55,52,35,37,36,22,23,26,22,23,17,24,25,24,22,12,12,11,All
Omar Sabir,,,,,5,12,47,38,40,33,37,46,53,33,57,17,44,20,33,29,41,29,20,22,39,21,29,21,17,33,24,27,16,16,14,13,25,15,30,16,24,29,24,11,16,7,10,15,17,All
Will Mega,,,,,,0,48,36,41,49,24,33,42,45,25,52,25,30,22,27,19,35,23,42,20,35,31,22,35,17,21,15,26,22,25,16,12,25,14,15,7,14,12,13,13,13,4,5,3,All
Tracy B Roman,,,,,,,7,128,128,116,90,114,126,118,90,85,75,62,75,57,49,60,43,53,72,51,65,61,93,54,54,52,60,46,32,45,49,26,46,38,20,46,47,45,31,23,19,23,13,All
Jennifer Schultz,,,,,,,,4,85,104,100,89,73,78,61,70,69,83,98,37,39,59,84,65,67,47,57,74,63,65,38,69,73,60,44,53,42,40,45,45,31,38,41,44,26,31,17,21,16,All
