col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Sharon Williams Losier,Christian Dicicco,Christine Hope,Joffie C Pittman,Matthew Perks,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,Scott Diclaudio,Tracy B Roman,Ken Powell,Marissa Brumbach,Vince Giusini,Vincent N Melchiorre,Thomas Martin,Lynne M Summers,Jon Marshall,Lucretia Clemons,Mia Roberts Perez,Jennifer Schultz,Leon A King Ii,Lyris Younge,Frances Fattah,Leon Goodman,Shanese Johnson,Deborah Watson Stokes,Rainy Papademetriou,Rania Major,Stella Tsai,Daine Grey Jr,James F Berardinelli,Stephanie M Sawyer,Abbe Fletman,Betsy Wahl,Chris Mccabe,Kai Scott,Brian T Ortelere,Chris Mallios,Joshua Hill,Sherman Toppin,Vincent Furlong,Wayne M D Bennett,William J Ciancaglini,Michael Fanning,Anthony Kyriakakis,Franklin A Bennett Iii,Sandjai Weaver,Edward William Louden Jr,Tangie M Boston,Jodi Lobel,Starr Marshall Cash,1
Sharon Williams Losier,0,13,16,6,4,2,3,3,13,16,11,11,8,5,7,10,6,12,10,11,7,7,6,9,8,8,3,8,8,5,5,7,6,8,6,5,4,3,4,5,4,5,4,4,2,3,3,4,4,2,1,1
Christian Dicicco,,0,10,4,4,3,2,1,11,10,11,11,15,12,13,9,3,9,7,7,6,5,7,4,5,6,6,5,4,6,5,5,4,4,6,6,3,6,4,6,6,4,4,7,4,2,3,1,2,0,0,1
Christine Hope,,,0,4,2,3,1,3,8,6,7,12,5,5,7,9,7,10,11,10,5,5,6,4,6,8,6,8,6,7,4,6,5,8,6,3,4,3,5,5,3,1,2,3,1,2,3,0,4,2,1,1
Joffie C Pittman,,,,0,2,4,3,0,6,4,7,4,3,2,2,3,6,4,4,2,3,5,3,4,3,2,6,3,5,3,2,4,3,4,3,4,5,4,2,0,1,3,0,1,2,3,5,2,2,1,0,1
Matthew Perks,,,,,0,0,0,0,3,3,7,2,4,1,3,2,6,3,3,0,2,3,3,3,2,2,1,3,0,2,2,1,2,1,1,2,1,1,3,1,2,2,0,0,1,2,0,2,0,0,0,1
Gary S Silver,,,,,,0,2,1,4,3,3,1,2,1,3,3,3,2,3,2,3,2,2,3,3,1,4,1,3,2,2,1,3,1,4,1,3,2,3,1,3,1,2,1,1,1,1,1,0,0,0,1
Daniel R Sulman,,,,,,,0,2,2,3,4,1,1,1,1,4,2,2,1,2,5,1,0,1,2,2,3,1,3,1,1,2,1,0,2,4,2,3,2,2,2,3,2,0,4,2,2,1,0,0,1,1
Franklin A Bennett Iii,,,,,,,,0,1,2,3,0,2,0,3,2,4,0,1,1,5,2,2,4,5,2,1,4,2,2,1,2,0,1,1,2,1,1,2,2,0,3,1,1,1,1,1,2,1,0,0,1
