col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Alice Beck Dubow,Robert Colville,Tracy B Roman,Ken Powell,Lynne M Summers,Scott Diclaudio,Marissa Brumbach,Lyris Younge,Jennifer Schultz,Vincent Furlong,Jon Marshall,Kai Scott,Abbe Fletman,Daine Grey Jr,James F Berardinelli,Mia Roberts Perez,Betsy Wahl,Stephanie M Sawyer,Michael Fanning,Anthony Kyriakakis,Brian T Ortelere,Chris Mallios,Rania Major,Wayne M D Bennett,Chris Mccabe,Thomas Martin,Jodi Lobel,Joshua Hill,Leon Goodman,Shanese Johnson,Stella Tsai,William J Ciancaglini,Edward William Louden Jr,Vincent N Melchiorre,Frances Fattah,Franklin A Bennett Iii,Leon A King Ii,Lucretia Clemons,Rainy Papademetriou,Sandjai Weaver,Sherman Toppin,Vince Giusini,Deborah Watson Stokes,Starr Marshall Cash,Tangie M Boston,1
Alice Beck Dubow,12,0,25,21,21,22,20,20,17,15,15,17,15,15,12,16,15,15,13,12,7,10,11,10,9,8,6,8,7,7,8,5,7,8,7,6,4,5,5,5,6,6,4,4,1,1
Robert Colville,,1,3,4,4,2,3,2,2,4,3,2,1,2,2,0,1,2,1,1,2,1,1,1,2,2,2,2,2,2,0,4,1,0,0,1,3,2,0,0,0,0,0,1,1,1
Tracy B Roman,,,0,13,11,12,11,13,9,8,6,9,10,11,8,8,6,8,7,3,3,7,3,5,4,3,1,3,3,4,2,4,3,6,1,2,1,2,2,2,2,4,1,3,2,1
Ken Powell,,,,1,7,14,7,13,5,8,11,8,10,12,4,7,7,11,10,3,2,11,2,3,5,3,2,5,2,2,2,4,3,5,1,3,3,2,1,1,1,3,1,0,1,1
Lynne M Summers,,,,,0,8,13,7,11,11,6,8,3,1,8,8,11,6,4,7,4,2,9,8,6,6,5,4,4,6,6,5,3,1,2,6,4,5,1,3,3,3,3,3,2,1
Scott Diclaudio,,,,,,1,7,12,6,7,7,9,7,12,6,8,6,11,10,9,4,6,4,5,4,2,3,5,3,2,4,2,5,6,3,5,3,1,3,3,5,2,1,1,1,1
Marissa Brumbach,,,,,,,0,9,11,7,2,9,5,3,3,8,8,8,3,4,3,1,7,4,3,2,4,4,4,3,5,2,4,0,3,2,3,5,2,2,1,3,2,3,1,1
Lyris Younge,,,,,,,,0,8,6,6,11,9,12,3,8,6,9,11,3,2,8,6,2,0,2,4,6,2,1,4,2,2,5,2,1,3,3,2,1,0,0,2,0,0,1
