col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Commonwealth Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Todd Eagen,Michael Wojcik,Marissa Brumbach,Vince Giusini,Michael Fanning,Rainy Papademetriou,Vincent N Melchiorre,Tracy B Roman,Abbe Fletman,Chris Mallios,Thomas Martin,Scott Diclaudio,Ken Powell,Mia Roberts Perez,Jennifer Schultz,Kai Scott,Stella Tsai,James F Berardinelli,Betsy Wahl,Anthony Kyriakakis,Daine Grey Jr,Lyris Younge,Stephanie M Sawyer,Brian T Ortelere,Lucretia Clemons,Lynne M Summers,William J Ciancaglini,Leon Goodman,Deborah Watson Stokes,Vincent Furlong,Jodi Lobel,Chris Mccabe,Edward William Louden Jr,Jon Marshall,Wayne M D Bennett,Leon A King Ii,Frances Fattah,Joshua Hill,Rania Major,Sandjai Weaver,Shanese Johnson,Sherman Toppin,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,All
Todd Eagen,68,0,224,232,210,335,209,247,286,255,167,269,250,271,214,242,262,199,185,174,161,153,150,168,131,106,72,115,101,95,100,97,98,99,81,79,60,78,73,41,37,39,33,25,21,All
Michael Wojcik,,84,181,152,91,139,116,178,143,110,96,155,127,115,178,120,133,122,102,110,77,79,89,62,81,110,80,90,95,82,69,59,79,67,66,64,70,49,58,56,52,33,20,20,10,All
Marissa Brumbach,,,66,427,431,221,436,309,128,199,387,144,125,139,159,109,139,106,141,87,39,80,99,50,130,109,89,57,106,44,106,67,33,26,53,28,55,31,64,48,45,20,17,25,17,All
Vince Giusini,,,,63,401,179,444,292,116,139,374,199,162,74,96,69,86,170,76,103,51,71,36,91,65,59,127,73,43,77,46,81,53,43,66,38,28,37,34,23,25,19,22,7,7,All
Michael Fanning,,,,,47,208,472,267,124,208,424,165,170,92,58,81,59,72,54,54,64,97,65,57,53,48,66,43,27,41,34,60,24,20,42,24,21,30,26,12,15,11,18,6,6,All
Rainy Papademetriou,,,,,,17,233,143,300,315,200,173,182,230,191,215,266,189,166,175,166,111,112,187,124,54,49,72,79,72,74,70,56,57,65,84,59,66,45,35,19,22,17,16,14,All
Vincent N Melchiorre,,,,,,,7,273,149,224,395,186,168,120,68,99,91,128,81,88,78,86,84,72,64,49,109,44,51,44,48,72,25,18,37,26,23,30,26,16,18,10,10,5,8,All
Tracy B Roman,,,,,,,,5,124,82,245,246,176,131,190,79,132,111,99,67,115,182,106,81,92,127,50,114,98,74,74,49,107,110,47,51,67,33,76,38,51,27,16,21,16,All
