col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,District Council 2nd District - Democrat,,All
,Vincent N Melchiorre,Vince Giusini,Marissa Brumbach,Scott Diclaudio,James F Berardinelli,Ken Powell,William J Ciancaglini,Tracy B Roman,Michael Fanning,Abbe Fletman,Chris Mallios,Rainy Papademetriou,Jennifer Schultz,Thomas Martin,Lyris Younge,Vincent Furlong,Chris Mccabe,Stella Tsai,Kai Scott,Mia Roberts Perez,Brian T Ortelere,Lynne M Summers,Anthony Kyriakakis,Daine Grey Jr,Stephanie M Sawyer,Betsy Wahl,Jodi Lobel,Edward William Louden Jr,Deborah Watson Stokes,Jon Marshall,Leon Goodman,Lucretia Clemons,Wayne M D Bennett,Joshua Hill,Rania Major,Frances Fattah,Franklin A Bennett Iii,Leon A King Ii,Shanese Johnson,Sandjai Weaver,Sherman Toppin,Starr Marshall Cash,Tangie M Boston,Ori C Feibush,Kenyatta Johnson,All
Vincent N Melchiorre,89,916,767,398,310,278,289,260,303,185,242,180,108,196,172,132,189,91,106,84,79,87,89,52,67,65,66,54,57,49,50,39,42,45,32,31,40,23,27,28,9,20,12,699,657,All
Vince Giusini,,51,761,425,361,256,320,228,222,161,173,155,127,173,141,165,164,101,82,82,97,95,97,55,70,64,82,71,68,59,67,40,65,53,38,34,57,33,30,29,12,23,14,799,487,All
Marissa Brumbach,,,50,273,205,208,202,198,200,152,154,126,111,128,116,108,142,97,71,85,51,94,68,42,83,86,80,53,66,38,44,61,44,33,44,24,31,19,32,32,14,19,15,647,386,All
Scott Diclaudio,,,,11,285,270,219,291,163,183,151,144,113,168,212,126,153,66,78,64,96,67,65,57,53,32,55,87,48,82,80,27,42,40,29,25,39,24,21,22,14,16,16,331,323,All
James F Berardinelli,,,,,7,111,231,124,68,106,81,141,130,69,60,144,85,82,63,70,137,75,92,87,55,38,57,64,56,59,67,30,41,41,25,32,37,28,16,17,17,11,10,288,204,All
Ken Powell,,,,,,3,79,230,183,189,164,147,69,167,200,67,122,44,96,57,61,40,41,66,48,35,24,76,23,65,71,16,34,31,20,14,22,20,14,13,12,6,4,197,248,All
William J Ciancaglini,,,,,,,5,94,67,49,60,66,80,54,35,103,70,63,30,50,62,60,62,32,50,34,38,42,41,35,37,17,35,35,22,20,36,14,13,13,10,14,11,262,154,All
Tracy B Roman,,,,,,,,4,136,173,131,111,103,149,216,78,117,75,71,50,59,70,41,55,55,47,46,74,44,73,60,39,32,30,37,27,20,16,22,23,14,5,17,189,225,All
