col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Daine Grey Jr,Scott Diclaudio,Lyris Younge,Tracy B Roman,Ken Powell,Stephanie M Sawyer,Frances Fattah,Kai Scott,Leon Goodman,Deborah Watson Stokes,Jennifer Schultz,Mia Roberts Perez,Vincent Furlong,Abbe Fletman,Brian T Ortelere,Vincent N Melchiorre,Jon Marshall,Shanese Johnson,Betsy Wahl,Rainy Papademetriou,Rania Major,Chris Mallios,Michael Fanning,Sandjai Weaver,Anthony Kyriakakis,Jodi Lobel,Joshua Hill,Lynne M Summers,Stella Tsai,Thomas Martin,Sherman Toppin,Marissa Brumbach,Starr Marshall Cash,Tangie M Boston,Lucretia Clemons,Wayne M D Bennett,Edward William Louden Jr,James F Berardinelli,Vince Giusini,William J Ciancaglini,Chris Mccabe,Franklin A Bennett Iii,Leon A King Ii,1
Daine Grey Jr,1,11,10,9,9,11,2,10,5,7,7,11,6,10,8,11,4,3,8,2,3,8,8,6,2,7,5,3,2,3,3,0,1,2,1,2,1,3,2,2,2,2,2,1
Scott Diclaudio,,8,11,11,11,11,4,9,7,3,3,10,4,8,4,9,5,3,1,3,1,6,6,3,2,3,3,1,2,3,3,1,0,2,3,1,3,2,0,1,0,2,1,1
Lyris Younge,,,2,13,11,14,5,12,4,4,3,14,4,9,1,6,4,4,6,2,3,9,9,2,6,2,2,5,3,3,4,3,6,3,4,2,4,1,2,2,2,1,2,1
Tracy B Roman,,,,3,11,12,8,10,5,5,6,10,4,8,2,8,3,3,3,3,5,7,6,2,3,3,2,6,5,4,2,1,2,3,1,1,4,1,0,1,1,1,1,1
Ken Powell,,,,,2,10,6,8,5,2,4,10,4,11,3,9,9,5,0,2,4,9,7,3,3,3,4,2,2,3,3,1,1,2,2,1,2,0,0,2,1,3,3,1
Stephanie M Sawyer,,,,,,1,5,12,4,6,3,12,4,9,2,7,3,3,4,2,3,8,8,2,6,4,2,3,3,4,4,2,3,6,4,0,0,0,2,3,2,2,0,1
Frances Fattah,,,,,,,0,5,7,6,6,3,7,3,6,3,7,4,3,3,4,1,2,4,3,3,4,3,4,3,4,4,3,3,2,1,3,2,0,2,0,2,2,1
Kai Scott,,,,,,,,0,3,6,4,12,2,7,4,7,2,3,4,4,3,8,8,2,5,2,3,3,2,2,1,2,3,3,3,0,1,1,1,2,3,1,0,1
