col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jim Kenney,Lynne M Abraham,Anthony Hardy Williams,Doug Oliver,Nelson Diaz,T Milton Street Sr,Brian T Ortelere,Abbe Fletman,Kai Scott,Rainy Papademetriou,Ken Powell,Chris Mallios,Tracy B Roman,Daine Grey Jr,Stella Tsai,Stephanie M Sawyer,Mia Roberts Perez,Scott Diclaudio,Lyris Younge,Betsy Wahl,Vincent N Melchiorre,Chris Mccabe,Jennifer Schultz,Deborah Watson Stokes,Leon Goodman,Anthony Kyriakakis,James F Berardinelli,Jodi Lobel,Lucretia Clemons,Michael Fanning,Lynne M Summers,Marissa Brumbach,Edward William Louden Jr,Vince Giusini,Leon A King Ii,Thomas Martin,Vincent Furlong,Jon Marshall,Rania Major,Shanese Johnson,Frances Fattah,Wayne M D Bennett,Franklin A Bennett Iii,Sherman Toppin,William J Ciancaglini,Joshua Hill,Sandjai Weaver,Starr Marshall Cash,Tangie M Boston,1
Jim Kenney,24,0,0,0,0,0,72,67,55,55,43,41,35,35,37,34,34,29,27,30,23,26,23,23,19,20,20,17,18,16,12,12,10,11,10,6,9,6,8,8,7,6,5,4,6,5,5,6,3,1
Lynne M Abraham,,5,0,0,0,0,14,11,10,3,3,4,11,10,10,4,4,6,7,9,4,2,6,4,5,5,7,5,2,3,2,4,4,4,1,2,4,4,4,4,2,2,3,2,2,1,2,0,0,1
Anthony Hardy Williams,,,5,0,0,0,6,5,5,3,7,4,6,4,1,6,2,7,5,0,4,1,3,2,3,1,2,1,2,2,5,0,3,1,1,3,1,3,1,1,2,2,0,1,1,1,0,0,0,1
Doug Oliver,,,,1,0,0,4,4,3,2,4,3,1,3,0,2,3,1,1,2,3,2,0,3,2,1,0,1,2,2,4,2,0,1,3,2,0,0,0,0,1,0,1,2,0,1,0,0,0,1
Nelson Diaz,,,,,3,0,3,3,3,2,1,4,1,1,2,0,2,1,1,0,0,2,1,0,2,2,0,2,2,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
T Milton Street Sr,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brian T Ortelere,,,,,,,2,43,31,33,28,24,26,21,29,16,14,15,14,18,13,26,15,14,14,15,16,10,12,9,9,7,7,4,5,7,4,4,6,5,3,4,4,3,3,5,4,2,0,1
Abbe Fletman,,,,,,,,0,60,39,37,48,32,38,34,29,31,27,22,24,22,16,15,11,9,16,13,15,15,17,9,10,4,6,6,12,3,4,7,6,2,6,4,4,3,6,2,2,1,1
Kai Scott,,,,,,,,,0,33,27,46,22,30,27,29,35,21,25,22,19,16,16,14,12,19,12,15,14,18,7,10,5,7,6,8,5,4,4,4,8,7,3,3,2,4,2,2,2,1
Rainy Papademetriou,,,,,,,,,,1,21,21,15,18,28,14,16,14,14,14,13,14,10,10,11,17,14,11,14,4,9,5,6,4,6,9,5,4,1,6,4,3,1,3,4,4,3,1,2,1
Ken Powell,,,,,,,,,,,0,24,33,33,16,26,23,30,24,4,19,13,8,7,11,8,12,4,5,16,8,4,7,3,6,8,3,7,2,2,1,2,3,4,2,1,2,3,0,1
Chris Mallios,,,,,,,,,,,,0,16,22,20,22,26,18,12,15,17,9,6,10,7,16,12,11,7,18,2,4,0,3,6,4,2,0,0,0,3,6,0,2,1,4,1,0,0,1
Tracy B Roman,,,,,,,,,,,,,0,28,17,23,14,32,29,15,17,10,15,11,9,5,6,5,6,13,10,6,7,4,2,6,4,7,6,8,5,1,1,2,5,1,4,3,0,1
Daine Grey Jr,,,,,,,,,,,,,,0,14,21,19,27,25,11,20,4,8,7,14,8,13,7,4,17,6,3,8,5,5,6,5,6,4,4,2,4,4,5,1,3,2,1,0,1
Stella Tsai,,,,,,,,,,,,,,,0,18,20,7,7,20,5,13,15,14,8,15,13,16,14,3,9,9,5,4,5,3,4,2,7,8,4,4,3,0,1,4,4,2,1,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,0,23,18,16,12,17,6,13,16,5,9,10,9,9,14,13,10,4,3,4,1,5,0,9,6,7,3,2,4,4,1,6,4,2,1
Mia Roberts Perez,,,,,,,,,,,,,,,,,0,14,17,12,14,7,12,9,5,13,6,10,7,13,8,7,3,6,3,2,2,0,5,2,5,2,1,0,1,0,1,2,2,1
Scott Diclaudio,,,,,,,,,,,,,,,,,,0,26,4,19,7,7,6,10,7,9,4,2,14,4,1,7,2,2,4,3,8,5,1,2,5,2,2,5,2,2,0,0,1
Lyris Younge,,,,,,,,,,,,,,,,,,,1,5,15,5,9,3,9,7,3,5,3,11,4,2,6,8,0,4,4,5,3,4,5,1,1,1,3,0,1,0,1,1
Betsy Wahl,,,,,,,,,,,,,,,,,,,,0,6,7,12,14,5,6,6,10,8,5,7,10,3,7,2,3,5,1,5,6,5,3,1,1,2,2,2,3,1,1
