col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,City Commissioners - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Anthony Clark,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,Ken Powell,Kai Scott,Tracy B Roman,Mia Roberts Perez,Frances Fattah,Brian T Ortelere,Rainy Papademetriou,Deborah Watson Stokes,Scott Diclaudio,Leon A King Ii,Abbe Fletman,Thomas Martin,Michael Fanning,Leon Goodman,Anthony Kyriakakis,Lyris Younge,Stephanie M Sawyer,Chris Mccabe,Jennifer Schultz,Lucretia Clemons,Betsy Wahl,Chris Mallios,Vincent N Melchiorre,Jon Marshall,Daine Grey Jr,Shanese Johnson,Vincent Furlong,James F Berardinelli,Lynne M Summers,Edward William Louden Jr,Sherman Toppin,Stella Tsai,Tangie M Boston,Wayne M D Bennett,Rania Major,Sandjai Weaver,Joshua Hill,Vince Giusini,Starr Marshall Cash,Marissa Brumbach,Franklin A Bennett Iii,William J Ciancaglini,Jodi Lobel,1
Anthony Clark,4,13,6,7,12,8,25,16,23,14,14,14,12,15,24,16,14,12,4,17,16,19,13,11,16,12,11,2,7,14,8,10,10,7,9,14,6,8,9,8,9,7,4,6,4,4,5,1,1,1
Omar Sabir,,2,26,4,2,4,30,32,24,32,28,23,24,16,9,14,15,17,27,10,13,8,13,11,8,10,10,19,15,5,8,10,5,4,8,4,9,4,3,3,2,2,6,2,3,2,0,2,0,1
Lisa M Deeley,,,0,1,4,0,25,30,23,30,19,30,30,9,5,8,15,21,27,7,6,6,7,9,5,3,6,19,18,4,7,4,4,6,4,2,4,5,0,2,1,5,0,2,3,4,2,1,0,1
Tracey L Gordon,,,,1,5,0,9,4,8,1,7,6,5,3,5,5,6,3,0,4,4,5,5,1,5,2,6,0,0,2,6,2,7,6,3,2,5,2,2,3,2,1,2,3,2,0,2,1,0,1
Carol A Jenkins,,,,,0,1,10,4,7,7,12,8,5,7,4,8,6,5,3,4,7,3,7,6,9,5,6,2,3,2,5,6,7,6,8,2,3,4,4,3,2,3,2,3,1,3,1,1,1,1
Will Mega,,,,,,0,10,2,7,4,4,2,3,3,9,4,3,2,1,10,2,6,2,2,2,3,0,2,0,8,3,4,2,1,1,6,2,1,2,2,1,1,1,1,1,0,1,0,0,1
Ken Powell,,,,,,,2,29,37,26,24,31,30,12,14,17,24,23,23,14,12,11,13,10,9,11,11,18,21,12,8,7,12,11,6,12,6,8,6,4,2,5,4,6,2,3,3,3,1,1
Kai Scott,,,,,,,,1,27,37,24,27,30,15,11,15,18,20,28,6,12,13,12,12,8,9,7,19,17,6,11,5,6,6,8,3,8,7,4,7,2,5,4,2,4,2,1,3,0,1
Tracy B Roman,,,,,,,,,1,27,25,28,24,14,17,14,25,26,18,14,8,17,15,6,9,10,11,17,16,9,8,9,7,7,8,9,2,8,3,4,8,2,4,3,4,1,4,2,1,1
Mia Roberts Perez,,,,,,,,,,0,26,26,27,17,10,11,20,18,29,6,9,11,13,10,8,12,12,20,18,2,8,10,2,6,7,3,8,7,2,1,4,4,3,3,4,6,1,1,0,1
Frances Fattah,,,,,,,,,,,1,20,19,8,7,13,16,20,20,9,8,10,10,9,13,7,9,17,16,5,7,12,8,5,5,5,6,6,3,5,6,2,3,4,2,1,2,2,0,1
Brian T Ortelere,,,,,,,,,,,,0,37,7,6,11,21,26,25,8,10,4,7,8,9,5,6,15,18,5,8,4,9,6,3,4,4,4,0,2,2,4,1,2,0,1,4,1,0,1
Rainy Papademetriou,,,,,,,,,,,,,0,8,7,11,19,21,24,5,9,5,7,9,6,5,8,15,17,4,4,3,6,5,3,3,4,4,2,4,1,4,0,4,1,1,3,2,0,1
Deborah Watson Stokes,,,,,,,,,,,,,,0,12,14,10,4,4,5,12,8,14,14,9,12,11,6,2,3,6,10,4,2,9,4,7,6,2,5,3,3,3,1,4,3,2,0,0,1
Scott Diclaudio,,,,,,,,,,,,,,,1,3,8,5,4,11,9,11,12,4,7,3,9,3,2,10,4,6,4,4,8,9,2,3,1,4,2,3,2,4,1,2,4,2,0,1
Leon A King Ii,,,,,,,,,,,,,,,,0,12,10,4,7,13,5,8,14,8,11,8,4,3,2,8,8,7,3,5,3,7,4,4,5,3,3,3,2,2,1,1,0,0,1
Abbe Fletman,,,,,,,,,,,,,,,,,0,19,13,5,8,8,6,4,6,7,5,12,10,3,10,6,9,4,1,3,5,5,1,3,2,1,1,4,2,1,3,0,0,1
