col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 3rd District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jannie L Blackwell,Kai Scott,Ken Powell,Lyris Younge,Tracy B Roman,Abbe Fletman,Daine Grey Jr,Mia Roberts Perez,Scott Diclaudio,Stephanie M Sawyer,Frances Fattah,Deborah Watson Stokes,Leon Goodman,Rainy Papademetriou,Chris Mallios,Jon Marshall,Jennifer Schultz,Stella Tsai,Vincent N Melchiorre,Leon A King Ii,Lynne M Summers,Michael Fanning,Edward William Louden Jr,Lucretia Clemons,Betsy Wahl,Thomas Martin,Anthony Kyriakakis,Brian T Ortelere,James F Berardinelli,Jodi Lobel,Wayne M D Bennett,Vincent Furlong,Shanese Johnson,Sherman Toppin,Rania Major,Chris Mccabe,Marissa Brumbach,Sandjai Weaver,Joshua Hill,Vince Giusini,Tangie M Boston,Starr Marshall Cash,Franklin A Bennett Iii,William J Ciancaglini,All
Jannie L Blackwell,"2,451","4,360","4,893","4,769","4,669","3,558","3,618","3,515","3,597","3,091","3,170","2,988","3,082","2,178","2,315","2,510","2,166","2,056","2,100","1,938","2,006","1,906","1,993","1,846","1,488","1,627","1,341","1,356","1,367","1,319","1,372","1,389","1,427","1,283","1,227","1,069",989,"1,047",953,885,767,613,591,459,All
Kai Scott,,85,"2,454","2,647","1,963","3,493","2,611","3,416","1,478","2,687","1,577","1,666",930,"1,788","2,891",577,"1,049","1,892","1,988","1,231",880,"1,557",370,"1,039","1,260",754,"1,007",706,643,904,706,513,725,772,552,862,466,513,515,492,362,326,246,213,All
Ken Powell,,,120,"3,357","3,203","2,317","2,533","1,986","2,852","1,908","1,243",973,"2,071","1,212","1,714","1,834",930,665,"1,509",923,814,"1,467","1,388",502,550,895,700,940,861,448,679,734,561,427,504,302,270,427,461,458,286,209,289,197,All
Lyris Younge,,,,103,"3,224","2,280","2,399","2,192","2,771","1,818","1,570","1,424","1,761",903,"1,364","1,583",876,812,"1,723",743,948,"1,394","1,314",898,429,719,390,512,520,684,535,596,577,844,470,668,339,427,332,394,300,304,186,162,All
Tracy B Roman,,,,,108,"1,856","2,210","1,747","2,955","1,804","1,194","1,065","1,744",707,"1,202","1,430","1,180",639,"1,309",817,999,"1,318","1,472",647,559,678,385,624,635,327,609,711,722,447,661,238,469,464,419,440,361,273,238,174,All
Abbe Fletman,,,,,,26,"2,560","2,873","1,566","2,026","1,041","1,006",677,"1,834","2,632",601,"1,131","1,851","1,798",817,489,"1,238",425,812,973,530,900,"1,002",849,890,471,528,320,621,337,753,315,247,328,436,146,151,106,109,All
Daine Grey Jr,,,,,,,56,"2,220","1,849","2,157","1,093","1,055","1,241","1,385","1,808",950,"1,047",886,"1,329",887,736,"1,349",744,512,643,761,605,961,866,310,708,755,535,470,460,421,288,456,469,361,296,289,233,164,All
Mia Roberts Perez,,,,,,,,38,"1,353","2,236","1,312","1,367",578,"1,450","2,364",392,"1,011","1,892","1,752",871,715,"1,420",257,"1,007","1,068",486,703,481,418,758,492,293,498,700,543,770,471,354,402,296,274,304,149,172,All
