col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,Sheriff - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jewell Williams,Tracy B Roman,Ken Powell,Mia Roberts Perez,Kai Scott,Brian T Ortelere,Thomas Martin,Rainy Papademetriou,Frances Fattah,Abbe Fletman,Michael Fanning,Chris Mallios,Vincent N Melchiorre,Leon Goodman,Scott Diclaudio,Jennifer Schultz,Lyris Younge,Edward William Louden Jr,Jon Marshall,Daine Grey Jr,Lynne M Summers,Stephanie M Sawyer,Deborah Watson Stokes,Wayne M D Bennett,Leon A King Ii,James F Berardinelli,Shanese Johnson,Vincent Furlong,Rania Major,Lucretia Clemons,Stella Tsai,Anthony Kyriakakis,Betsy Wahl,Vince Giusini,Sherman Toppin,Marissa Brumbach,Joshua Hill,Sandjai Weaver,Jodi Lobel,Chris Mccabe,Franklin A Bennett Iii,William J Ciancaglini,Tangie M Boston,Starr Marshall Cash,All
Jewell Williams,153,749,713,559,561,473,514,469,478,426,429,379,375,348,344,295,272,272,273,220,203,183,195,172,163,152,168,136,151,145,138,135,120,118,119,124,114,101,91,88,88,90,72,76,All
Tracy B Roman,,33,535,385,388,374,400,374,347,352,324,312,311,209,202,167,185,181,158,113,90,88,85,78,76,75,82,62,73,68,67,47,54,52,59,45,46,46,40,28,34,29,27,34,All
Ken Powell,,,16,363,391,391,387,382,367,346,348,320,321,212,176,105,173,175,174,121,76,74,74,76,76,80,62,54,52,52,40,46,38,42,45,31,71,34,31,32,44,30,19,27,All
Mia Roberts Perez,,,,31,434,355,359,361,353,313,388,334,319,78,67,109,73,54,38,71,80,97,83,59,71,46,56,37,76,63,64,52,73,38,49,70,34,39,38,40,30,39,33,39,All
Kai Scott,,,,,11,356,385,377,365,336,377,341,320,86,72,88,98,60,52,87,72,95,91,69,79,51,87,50,68,66,50,64,56,57,48,46,49,49,46,43,36,35,29,32,All
Brian T Ortelere,,,,,,21,330,447,311,339,351,285,295,86,90,105,57,63,68,101,36,29,38,51,40,92,34,57,40,25,28,23,20,28,32,21,30,26,15,19,31,22,17,9,All
Thomas Martin,,,,,,,10,340,358,324,336,323,315,86,60,93,57,60,59,61,72,55,63,68,55,39,66,49,46,54,40,40,36,40,54,45,44,42,46,25,26,28,15,23,All
Rainy Papademetriou,,,,,,,,0,316,367,337,293,293,82,78,102,60,68,67,101,40,44,40,29,41,90,28,67,27,31,37,34,25,28,33,24,25,23,26,22,21,27,16,18,All
Frances Fattah,,,,,,,,,5,293,324,312,307,78,42,63,54,38,40,54,73,58,81,46,47,27,59,35,44,39,43,31,37,20,31,29,43,31,21,21,26,16,27,22,All
Abbe Fletman,,,,,,,,,,4,280,287,284,73,73,115,67,54,57,98,50,43,37,43,39,71,29,56,27,35,47,38,45,41,29,28,33,28,31,23,21,21,12,12,All
Michael Fanning,,,,,,,,,,,4,321,321,44,49,52,43,33,31,45,27,47,46,44,38,26,34,30,41,32,22,33,13,20,31,25,26,22,19,32,25,21,17,17,All
Chris Mallios,,,,,,,,,,,,0,306,34,34,43,43,12,20,39,31,43,31,27,20,25,22,13,25,22,16,31,30,26,21,21,19,19,23,26,14,18,9,17,All
Vincent N Melchiorre,,,,,,,,,,,,,4,30,48,28,34,22,25,42,32,40,35,20,23,17,22,25,22,23,21,32,11,24,14,20,18,16,18,21,17,32,11,12,All
