col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,City Commissioners - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Omar Sabir,Anthony Clark,Will Mega,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Lyris Younge,Ken Powell,Tracy B Roman,Kai Scott,Daine Grey Jr,Scott Diclaudio,Stephanie M Sawyer,Leon Goodman,Mia Roberts Perez,Abbe Fletman,Frances Fattah,Deborah Watson Stokes,Jon Marshall,Michael Fanning,Chris Mallios,Jennifer Schultz,Leon A King Ii,Vincent N Melchiorre,Lynne M Summers,Jodi Lobel,Thomas Martin,Rainy Papademetriou,Lucretia Clemons,Edward William Louden Jr,Wayne M D Bennett,Shanese Johnson,Vincent Furlong,James F Berardinelli,Anthony Kyriakakis,Sandjai Weaver,Marissa Brumbach,Betsy Wahl,Rania Major,Sherman Toppin,Stella Tsai,Brian T Ortelere,Joshua Hill,Vince Giusini,Chris Mccabe,Tangie M Boston,Starr Marshall Cash,Franklin A Bennett Iii,William J Ciancaglini,All
Omar Sabir,185,393,356,603,210,104,"1,126",934,876,"1,105",926,744,878,490,753,719,605,528,283,563,585,301,423,582,376,319,277,224,284,210,298,331,249,188,181,259,171,221,232,251,174,136,168,148,164,150,130,97,97,All
Anthony Clark,,180,345,120,259,188,750,782,755,464,499,666,366,703,338,303,429,356,513,207,184,374,362,204,342,210,305,226,258,457,320,266,294,233,168,200,143,155,198,189,147,212,202,154,147,111,104,150,100,All
Will Mega,,,90,188,143,63,556,484,452,428,354,392,320,470,253,208,361,314,419,233,127,214,272,122,228,256,317,306,317,275,203,196,183,169,218,183,212,134,166,136,122,117,112,103,91,118,79,70,58,All
Lisa M Deeley,,,,10,81,99,681,627,613,671,600,538,618,186,556,561,171,237,225,556,527,199,143,457,174,254,225,238,239,72,135,122,103,126,239,87,250,160,111,122,127,63,70,106,116,44,91,43,42,All
Tracey L Gordon,,,,,37,154,370,328,389,362,362,218,314,311,218,237,293,274,198,143,106,279,243,114,259,160,188,196,178,144,215,200,208,180,105,147,134,155,162,137,154,150,112,98,72,109,71,87,81,All
Carol A Jenkins,,,,,,15,220,207,199,230,250,115,206,197,192,187,210,216,118,70,96,242,159,68,198,139,128,171,137,104,114,165,163,123,79,96,106,138,121,85,148,117,85,58,61,64,60,58,44,All
Lyris Younge,,,,,,,50,"1,327","1,292","1,124","1,081","1,142",931,576,839,848,569,479,508,591,637,366,375,663,341,249,244,235,280,443,330,311,255,197,158,201,169,235,203,247,168,160,134,155,182,119,127,87,102,All
Ken Powell,,,,,,,,23,"1,218",934,"1,015","1,147",810,672,702,833,441,311,573,596,644,342,348,649,279,220,282,236,197,440,345,238,279,236,161,203,118,143,175,169,137,215,188,116,125,91,79,113,108,All
Tracy B Roman,,,,,,,,,29,822,896,"1,104",773,628,653,716,386,345,488,542,501,423,320,571,353,201,273,249,230,457,243,288,247,213,134,186,169,194,232,174,195,195,151,123,82,106,94,100,91,All
Kai Scott,,,,,,,,,,28,"1,032",702,"1,034",446,909,832,568,576,224,613,740,295,408,679,351,282,231,217,312,166,355,338,214,177,176,274,165,274,239,244,215,126,149,153,185,150,141,114,99,All
Daine Grey Jr,,,,,,,,,,,14,789,879,441,750,917,453,393,306,561,623,335,329,620,277,218,242,279,209,230,351,263,292,240,138,217,136,193,175,199,191,223,149,137,135,103,111,81,79,All
Scott Diclaudio,,,,,,,,,,,,20,632,498,594,679,272,161,455,490,551,252,182,580,168,134,158,210,133,383,263,116,184,243,132,129,92,101,118,139,87,188,88,122,67,56,47,78,83,All
Stephanie M Sawyer,,,,,,,,,,,,,8,321,783,675,487,494,193,592,644,273,323,629,340,224,178,143,227,106,289,310,153,113,115,180,184,250,176,190,202,66,123,92,131,148,149,99,102,All
Leon Goodman,,,,,,,,,,,,,,35,248,215,378,388,499,154,145,325,431,109,300,217,277,223,190,412,287,268,269,258,147,216,110,140,198,183,150,196,186,133,102,111,94,113,73,All
Mia Roberts Perez,,,,,,,,,,,,,,,9,674,387,377,126,525,607,251,221,578,254,192,143,183,251,105,223,209,127,102,142,154,167,221,176,163,217,68,106,92,151,93,126,38,60,All
Abbe Fletman,,,,,,,,,,,,,,,,6,255,201,180,487,664,291,165,610,135,196,121,213,156,125,217,106,160,213,152,99,110,164,74,110,163,163,86,93,93,37,38,50,67,All
Frances Fattah,,,,,,,,,,,,,,,,,17,446,169,149,167,272,364,189,374,149,264,142,243,164,329,327,209,107,90,196,141,197,224,184,161,90,163,87,117,129,110,126,62,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,10,143,159,165,276,341,103,359,203,203,166,295,131,206,330,183,143,114,227,179,225,225,183,188,79,150,79,165,170,155,92,50,All
Jon Marshall,,,,,,,,,,,,,,,,,,,40,264,81,224,175,108,171,238,317,316,241,367,154,122,195,170,211,97,198,57,94,96,51,163,93,76,51,40,41,65,69,All
Michael Fanning,,,,,,,,,,,,,,,,,,,,2,505,93,125,531,106,245,239,198,205,48,104,90,96,81,195,75,192,57,90,95,61,69,67,62,103,55,68,67,68,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,,1,116,100,576,73,137,63,106,86,43,156,53,56,110,103,73,63,118,35,74,96,67,63,85,108,24,63,35,34,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,13,205,65,306,138,174,247,178,217,195,197,237,231,145,121,187,223,185,128,181,219,123,117,88,80,88,67,71,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,6,89,255,146,190,123,194,156,252,249,191,126,120,175,97,133,171,158,150,87,155,89,80,113,76,89,55,All
