col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Derek S Green,Ed Neilson,William K Greenlee,Blondell Reynolds Brown,Jenne Ayers,Allan Domb,Wilson Alexander,Marnie Aument Loughrey,Frank Rizzo,Sherrie Cohen,W Wilson Goode Jr,Helen Gym,Thomas Wyatt,Isaiah Thomas,Paul Steinke,Carla M Cain,Tracy B Roman,Scott Diclaudio,Mia Roberts Perez,Ken Powell,Leon Goodman,Thomas Martin,Lyris Younge,Jon Marshall,Edward William Louden Jr,Jennifer Schultz,Daine Grey Jr,Abbe Fletman,Rania Major,Rainy Papademetriou,Stephanie M Sawyer,Lynne M Summers,Brian T Ortelere,Kai Scott,Jodi Lobel,Vincent Furlong,Leon A King Ii,Stella Tsai,Wayne M D Bennett,James F Berardinelli,Deborah Watson Stokes,Betsy Wahl,Chris Mallios,Sherman Toppin,Frances Fattah,Michael Fanning,Vince Giusini,Lucretia Clemons,Anthony Kyriakakis,Shanese Johnson,Joshua Hill,Vincent N Melchiorre,Sandjai Weaver,Chris Mccabe,Marissa Brumbach,Starr Marshall Cash,Franklin A Bennett Iii,William J Ciancaglini,Tangie M Boston,All
Derek S Green,19,80,85,75,70,46,65,72,22,26,22,18,45,32,23,18,94,101,46,89,81,57,65,74,71,44,46,34,25,41,24,22,37,31,29,22,27,23,21,27,19,19,16,21,24,13,16,15,14,14,16,10,13,18,7,12,11,9,8,All
Ed Neilson,,55,106,64,11,11,9,78,19,31,31,12,14,13,10,7,42,39,53,33,23,50,29,19,19,19,27,17,12,11,31,20,8,26,32,6,11,11,14,4,13,13,29,11,9,26,14,13,10,7,10,24,9,13,9,12,6,7,2,All
William K Greenlee,,,3,82,9,25,10,79,15,36,33,13,16,21,15,11,40,37,48,34,20,46,28,14,9,16,29,21,16,16,29,14,15,27,31,9,17,16,18,11,13,10,24,14,13,26,16,11,11,11,11,20,9,15,5,12,11,7,6,All
Blondell Reynolds Brown,,,,3,15,37,9,43,25,39,50,18,18,32,14,17,52,46,55,42,29,38,40,16,17,25,36,33,21,20,40,24,20,36,22,15,25,28,20,16,25,21,21,21,21,27,17,14,20,16,14,20,14,15,13,10,9,6,8,All
Jenne Ayers,,,,,8,25,55,12,17,21,14,20,23,11,12,22,78,62,34,57,50,16,51,55,50,40,28,20,18,30,15,23,25,14,10,25,14,17,13,23,15,16,9,19,10,4,10,14,13,16,10,3,13,6,13,8,5,4,7,All
Allan Domb,,,,,,11,29,18,18,22,18,23,33,23,22,15,37,43,33,28,24,28,20,23,23,36,35,26,29,36,18,19,37,16,8,28,20,20,19,31,13,18,15,12,17,15,14,13,9,13,12,6,11,10,8,7,8,7,7,All
Wilson Alexander,,,,,,,15,11,13,11,9,7,27,7,4,15,59,59,21,51,43,17,40,49,51,33,28,15,19,21,8,14,24,8,3,16,4,10,17,21,8,12,8,12,7,5,12,8,5,7,9,4,11,3,6,5,6,3,4,All
Marnie Aument Loughrey,,,,,,,,1,17,17,9,13,10,7,15,10,20,17,28,16,17,42,10,11,15,21,15,9,20,14,12,15,9,7,31,11,9,12,13,7,7,11,10,12,8,9,15,13,8,9,13,3,11,4,7,6,5,6,4,All
Frank Rizzo,,,,,,,,,11,27,30,21,17,15,9,15,33,26,40,17,22,21,16,14,15,24,21,10,20,13,16,28,10,14,10,21,16,12,17,8,15,15,10,10,11,10,18,12,12,10,6,8,13,3,14,7,7,9,6,All
Sherrie Cohen,,,,,,,,,,3,36,28,19,11,17,16,45,36,51,32,18,20,27,13,19,28,33,26,17,22,33,33,12,26,15,18,18,23,15,13,20,19,22,9,13,20,16,20,11,16,11,19,10,8,20,13,6,9,6,All
W Wilson Goode Jr,,,,,,,,,,,3,15,8,24,11,12,37,30,48,25,22,15,29,11,14,24,33,22,19,8,40,23,10,31,5,13,8,15,10,9,24,18,18,13,18,26,12,14,6,13,12,17,8,9,15,11,5,6,7,All
Helen Gym,,,,,,,,,,,,11,10,13,20,15,27,22,32,15,22,15,11,11,15,30,19,15,17,18,18,21,9,10,11,12,17,20,13,12,18,23,7,11,17,6,9,18,9,15,11,2,12,3,15,9,5,4,6,All
Thomas Wyatt,,,,,,,,,,,,,1,9,16,13,36,30,27,27,26,25,17,26,25,30,30,17,17,23,13,22,25,19,5,18,16,13,16,25,8,9,14,14,12,6,13,15,11,13,12,7,9,8,5,8,9,8,4,All
Isaiah Thomas,,,,,,,,,,,,,,3,9,8,17,19,24,11,18,11,17,13,12,12,21,16,9,16,21,15,8,21,9,9,14,15,7,7,17,16,12,15,15,7,9,10,9,10,10,7,12,13,7,14,3,2,8,All
Paul Steinke,,,,,,,,,,,,,,,2,12,21,23,19,10,24,26,12,12,10,14,19,14,16,22,12,15,11,14,10,16,13,14,13,10,10,7,11,13,15,6,14,8,13,8,12,5,10,6,4,10,5,8,3,All
Carla M Cain,,,,,,,,,,,,,,,,1,25,19,24,17,22,17,15,14,12,28,17,19,16,16,15,18,14,8,11,14,7,18,18,10,12,14,1,9,6,6,7,10,9,11,7,1,9,5,11,6,4,3,4,All
Tracy B Roman,,,,,,,,,,,,,,,,,19,101,70,87,75,34,90,59,64,51,52,39,27,34,39,31,27,33,16,22,21,25,20,30,18,20,23,19,18,24,19,17,14,18,11,18,14,8,11,13,12,11,6,All
Scott Diclaudio,,,,,,,,,,,,,,,,,,17,44,95,74,31,91,71,67,32,49,36,30,32,22,18,32,32,12,31,23,19,21,29,16,13,27,17,14,23,20,9,15,14,13,26,12,13,11,7,15,10,7,All
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,12,32,28,29,36,20,24,39,38,50,34,23,51,34,17,43,21,18,24,35,19,17,27,33,33,19,21,33,16,26,18,17,16,28,14,18,25,20,9,9,8,All
Ken Powell,,,,,,,,,,,,,,,,,,,,5,66,20,79,65,57,30,42,33,20,28,26,13,24,26,8,16,11,14,18,28,8,10,17,19,10,21,12,12,12,9,12,20,6,7,3,3,5,4,1,All
