col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Scott Diclaudio,Tracy B Roman,Ken Powell,Michael Fanning,Vincent N Melchiorre,Mia Roberts Perez,Jennifer Schultz,Lyris Younge,Abbe Fletman,Kai Scott,Vincent Furlong,Chris Mallios,Stephanie M Sawyer,James F Berardinelli,Daine Grey Jr,Jon Marshall,Vince Giusini,Leon Goodman,Lynne M Summers,Thomas Martin,Edward William Louden Jr,Rainy Papademetriou,Anthony Kyriakakis,Brian T Ortelere,Chris Mccabe,Deborah Watson Stokes,Wayne M D Bennett,Stella Tsai,Marissa Brumbach,Betsy Wahl,William J Ciancaglini,Lucretia Clemons,Leon A King Ii,Sherman Toppin,Jodi Lobel,Rania Major,Franklin A Bennett Iii,Frances Fattah,Sandjai Weaver,Joshua Hill,Shanese Johnson,Starr Marshall Cash,Tangie M Boston,All
Kevin M Dougherty,151,332,233,236,50,35,318,201,206,242,223,169,169,154,163,152,160,142,135,144,123,105,124,95,101,115,95,102,89,88,87,78,79,71,77,65,72,60,59,59,53,36,46,48,35,40,37,31,19,All
Anne E Lazarus,,10,147,173,37,21,142,129,117,96,99,117,132,71,103,101,92,90,98,82,78,56,85,63,96,73,55,71,68,57,56,73,61,77,69,69,53,53,46,40,45,39,34,37,37,35,37,24,20,All
David Wecht,,,22,106,28,23,159,135,150,100,94,98,66,118,88,95,58,87,80,65,62,73,56,64,48,74,68,57,47,44,48,27,46,29,31,23,35,25,29,30,24,18,18,16,17,21,22,18,7,All
Christine Donohue,,,,17,24,31,124,141,106,73,67,77,108,81,70,65,69,54,68,69,70,78,57,83,74,49,68,50,50,47,51,57,55,53,48,52,39,43,29,37,38,32,30,31,30,29,26,24,19,All
John Henry Foradora,,,,,0,16,29,29,31,19,21,21,34,15,24,16,35,17,17,31,27,23,22,21,24,21,17,19,12,25,11,11,10,13,8,11,15,7,14,7,5,10,11,10,7,7,7,3,2,All
Dwayne D Woodruff,,,,,,1,18,24,17,8,14,14,20,14,13,16,15,13,14,13,16,17,15,18,20,12,11,13,17,8,13,12,17,9,9,8,9,11,17,12,8,14,9,7,11,7,9,7,5,All
Scott Diclaudio,,,,,,,4,169,150,170,162,84,78,123,93,86,76,84,76,79,59,94,60,74,41,82,81,42,43,47,37,29,33,26,24,20,34,14,34,27,19,12,33,20,16,18,13,7,10,All
Tracy B Roman,,,,,,,,0,146,93,92,102,90,134,105,79,53,74,89,54,59,81,38,75,69,74,77,44,36,34,28,41,36,44,34,31,21,18,30,22,22,33,16,18,17,15,15,13,12,All
