col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Anthony Hardy Williams,Jim Kenney,Doug Oliver,Lynne M Abraham,Nelson Diaz,T Milton Street Sr,Lyris Younge,Ken Powell,Scott Diclaudio,Kai Scott,Tracy B Roman,Daine Grey Jr,Mia Roberts Perez,Stephanie M Sawyer,Frances Fattah,Abbe Fletman,Chris Mallios,Leon Goodman,Vincent N Melchiorre,Michael Fanning,Edward William Louden Jr,Jon Marshall,Jennifer Schultz,Wayne M D Bennett,Deborah Watson Stokes,Leon A King Ii,Shanese Johnson,Vincent Furlong,Lynne M Summers,Sherman Toppin,Anthony Kyriakakis,Lucretia Clemons,Rainy Papademetriou,Sandjai Weaver,James F Berardinelli,Marissa Brumbach,Starr Marshall Cash,Brian T Ortelere,Chris Mccabe,Thomas Martin,Betsy Wahl,Franklin A Bennett Iii,Jodi Lobel,Vince Giusini,Joshua Hill,Rania Major,Stella Tsai,Tangie M Boston,William J Ciancaglini,1
Anthony Hardy Williams,20,0,0,0,0,0,45,31,28,23,25,14,14,14,14,13,14,17,16,11,15,12,7,8,4,5,1,5,4,8,3,1,1,5,2,2,3,4,2,2,3,1,1,3,3,1,1,1,1,1
Jim Kenney,,7,0,0,0,0,13,9,12,12,11,9,9,9,8,8,5,5,3,6,4,8,5,4,4,5,8,5,5,3,7,6,6,2,5,4,4,3,4,4,2,1,3,2,0,1,3,0,1,1
Doug Oliver,,,0,0,0,0,2,2,1,4,3,3,2,3,3,2,2,1,2,2,0,0,2,2,2,1,2,1,1,0,0,1,1,1,1,2,2,0,1,1,1,2,0,0,1,1,0,2,1,1
Lynne M Abraham,,,,3,0,0,3,2,1,2,1,1,1,1,1,1,1,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Nelson Diaz,,,,,0,0,1,2,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
T Milton Street Sr,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lyris Younge,,,,,,,0,35,35,33,30,21,22,19,12,19,21,13,20,18,12,12,2,4,5,5,3,1,3,4,1,3,4,2,4,2,5,2,1,2,0,1,3,1,1,2,2,1,0,1
Ken Powell,,,,,,,,0,32,21,32,23,20,17,12,21,16,14,17,14,13,14,6,5,5,5,3,5,5,5,4,3,4,2,3,2,3,3,1,2,1,1,3,2,2,2,1,1,0,1
Scott Diclaudio,,,,,,,,,0,21,30,22,20,21,8,20,20,12,16,15,12,12,3,2,6,4,2,2,0,4,4,2,2,1,3,2,5,3,3,2,2,1,2,0,0,0,2,1,1,1
Kai Scott,,,,,,,,,,0,17,18,22,21,10,17,22,3,20,18,3,4,4,7,3,4,5,1,4,4,3,4,2,3,2,2,4,1,3,1,2,2,1,2,2,3,1,2,2,1
Tracy B Roman,,,,,,,,,,,0,21,18,16,7,18,14,14,14,15,12,13,4,5,4,4,3,4,3,4,4,2,2,0,3,4,2,2,2,2,3,4,1,2,2,1,1,1,1,1
Daine Grey Jr,,,,,,,,,,,,0,17,17,11,19,16,4,14,13,1,4,3,4,5,3,3,3,2,2,2,1,2,0,3,3,2,3,2,3,2,2,0,1,1,1,1,1,0,1
Mia Roberts Perez,,,,,,,,,,,,,0,17,11,15,20,4,16,15,4,2,3,5,6,3,5,1,4,5,1,3,2,1,2,2,6,2,5,1,3,2,1,0,1,2,3,1,2,1
Stephanie M Sawyer,,,,,,,,,,,,,,0,5,15,18,4,16,14,2,2,3,5,4,3,2,1,1,2,3,1,2,1,1,1,4,0,2,1,2,2,1,0,3,0,1,1,1,1
