col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Alice Beck Dubow,Robert Colville,Tracy B Roman,Scott Diclaudio,Abbe Fletman,Lyris Younge,Jennifer Schultz,Ken Powell,Michael Fanning,Leon Goodman,Daine Grey Jr,Stephanie M Sawyer,Chris Mallios,Mia Roberts Perez,Kai Scott,Rainy Papademetriou,Vincent N Melchiorre,James F Berardinelli,Sherman Toppin,Stella Tsai,Frances Fattah,Lynne M Summers,Deborah Watson Stokes,Jon Marshall,Joshua Hill,Marissa Brumbach,Shanese Johnson,Vince Giusini,Vincent Furlong,Betsy Wahl,Brian T Ortelere,Edward William Louden Jr,Jodi Lobel,Wayne M D Bennett,Anthony Kyriakakis,Lucretia Clemons,Thomas Martin,William J Ciancaglini,Chris Mccabe,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,Leon A King Ii,Rania Major,Sandjai Weaver,1
Alice Beck Dubow,4,0,18,17,14,16,10,12,12,9,8,10,7,8,7,7,7,6,6,6,5,5,3,3,4,4,3,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,1
Robert Colville,,0,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tracy B Roman,,,0,11,8,12,7,10,8,2,7,7,6,6,6,5,5,4,1,3,3,3,2,3,2,1,2,1,1,1,1,3,1,1,2,1,1,1,0,0,0,0,0,0,0,1
Scott Diclaudio,,,,0,5,10,4,9,6,3,5,6,4,4,5,4,5,5,1,2,1,3,1,2,1,1,0,2,1,1,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,1
Abbe Fletman,,,,,0,6,5,5,7,4,5,5,7,5,5,2,5,1,1,4,0,1,0,0,2,1,0,2,2,1,1,0,2,3,1,0,0,0,1,0,0,0,0,0,0,1
Lyris Younge,,,,,,0,4,10,7,2,6,7,4,4,6,4,5,3,4,2,4,2,1,3,2,0,2,2,2,1,1,3,0,1,1,1,1,1,0,0,0,0,0,0,0,1
Jennifer Schultz,,,,,,,0,2,2,3,4,1,0,0,1,3,0,4,0,3,2,3,1,2,3,2,2,2,1,2,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,1
Ken Powell,,,,,,,,0,6,3,6,6,4,5,6,2,5,2,2,1,1,0,1,2,1,1,1,0,2,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Michael Fanning,,,,,,,,,0,1,5,6,7,8,6,1,6,1,1,0,1,2,1,1,2,2,1,2,2,2,0,0,0,0,0,0,2,2,0,1,1,1,0,0,0,1
Leon Goodman,,,,,,,,,,0,2,2,0,1,1,2,0,3,2,3,0,1,1,2,2,2,0,0,3,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1
Daine Grey Jr,,,,,,,,,,,0,5,3,5,6,3,4,1,1,2,1,1,1,1,2,2,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,0,5,5,5,1,6,1,1,3,2,1,3,1,0,2,1,0,2,1,0,1,2,0,0,1,0,2,0,1,1,1,0,0,0,1
Chris Mallios,,,,,,,,,,,,,0,6,4,0,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
Mia Roberts Perez,,,,,,,,,,,,,,0,5,1,5,0,1,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,1
Kai Scott,,,,,,,,,,,,,,,0,2,5,0,1,1,0,0,0,0,2,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Rainy Papademetriou,,,,,,,,,,,,,,,,0,1,2,2,1,1,1,0,1,1,0,0,1,0,0,1,2,0,2,2,0,0,1,0,0,0,0,0,0,0,1
Vincent N Melchiorre,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,1,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,0,0,2,1,2,1,3,2,1,1,1,1,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,0,0,3,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1
Stella Tsai,,,,,,,,,,,,,,,,,,,,0,1,2,2,1,2,2,1,1,2,1,1,1,3,2,1,1,0,0,1,0,0,0,0,0,0,1
Frances Fattah,,,,,,,,,,,,,,,,,,,,,0,3,1,1,1,1,3,0,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,2,2,1,0,2,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,1,2,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,2,0,0,2,1,0,1,1,1,0,1,1,1,0,0,0,1
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
