col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,Sheriff - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jewell Williams,Scott Diclaudio,Tracy B Roman,Ken Powell,Marissa Brumbach,Vince Giusini,Vincent N Melchiorre,Thomas Martin,Lynne M Summers,Jon Marshall,Lucretia Clemons,Mia Roberts Perez,Jennifer Schultz,Leon A King Ii,Lyris Younge,Frances Fattah,Leon Goodman,Shanese Johnson,Deborah Watson Stokes,Rainy Papademetriou,Rania Major,Stella Tsai,Daine Grey Jr,James F Berardinelli,Stephanie M Sawyer,Abbe Fletman,Betsy Wahl,Chris Mccabe,Kai Scott,Brian T Ortelere,Chris Mallios,Joshua Hill,Sherman Toppin,Vincent Furlong,Wayne M D Bennett,William J Ciancaglini,Michael Fanning,Anthony Kyriakakis,Franklin A Bennett Iii,Sandjai Weaver,Edward William Louden Jr,Tangie M Boston,Jodi Lobel,Starr Marshall Cash,1
Jewell Williams,7,18,21,21,16,14,9,14,15,14,15,15,11,13,12,12,13,12,12,10,11,11,9,8,11,9,10,10,9,7,8,8,7,8,8,7,5,6,6,5,5,5,2,2,1
Scott Diclaudio,,4,9,7,5,7,6,4,7,5,3,3,5,4,4,2,5,2,2,3,2,2,1,5,2,4,3,4,2,4,3,3,3,4,1,7,4,1,4,1,3,0,0,1,1
Tracy B Roman,,,2,12,6,3,4,6,4,4,6,4,5,4,6,3,6,7,6,1,4,3,2,1,3,4,2,4,3,2,3,1,2,3,4,3,3,1,2,1,5,3,0,0,1
Ken Powell,,,,0,3,7,4,9,4,7,4,5,2,5,8,3,6,7,2,6,4,3,7,4,5,5,1,4,3,4,7,2,3,2,6,1,4,3,3,2,4,1,0,0,1
Marissa Brumbach,,,,,3,6,8,6,6,4,10,7,7,1,4,4,1,3,7,3,4,4,2,0,3,5,6,7,4,1,3,4,2,1,0,1,4,2,1,2,0,4,2,1,1
Vince Giusini,,,,,,2,8,7,6,3,3,3,3,5,4,4,2,3,2,3,4,3,4,4,2,4,4,3,3,3,4,3,2,3,4,3,3,3,3,3,1,0,0,0,1
Vincent N Melchiorre,,,,,,,4,4,4,2,1,3,3,1,3,4,1,0,3,1,1,1,0,1,0,2,0,4,1,2,4,1,1,2,0,2,5,1,1,0,0,0,1,0,1
Thomas Martin,,,,,,,,0,4,3,5,4,1,5,4,2,4,4,2,5,4,2,5,2,1,2,2,6,2,1,5,5,4,1,3,2,5,3,1,2,1,1,0,0,1
Lynne M Summers,,,,,,,,,0,4,7,6,6,5,1,5,3,2,5,5,5,6,2,4,4,3,5,4,2,2,3,4,3,5,3,5,1,4,4,2,1,1,2,2,1
Jon Marshall,,,,,,,,,,1,3,4,2,6,6,6,6,6,3,5,5,3,3,2,2,1,2,4,3,5,1,6,1,3,3,2,1,1,3,1,3,1,1,1,1
Lucretia Clemons,,,,,,,,,,,0,7,7,4,3,4,4,6,6,3,5,6,4,2,4,3,7,3,4,1,0,4,3,2,3,2,1,1,0,4,0,4,1,1,1
Mia Roberts Perez,,,,,,,,,,,,0,5,2,3,4,2,4,6,3,5,6,4,3,6,5,5,5,4,2,3,4,3,2,1,2,1,1,0,2,1,4,1,0,1
Jennifer Schultz,,,,,,,,,,,,,1,3,2,3,2,3,6,2,4,5,3,3,4,4,5,2,3,3,0,1,2,4,1,4,2,2,1,2,1,4,1,1,1
Leon A King Ii,,,,,,,,,,,,,,0,3,3,5,7,3,4,3,3,4,3,3,1,2,2,5,4,1,4,3,3,7,3,0,3,2,3,2,1,0,1,1
Lyris Younge,,,,,,,,,,,,,,,1,4,4,4,3,2,4,4,2,1,1,4,3,2,2,2,4,1,0,1,4,1,4,1,2,3,2,2,0,0,1
Frances Fattah,,,,,,,,,,,,,,,,0,7,4,6,2,6,4,3,1,4,1,3,2,3,2,1,5,1,4,2,1,2,1,1,1,0,1,1,1,1
Leon Goodman,,,,,,,,,,,,,,,,,0,6,4,1,5,4,3,3,4,0,2,1,3,2,1,4,3,3,5,3,2,0,1,1,4,1,0,1,1
Shanese Johnson,,,,,,,,,,,,,,,,,,0,5,3,6,4,5,2,5,1,3,2,3,3,1,3,1,2,4,1,1,0,1,2,2,3,0,0,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,0,0,7,3,2,1,5,2,5,2,5,0,2,2,2,3,2,2,1,2,2,2,1,4,0,1,1
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,0,1,3,5,4,3,2,2,3,3,7,4,3,2,2,2,0,1,4,3,2,0,0,1,0,1
Rania Major,,,,,,,,,,,,,,,,,,,,,0,4,3,3,4,1,4,2,2,2,1,3,1,3,3,1,1,1,2,3,1,3,0,1,1
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,3,5,2,4,3,1,3,2,2,4,3,1,2,0,4,1,2,2,1,1
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,2,3,3,3,2,2,2,1,3,0,1,2,1,2,0,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,0,1,6,1,1,4,3,4,4,1,2,2,0,1,0,0,1,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,0,3,4,0,5,2,3,1,2,2,3,1,1,1,1,2,1,3,0,1,1
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,2,3,1,0,2,1,1,2,2,1,1,1,1,1,0,1
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,1,1,2,1,0,1,1,0,1,3,4,0,4,1,0,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,4,1,2,0,2,3,1,1,0,1,0,1,1,1
Kai Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,3,2,3,1,0,4,2,3,1,2,0,0,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,2,3,1,0,2,2,1,1,0,1,0,1
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,0,4,2,2,1,1,0,0,0,1
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,2,0,2,1,1,0,0,1,1,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,2,2,2,0,1,1,0,0,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,0,1,1,0,1,0,0,2,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,1,3,3,1,0,1,1
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,1,0,2,1
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
