col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Kai Scott,Daine Grey Jr,Tracy B Roman,Ken Powell,Lyris Younge,Mia Roberts Perez,Stephanie M Sawyer,Scott Diclaudio,Frances Fattah,Brian T Ortelere,Leon Goodman,Rainy Papademetriou,Michael Fanning,Jennifer Schultz,Deborah Watson Stokes,Abbe Fletman,Thomas Martin,Lynne M Summers,Shanese Johnson,Leon A King Ii,Jon Marshall,Edward William Louden Jr,Vincent Furlong,Wayne M D Bennett,Chris Mallios,Lucretia Clemons,Betsy Wahl,James F Berardinelli,Sherman Toppin,Stella Tsai,Rania Major,Starr Marshall Cash,Vincent N Melchiorre,Anthony Kyriakakis,Sandjai Weaver,Joshua Hill,Marissa Brumbach,Vince Giusini,Tangie M Boston,Chris Mccabe,Franklin A Bennett Iii,Jodi Lobel,William J Ciancaglini,All
Kai Scott,95,538,435,362,443,567,515,286,332,305,198,326,437,199,296,292,191,211,219,215,97,102,125,165,273,175,162,91,169,127,127,158,195,108,118,111,114,100,112,114,51,53,49,All
Daine Grey Jr,,74,472,429,453,381,432,339,288,220,249,214,272,222,241,350,194,195,189,176,161,172,166,157,211,127,126,145,165,102,111,143,165,93,95,101,77,77,91,86,60,45,41,All
Tracy B Roman,,,108,483,493,341,344,460,259,206,334,194,244,243,209,285,178,211,195,148,226,245,144,150,168,137,130,117,116,109,129,100,159,84,90,91,109,65,90,39,53,62,45,All
Ken Powell,,,,77,465,289,271,430,218,181,319,181,247,172,143,274,211,144,131,139,247,226,119,141,180,100,79,106,100,79,84,71,175,82,68,98,52,60,64,57,63,44,45,All
Lyris Younge,,,,,52,336,343,431,199,160,239,159,252,167,180,274,143,145,150,133,207,207,113,123,199,107,105,85,132,65,84,97,164,80,75,62,62,70,72,74,38,51,25,All
Mia Roberts Perez,,,,,,28,369,245,232,237,135,266,390,144,226,223,144,164,141,127,66,80,86,115,214,132,129,73,114,104,115,124,179,95,85,83,100,67,70,84,34,50,45,All
Stephanie M Sawyer,,,,,,,31,219,241,89,160,130,261,145,268,221,128,176,181,149,70,70,86,108,209,130,128,72,136,117,86,154,172,70,79,59,101,54,104,75,43,48,37,All
Scott Diclaudio,,,,,,,,90,133,169,233,162,204,150,78,253,127,110,91,110,223,208,99,97,150,62,71,124,88,80,64,35,160,72,48,55,43,67,36,36,30,39,40,All
Frances Fattah,,,,,,,,,47,193,180,209,144,132,225,93,270,201,196,168,83,97,115,122,54,113,108,72,105,93,112,98,44,66,94,110,78,53,81,43,62,46,38,All
Brian T Ortelere,,,,,,,,,,35,144,407,229,153,67,133,185,82,66,75,115,109,109,78,46,44,38,125,58,56,64,39,31,50,39,60,27,52,28,29,24,15,24,All
Leon Goodman,,,,,,,,,,,47,115,84,166,143,110,157,142,124,154,239,208,124,134,50,92,58,117,91,75,78,65,45,62,83,92,39,56,56,40,52,34,47,All
Rainy Papademetriou,,,,,,,,,,,,13,229,135,90,145,192,91,78,74,93,86,108,69,57,60,66,118,52,82,73,53,44,65,49,54,56,52,30,24,16,40,24,All
Michael Fanning,,,,,,,,,,,,,27,63,129,177,118,85,70,69,40,51,56,65,191,63,44,47,64,49,60,79,156,49,40,53,43,38,42,67,35,21,26,All
Jennifer Schultz,,,,,,,,,,,,,,35,134,162,97,166,134,104,114,116,127,116,52,92,118,147,73,105,86,70,40,100,58,63,104,73,44,59,37,40,32,All
Deborah Watson Stokes,,,,,,,,,,,,,,,21,86,126,174,169,134,56,70,74,95,90,119,114,66,112,112,92,111,43,62,97,75,88,49,93,69,43,49,39,All
Abbe Fletman,,,,,,,,,,,,,,,,6,95,85,70,70,79,63,101,70,197,55,90,104,58,87,46,39,146,82,39,43,61,66,25,42,13,36,23,All
Thomas Martin,,,,,,,,,,,,,,,,,11,142,129,110,98,88,93,111,51,79,67,72,96,68,86,56,46,58,75,87,46,60,43,36,50,37,38,All
Lynne M Summers,,,,,,,,,,,,,,,,,,4,173,126,71,87,98,100,49,111,111,58,90,85,102,90,42,57,52,88,88,57,63,42,53,52,42,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,10,117,58,63,72,86,38,101,99,41,79,80,95,90,27,47,71,72,69,48,85,37,41,41,27,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,10,82,76,81,113,46,98,60,75,89,79,73,54,35,64,74,81,44,50,58,36,48,24,33,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,31,182,85,84,33,48,34,89,66,39,49,36,17,50,49,52,21,33,24,21,27,21,24,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,31,89,65,28,51,33,80,66,49,56,39,27,34,39,40,31,33,28,28,30,17,22,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,14,77,31,58,41,93,55,47,63,44,29,50,47,46,31,44,35,27,32,19,29,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,6,39,44,64,66,51,54,71,47,36,71,64,70,50,77,46,40,59,23,23,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,1,39,56,37,55,48,25,51,150,55,41,29,31,33,17,78,18,25,28,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,4,83,28,62,77,73,57,35,46,51,47,71,35,58,29,31,27,27,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,8,38,50,91,72,56,30,77,35,38,103,59,38,43,27,56,31,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,53,48,35,18,34,56,46,44,32,60,18,34,27,28,28,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,42,39,66,30,41,47,40,25,30,32,58,34,22,20,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,67,43,35,66,55,37,69,41,49,28,26,40,25,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,51,24,29,61,41,59,28,56,22,34,31,17,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,19,32,42,36,43,20,52,49,26,22,19,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,36,24,23,29,12,21,19,22,33,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,44,46,57,74,19,43,18,31,37,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,24,34,35,42,20,31,25,30,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,34,27,31,41,23,26,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,48,38,32,14,37,13,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,26,19,19,28,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18,22,23,17,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,18,24,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,16,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,All
