col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Commonwealth Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Michael Wojcik,Todd Eagen,Tracy B Roman,Ken Powell,Scott Diclaudio,James F Berardinelli,Jennifer Schultz,Lyris Younge,Michael Fanning,Jon Marshall,Marissa Brumbach,Mia Roberts Perez,Stephanie M Sawyer,Abbe Fletman,Brian T Ortelere,Leon Goodman,Rainy Papademetriou,Rania Major,Vincent Furlong,Anthony Kyriakakis,Daine Grey Jr,Deborah Watson Stokes,Kai Scott,Leon A King Ii,Lynne M Summers,Stella Tsai,Vincent N Melchiorre,Frances Fattah,Thomas Martin,Chris Mallios,Chris Mccabe,Edward William Louden Jr,Lucretia Clemons,Shanese Johnson,Vince Giusini,Wayne M D Bennett,Betsy Wahl,Joshua Hill,Jodi Lobel,Sandjai Weaver,Sherman Toppin,Starr Marshall Cash,Franklin A Bennett Iii,Tangie M Boston,William J Ciancaglini,1
Michael Wojcik,2,0,5,6,7,7,7,2,7,7,6,3,4,3,3,4,3,3,4,5,3,5,5,4,6,4,4,4,3,1,2,2,1,5,4,0,3,3,2,1,1,2,1,1,1,1
Todd Eagen,,0,8,6,5,3,2,7,3,2,4,6,6,3,3,2,3,4,2,2,3,2,2,2,1,3,3,1,2,4,3,3,3,0,0,3,1,1,1,1,1,1,1,0,0,1
Tracy B Roman,,,0,6,7,3,3,9,4,2,3,2,1,2,5,2,4,3,1,2,2,2,2,2,2,3,4,1,3,4,1,3,2,2,1,1,2,2,1,0,0,2,0,0,1,1
Ken Powell,,,,0,5,4,2,6,3,5,2,1,2,2,4,4,4,1,1,3,2,1,1,0,1,0,2,0,2,2,1,4,1,0,1,1,1,1,0,1,0,0,2,0,0,1
Scott Diclaudio,,,,,0,6,4,5,5,3,5,3,0,4,6,3,3,1,3,4,2,2,2,3,4,2,4,2,3,3,0,2,1,1,3,0,1,2,0,0,1,1,0,1,1,1
James F Berardinelli,,,,,,0,7,3,3,5,4,2,3,3,6,4,4,2,4,4,3,2,2,3,2,3,3,1,1,1,2,3,1,0,4,3,0,1,0,1,2,1,2,0,1,1
Jennifer Schultz,,,,,,,1,2,3,3,3,3,3,4,5,3,4,4,5,3,4,2,3,3,3,3,3,1,2,0,2,2,1,2,2,2,2,1,2,0,1,0,0,1,0,1
Lyris Younge,,,,,,,,0,2,3,2,2,2,3,4,2,4,2,1,2,3,2,1,2,1,1,3,1,2,4,2,3,2,0,0,2,1,0,0,0,0,1,1,0,0,1
Michael Fanning,,,,,,,,,0,3,4,2,3,4,2,1,3,2,3,4,1,1,4,4,1,4,4,2,2,3,2,0,0,1,1,1,2,2,1,1,1,1,1,0,1,1
Jon Marshall,,,,,,,,,,0,2,1,3,2,2,6,3,2,2,3,4,2,1,2,0,1,0,2,2,0,1,3,0,1,1,1,0,2,0,2,1,1,2,0,0,1
Marissa Brumbach,,,,,,,,,,,0,6,4,2,0,2,2,4,2,2,0,3,4,3,4,4,3,2,1,2,0,0,2,2,3,2,2,2,2,2,1,1,1,1,0,1
Mia Roberts Perez,,,,,,,,,,,,1,4,3,1,2,2,4,1,2,1,1,2,3,3,4,2,0,1,1,0,0,3,1,0,2,1,1,2,1,2,1,0,1,0,1
