col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Alice Beck Dubow,Robert Colville,Tracy B Roman,Ken Powell,Lyris Younge,Scott Diclaudio,Daine Grey Jr,Stephanie M Sawyer,Kai Scott,Mia Roberts Perez,Jon Marshall,Abbe Fletman,Michael Fanning,Jennifer Schultz,Leon Goodman,Vincent N Melchiorre,Chris Mallios,Rainy Papademetriou,Thomas Martin,Rania Major,Edward William Louden Jr,Lucretia Clemons,Frances Fattah,Betsy Wahl,Shanese Johnson,Lynne M Summers,Anthony Kyriakakis,Sandjai Weaver,Marissa Brumbach,Brian T Ortelere,Leon A King Ii,Wayne M D Bennett,James F Berardinelli,Deborah Watson Stokes,Jodi Lobel,Stella Tsai,Vincent Furlong,Vince Giusini,Sherman Toppin,Chris Mccabe,Joshua Hill,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,William J Ciancaglini,All
Alice Beck Dubow,70,0,474,418,401,407,340,290,287,278,210,235,203,196,205,206,194,124,137,136,156,128,146,119,127,125,75,120,76,92,102,107,100,97,66,103,92,82,76,67,66,65,55,48,44,All
Robert Colville,,16,43,52,36,38,27,19,23,10,42,12,9,19,37,12,10,15,15,16,29,7,10,13,11,18,13,21,10,12,14,14,15,13,5,13,10,10,8,10,8,5,11,5,5,All
Tracy B Roman,,,13,339,367,335,283,241,238,223,123,208,179,128,146,200,174,61,51,62,126,61,69,71,89,72,28,83,35,50,41,37,50,51,21,73,42,45,33,40,31,28,37,19,19,All
Ken Powell,,,,9,317,323,245,187,189,205,150,190,177,71,151,171,162,54,67,55,126,34,53,37,29,42,28,41,23,49,48,55,56,29,20,27,49,29,42,16,30,31,13,16,22,All
Lyris Younge,,,,,11,313,257,220,228,201,126,197,165,88,118,175,173,48,47,40,109,44,54,47,65,52,24,59,16,36,48,38,45,39,19,50,37,28,31,21,24,15,24,10,13,All
Scott Diclaudio,,,,,,9,236,175,177,182,131,185,179,67,125,167,165,51,46,44,119,28,42,24,21,26,27,33,17,48,36,48,59,22,21,18,38,29,30,10,31,26,6,11,19,All
Daine Grey Jr,,,,,,,2,223,232,207,83,251,180,106,72,193,186,81,60,53,57,44,57,54,69,42,33,81,23,72,58,53,72,36,20,54,61,54,35,40,36,25,35,17,17,All
Stephanie M Sawyer,,,,,,,,2,247,210,36,168,188,96,39,190,190,53,47,65,19,50,58,88,80,68,20,61,28,15,37,34,16,49,22,62,20,29,26,28,19,18,39,27,12,All
