col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,John Henry Foradora,Dwayne D Woodruff,Tracy B Roman,Ken Powell,Scott Diclaudio,Leon Goodman,Lyris Younge,Mia Roberts Perez,Jennifer Schultz,Kai Scott,Abbe Fletman,Daine Grey Jr,Jon Marshall,Stephanie M Sawyer,Frances Fattah,Brian T Ortelere,Edward William Louden Jr,James F Berardinelli,Rainy Papademetriou,Chris Mallios,Betsy Wahl,Leon A King Ii,Thomas Martin,Vincent Furlong,Lynne M Summers,Rania Major,Sandjai Weaver,Sherman Toppin,Stella Tsai,Deborah Watson Stokes,Lucretia Clemons,Michael Fanning,Shanese Johnson,Wayne M D Bennett,Vincent N Melchiorre,Anthony Kyriakakis,Chris Mccabe,Franklin A Bennett Iii,Jodi Lobel,Marissa Brumbach,Vince Giusini,Tangie M Boston,Starr Marshall Cash,Joshua Hill,William J Ciancaglini,1
Kevin M Dougherty,8,20,14,15,7,2,14,13,12,11,13,12,12,10,10,11,8,9,9,8,6,7,8,5,5,5,3,6,4,5,4,3,4,2,2,3,4,4,3,3,3,3,0,1,3,1,1,0,0,1
Anne E Lazarus,,1,8,10,3,2,10,10,7,9,7,14,7,8,6,4,5,8,7,1,3,3,2,4,5,4,4,3,6,5,4,3,3,2,4,4,5,4,3,3,2,3,1,1,3,1,0,0,0,1
Christine Donohue,,,2,9,3,3,12,9,10,7,8,9,8,5,4,6,7,3,2,4,3,5,2,3,3,3,1,4,2,3,2,1,2,3,2,2,2,1,1,1,0,0,2,2,0,2,0,0,0,1
David Wecht,,,,1,5,3,9,9,9,7,8,9,8,6,7,7,7,5,5,5,5,6,5,4,4,3,5,3,3,1,3,3,2,3,3,2,2,4,2,2,2,2,1,2,2,1,0,0,0,1
John Henry Foradora,,,,,0,4,5,5,5,7,5,1,4,1,5,7,5,1,1,4,5,4,4,2,0,1,3,1,2,0,2,3,0,2,1,0,0,2,1,0,0,0,2,1,1,0,0,0,0,1
Dwayne D Woodruff,,,,,,0,3,3,2,3,3,2,2,2,1,3,1,2,2,1,2,1,1,2,2,1,3,1,1,2,3,2,1,3,2,0,2,0,0,0,0,0,3,2,0,1,0,0,0,1
Tracy B Roman,,,,,,,0,10,11,9,13,6,6,6,4,7,6,3,4,5,7,3,4,2,1,2,2,4,3,1,2,3,1,4,1,2,3,2,2,1,0,2,2,2,2,1,0,0,0,1
Ken Powell,,,,,,,,0,11,11,10,6,6,4,4,5,8,4,5,5,7,6,5,3,4,3,3,2,1,2,4,2,1,1,3,2,2,2,1,1,1,2,1,1,1,0,0,0,0,1
Scott Diclaudio,,,,,,,,,0,9,12,6,5,3,5,7,9,3,2,6,8,5,5,3,1,2,2,3,2,1,3,3,1,2,1,3,1,2,1,1,1,1,2,1,1,0,0,0,0,1
Leon Goodman,,,,,,,,,,0,9,3,6,2,3,4,8,0,5,3,8,6,3,3,1,2,5,1,1,1,3,3,1,2,3,1,1,1,0,0,0,1,2,1,1,0,0,0,0,1
Lyris Younge,,,,,,,,,,,0,5,6,6,6,6,8,4,4,6,8,4,5,3,3,4,2,4,1,1,2,3,2,4,1,2,1,4,3,1,2,1,2,2,2,1,0,0,0,1
Mia Roberts Perez,,,,,,,,,,,,0,7,7,5,3,4,7,4,1,2,2,1,4,6,3,1,1,4,5,3,1,3,2,3,3,4,2,2,3,2,1,1,2,1,2,0,0,0,1
Jennifer Schultz,,,,,,,,,,,,,0,4,5,5,6,2,4,4,3,7,4,3,3,2,2,2,2,2,2,2,2,1,2,2,1,2,0,2,2,0,0,1,1,1,0,0,0,1
Kai Scott,,,,,,,,,,,,,,3,4,4,0,6,4,2,0,1,3,5,6,5,1,2,2,2,4,2,2,3,1,2,3,2,3,2,2,1,1,1,2,1,0,0,0,1
Abbe Fletman,,,,,,,,,,,,,,,1,8,4,3,0,3,2,4,5,5,3,2,0,4,2,0,1,1,1,0,1,2,0,4,2,2,1,0,0,0,2,0,0,0,0,1
Daine Grey Jr,,,,,,,,,,,,,,,,0,5,3,1,5,2,6,6,4,1,1,2,5,2,0,4,2,0,1,1,1,1,2,2,1,0,1,1,0,1,0,0,0,0,1
Jon Marshall,,,,,,,,,,,,,,,,,0,2,3,3,7,5,3,1,0,0,2,1,3,1,2,3,1,0,2,1,1,3,1,0,1,1,0,0,1,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,0,5,2,0,0,2,2,5,3,0,2,3,2,2,2,4,3,1,2,2,2,4,1,2,1,1,2,0,2,0,0,0,1
Frances Fattah,,,,,,,,,,,,,,,,,,,0,2,1,1,1,1,3,2,1,1,1,1,2,3,3,2,2,1,2,1,2,0,2,1,0,1,0,1,0,0,0,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,0,3,5,6,0,1,3,1,4,0,0,0,1,1,2,0,0,0,2,2,0,1,0,1,1,0,0,0,0,0,1
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,0,3,3,0,0,0,3,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1
