col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Commonwealth Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Todd Eagen,Michael Wojcik,Tracy B Roman,Abbe Fletman,Chris Mallios,Scott Diclaudio,Ken Powell,Kai Scott,Mia Roberts Perez,Daine Grey Jr,Michael Fanning,Stephanie M Sawyer,Lyris Younge,Vincent N Melchiorre,Jennifer Schultz,Jon Marshall,Rainy Papademetriou,Stella Tsai,Betsy Wahl,James F Berardinelli,Anthony Kyriakakis,Vincent Furlong,Lynne M Summers,Leon Goodman,Chris Mccabe,Lucretia Clemons,Edward William Louden Jr,Brian T Ortelere,Deborah Watson Stokes,Marissa Brumbach,Jodi Lobel,Thomas Martin,Rania Major,Wayne M D Bennett,Vince Giusini,William J Ciancaglini,Leon A King Ii,Frances Fattah,Joshua Hill,Sandjai Weaver,Shanese Johnson,Sherman Toppin,Starr Marshall Cash,Tangie M Boston,Franklin A Bennett Iii,All
Todd Eagen,59,0,354,341,286,316,330,305,294,277,234,254,276,222,133,114,117,102,80,75,90,70,60,67,69,60,71,59,52,52,53,43,50,43,38,35,47,38,31,32,33,26,23,21,23,All
Michael Wojcik,,51,143,111,80,106,94,81,95,89,64,77,63,55,129,78,68,88,75,72,58,65,82,72,48,59,51,44,64,57,50,55,51,54,45,45,38,43,48,43,39,30,26,25,22,All
Tracy B Roman,,,12,289,269,339,333,248,262,288,220,250,291,269,158,126,65,83,76,68,42,68,82,88,34,48,77,53,63,58,52,48,63,36,37,28,40,46,29,40,45,28,23,27,15,All
Abbe Fletman,,,,9,321,254,274,343,293,313,218,259,233,214,127,74,121,121,85,70,78,46,47,47,55,64,35,58,47,52,49,32,36,44,36,26,26,35,30,23,27,16,10,18,18,All
Chris Mallios,,,,,3,202,222,317,284,236,285,248,187,279,57,101,84,90,53,42,63,18,15,17,57,38,15,32,30,21,27,28,10,25,28,18,21,16,23,16,13,12,14,7,10,All
Scott Diclaudio,,,,,,16,325,220,192,260,207,190,269,203,88,110,58,35,25,75,48,57,31,75,35,18,76,58,18,18,19,40,23,39,41,29,30,30,27,20,19,22,10,10,19,All
Ken Powell,,,,,,,6,238,220,267,219,207,281,201,94,120,67,44,42,69,42,60,37,81,35,32,75,51,25,22,16,47,19,34,28,27,37,26,29,19,15,23,14,16,18,All
Kai Scott,,,,,,,,2,299,260,220,261,217,220,79,52,93,97,70,33,70,23,35,22,53,54,17,39,32,34,33,26,30,36,25,15,34,28,30,20,23,13,18,18,8,All
Mia Roberts Perez,,,,,,,,,2,252,210,270,197,212,114,44,90,120,95,36,72,27,60,26,54,76,22,35,68,63,46,29,53,32,24,22,29,37,32,33,40,22,21,15,7,All
Daine Grey Jr,,,,,,,,,,2,196,226,227,205,104,83,87,65,41,62,37,46,30,50,34,24,49,64,34,23,22,29,21,25,14,11,22,25,21,24,18,14,13,12,13,All
Michael Fanning,,,,,,,,,,,12,215,173,233,32,107,36,31,23,31,39,32,19,10,46,28,16,14,14,19,15,27,11,17,23,20,16,9,13,6,9,7,10,8,16,All
Stephanie M Sawyer,,,,,,,,,,,,2,178,215,91,45,60,84,88,31,43,30,63,23,43,55,15,14,70,56,40,29,34,22,16,25,16,30,20,32,29,12,20,25,13,All
Lyris Younge,,,,,,,,,,,,,1,170,74,75,44,35,29,37,34,31,32,58,26,27,60,28,22,25,23,30,19,23,26,15,26,29,14,14,21,14,10,13,4,All
Vincent N Melchiorre,,,,,,,,,,,,,,0,36,62,37,31,29,30,38,23,10,15,26,11,15,8,24,19,13,17,13,15,28,27,14,7,17,13,14,6,9,7,8,All
Jennifer Schultz,,,,,,,,,,,,,,,9,69,97,111,92,78,51,68,104,62,39,63,58,65,71,77,65,43,63,40,40,33,38,42,32,47,40,29,23,27,21,All
Jon Marshall,,,,,,,,,,,,,,,,2,38,24,8,58,21,45,33,74,22,17,69,40,11,9,19,31,13,21,29,20,25,15,19,18,12,20,13,8,15,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,6,100,54,60,68,44,28,33,39,51,40,68,34,32,26,24,28,25,29,11,32,25,26,25,19,15,13,8,7,All
Stella Tsai,,,,,,,,,,,,,,,,,,3,88,39,63,25,61,21,45,68,18,41,61,62,54,20,48,22,27,21,34,36,33,35,29,13,17,13,8,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,1,30,40,23,58,19,31,49,11,18,66,64,46,19,42,25,25,16,19,26,19,22,26,6,14,19,7,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,4,43,59,28,52,30,27,46,57,24,13,22,37,11,30,34,29,27,17,27,23,11,17,10,7,16,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,1,33,27,27,45,38,23,33,33,28,30,21,24,30,34,25,27,23,22,22,11,17,9,9,9,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,3,38,41,31,16,34,39,21,13,17,24,18,25,30,32,30,14,22,14,13,17,12,14,14,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,1,30,23,41,23,17,59,51,40,31,42,20,18,22,21,34,20,24,34,17,26,22,15,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,1,13,20,60,40,18,16,16,28,22,29,17,14,24,18,22,24,15,19,8,17,13,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,0,30,14,16,24,19,19,26,6,20,21,31,17,13,21,7,9,11,15,10,14,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,17,34,43,36,25,31,18,16,14,25,22,15,26,29,10,14,10,11,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33,9,10,11,28,19,24,23,11,23,18,21,15,12,16,7,3,8,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,5,11,17,18,24,18,8,22,15,16,11,7,17,5,4,11,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,36,12,33,12,11,15,15,25,6,21,24,10,21,20,8,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,46,15,40,16,17,8,14,19,11,21,26,9,15,15,7,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,34,10,22,15,11,16,12,23,26,4,10,10,7,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,30,27,16,18,12,30,19,10,20,12,10,10,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,14,6,23,19,14,22,27,12,14,14,5,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,11,24,14,21,18,7,17,7,10,17,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,16,12,15,13,12,12,8,6,3,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,13,14,12,6,14,10,9,8,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,23,9,15,21,12,11,13,All
