col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Tracy B Roman,Leon Goodman,Jennifer Schultz,Kai Scott,Ken Powell,Lyris Younge,Daine Grey Jr,Scott Diclaudio,Abbe Fletman,Edward William Louden Jr,Frances Fattah,Jon Marshall,Lynne M Summers,Betsy Wahl,Deborah Watson Stokes,Rainy Papademetriou,Sherman Toppin,Thomas Martin,Leon A King Ii,Sandjai Weaver,James F Berardinelli,Jodi Lobel,Lucretia Clemons,Marissa Brumbach,Shanese Johnson,Stephanie M Sawyer,Vince Giusini,Vincent Furlong,Wayne M D Bennett,Brian T Ortelere,Rania Major,Stella Tsai,Tangie M Boston,William J Ciancaglini,Anthony Kyriakakis,Chris Mccabe,Franklin A Bennett Iii,Joshua Hill,Mia Roberts Perez,Michael Fanning,Chris Mallios,Vincent N Melchiorre,Starr Marshall Cash,1
Tracy B Roman,3,7,6,6,8,7,3,6,5,6,5,4,4,6,2,2,4,3,4,0,2,0,0,0,1,3,1,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1
Leon Goodman,,1,7,6,8,6,3,5,5,4,5,5,4,3,6,2,3,2,2,4,3,3,2,0,2,3,3,3,3,2,2,2,2,2,1,2,1,1,1,0,1,1,0,1
Jennifer Schultz,,,1,6,8,4,4,2,6,2,6,5,4,4,4,3,5,2,5,3,3,2,1,1,1,1,2,3,3,3,3,1,0,0,0,2,1,1,1,0,0,1,0,1
Kai Scott,,,,2,4,3,3,1,5,1,6,3,5,6,4,3,5,1,3,2,2,2,0,2,2,3,1,1,3,0,1,2,3,2,1,0,1,1,2,1,0,0,0,1
Ken Powell,,,,,1,5,3,6,3,5,4,5,2,2,2,3,4,3,4,3,3,1,2,1,1,1,3,2,1,1,3,1,0,1,0,1,1,0,1,0,1,1,0,1
Lyris Younge,,,,,,1,1,5,2,5,3,3,3,2,2,2,1,1,1,1,2,1,1,0,1,0,0,1,3,2,0,0,0,0,0,1,1,1,1,1,0,0,0,1
Daine Grey Jr,,,,,,,3,3,2,3,0,2,4,0,1,4,1,1,1,2,2,1,0,2,1,2,2,1,1,2,0,2,2,1,0,0,0,1,0,0,0,0,0,1
Scott Diclaudio,,,,,,,,2,1,7,1,3,2,0,0,3,0,1,1,0,1,0,1,1,1,0,2,1,0,1,0,1,1,2,0,0,0,1,0,0,1,0,0,1
Abbe Fletman,,,,,,,,,0,1,3,2,1,4,3,1,4,0,3,1,2,1,0,0,1,1,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1
Edward William Louden Jr,,,,,,,,,,1,0,3,2,0,0,3,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
Frances Fattah,,,,,,,,,,,0,2,3,5,3,0,3,1,3,0,1,1,1,1,1,2,1,2,3,1,1,0,1,1,0,1,0,1,2,0,1,0,0,1
Jon Marshall,,,,,,,,,,,,0,3,1,1,3,2,2,2,2,1,2,1,2,1,0,1,1,1,0,2,1,0,0,1,0,0,0,0,1,0,0,0,1
Lynne M Summers,,,,,,,,,,,,,0,2,2,4,1,2,1,1,0,2,0,1,2,2,1,2,2,1,0,1,2,1,0,1,1,2,1,1,0,0,0,1
Betsy Wahl,,,,,,,,,,,,,,0,2,0,4,1,3,0,1,0,0,0,1,2,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1
Deborah Watson Stokes,,,,,,,,,,,,,,,0,0,1,1,1,2,1,2,1,0,0,2,2,1,3,1,1,1,1,1,1,2,1,1,0,0,0,1,0,1
Rainy Papademetriou,,,,,,,,,,,,,,,,0,1,2,1,1,1,2,1,2,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,2,0,0,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,0,0,4,2,2,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Thomas Martin,,,,,,,,,,,,,,,,,,0,1,1,0,1,2,1,1,1,2,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,0,1,2,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,0,2,1,2,0,2,1,2,1,1,0,2,2,1,0,0,1,1,0,0,0,0,1,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,0,2,1,1,2,1,0,0,0,0,0,1,0,0,0,0,1
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,2,1,1,0,0,0,1,2,1,0,1,0,1,0,0,0,1
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,2,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,2,2,1,0,0,0,1,1,0,0,0,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1
