col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,Kai Scott,Abbe Fletman,Mia Roberts Perez,Stella Tsai,Rainy Papademetriou,Chris Mallios,Ken Powell,Daine Grey Jr,Stephanie M Sawyer,Tracy B Roman,Jennifer Schultz,Lyris Younge,Betsy Wahl,Leon A King Ii,Scott Diclaudio,Frances Fattah,Deborah Watson Stokes,Anthony Kyriakakis,Leon Goodman,Brian T Ortelere,Lynne M Summers,Lucretia Clemons,Jon Marshall,Vincent N Melchiorre,Michael Fanning,Wayne M D Bennett,James F Berardinelli,Shanese Johnson,Edward William Louden Jr,Jodi Lobel,Marissa Brumbach,Chris Mccabe,Thomas Martin,Rania Major,Vincent Furlong,Vince Giusini,Joshua Hill,Sandjai Weaver,Sherman Toppin,Tangie M Boston,Franklin A Bennett Iii,Starr Marshall Cash,William J Ciancaglini,All
Jim Kenney,484,0,0,0,0,0,"1,098","1,029",944,851,870,835,449,557,552,351,540,289,558,452,236,271,290,401,214,341,194,243,157,216,189,212,237,138,105,206,184,221,147,138,122,135,157,91,82,63,55,57,53,All
Anthony Hardy Williams,,353,0,0,0,0,428,249,240,143,99,139,386,245,233,417,140,368,86,169,328,272,158,58,229,75,158,92,176,145,143,94,70,130,171,54,59,50,108,86,118,103,68,79,79,56,45,41,34,All
Lynne M Abraham,,,36,0,0,0,60,39,54,37,31,26,42,34,46,45,49,32,38,31,29,37,42,19,30,14,52,35,25,17,13,23,17,21,17,27,19,11,13,24,13,10,13,10,9,10,11,6,13,All
Doug Oliver,,,,35,0,0,60,37,46,38,31,22,31,40,37,44,37,32,36,21,20,33,28,13,20,11,22,27,22,7,16,5,12,26,11,7,18,3,11,21,14,4,12,20,12,12,4,9,6,All
Nelson Diaz,,,,,32,0,51,34,44,40,43,33,23,27,35,22,28,17,27,18,16,22,20,28,12,10,17,22,12,11,9,12,9,15,6,16,12,5,7,12,5,6,7,7,6,2,1,4,1,All
T Milton Street Sr,,,,,,12,9,4,7,3,2,3,14,13,4,16,2,13,0,7,16,10,7,0,14,4,8,2,11,4,6,4,8,2,8,1,3,3,5,4,8,4,1,2,6,1,3,3,2,All
Kai Scott,,,,,,,4,"1,100","1,034",858,795,933,498,608,661,384,437,386,556,478,250,298,288,374,188,262,210,203,100,310,262,187,164,163,68,169,136,185,139,115,110,141,155,99,82,65,40,50,48,All
Abbe Fletman,,,,,,,,0,899,822,752,907,474,573,577,351,415,305,465,383,261,191,170,341,123,309,123,136,82,268,208,139,203,74,75,149,88,179,73,68,101,123,117,51,43,22,21,21,20,All
Mia Roberts Perez,,,,,,,,,0,821,729,787,397,546,617,337,437,286,518,358,224,240,263,308,94,238,161,194,66,263,220,129,144,110,39,149,143,164,77,123,55,79,127,73,62,53,27,51,42,All
Stella Tsai,,,,,,,,,,1,756,672,260,361,422,174,438,117,517,392,57,193,225,306,107,256,155,176,46,109,56,128,142,92,30,165,145,166,79,119,72,78,112,70,36,42,28,33,22,All
Rainy Papademetriou,,,,,,,,,,,0,676,252,412,371,136,414,114,470,334,93,100,152,356,111,293,72,153,97,107,83,116,205,51,65,133,104,123,72,72,57,43,103,48,42,22,23,22,22,All
Chris Mallios,,,,,,,,,,,,0,322,457,481,175,320,163,436,317,162,60,135,299,61,228,35,91,37,230,184,91,138,24,21,106,56,149,32,18,18,37,69,31,30,11,10,17,20,All
Ken Powell,,,,,,,,,,,,,2,425,381,483,180,436,127,222,409,235,112,189,248,206,127,101,218,217,219,105,194,94,180,71,54,72,121,65,122,140,74,52,81,39,46,30,31,All
Daine Grey Jr,,,,,,,,,,,,,,1,488,328,253,304,250,224,265,169,182,225,174,262,128,95,132,229,186,139,199,100,109,70,60,135,99,74,104,68,118,75,72,34,33,37,27,All
Stephanie M Sawyer,,,,,,,,,,,,,,,0,325,228,299,314,194,214,211,282,245,117,178,162,157,77,274,226,122,128,127,57,119,123,113,66,95,42,84,89,70,58,61,34,58,39,All
Tracy B Roman,,,,,,,,,,,,,,,,1,233,490,139,172,442,277,192,74,245,93,214,135,189,211,212,96,100,149,194,78,111,50,120,144,130,140,69,84,78,66,41,47,27,All
Jennifer Schultz,,,,,,,,,,,,,,,,,0,145,390,308,127,158,181,111,147,184,185,164,131,43,52,97,135,112,95,124,139,108,73,125,100,58,74,76,41,40,30,40,34,All
Lyris Younge,,,,,,,,,,,,,,,,,,3,87,150,382,236,145,54,189,76,134,96,184,210,203,70,67,109,158,53,70,57,96,89,92,115,50,59,67,43,26,42,19,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,1,305,52,121,216,189,74,121,138,153,45,97,40,80,60,85,24,140,140,113,39,83,37,35,81,54,31,40,21,31,22,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,0,87,179,130,123,151,127,144,103,91,57,61,122,78,104,51,59,66,98,104,70,100,94,77,47,60,43,38,23,28,All
Scott Diclaudio,,,,,,,,,,,,,,,,,,,,,2,115,61,59,184,104,73,56,193,189,191,71,99,52,164,26,36,24,50,48,72,90,40,38,49,28,35,21,27,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,0,207,50,156,64,211,119,105,91,90,121,51,161,70,65,77,78,127,109,116,125,71,78,73,64,52,51,42,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,1,122,132,43,167,159,69,100,62,83,50,139,47,108,126,66,83,112,64,44,53,72,58,76,35,54,28,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,0,67,181,44,113,64,85,70,83,140,34,41,101,77,69,62,46,24,56,70,31,28,14,21,13,21,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,1,89,123,87,210,50,58,111,110,99,164,47,41,51,107,57,97,70,71,53,55,43,39,33,38,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,1,39,51,86,28,31,92,194,27,67,41,29,116,34,36,55,39,37,25,31,17,30,15,14,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,0,134,100,51,49,76,53,137,59,77,105,43,109,124,111,76,63,63,50,53,38,43,43,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,37,57,68,45,104,41,123,148,51,76,104,48,40,50,68,43,44,29,39,24,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,34,61,70,97,71,163,52,52,25,100,45,84,37,53,34,50,24,35,34,28,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,201,33,32,34,16,31,27,35,32,20,24,75,35,35,21,10,26,14,25,All
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,28,34,21,54,52,41,64,34,30,63,38,32,30,18,29,23,22,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,63,53,31,44,72,82,62,60,63,76,43,42,35,53,22,22,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,78,47,30,28,33,31,73,54,50,30,30,15,31,13,28,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,54,75,32,73,88,67,34,48,66,42,60,35,38,16,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,22,22,45,41,72,42,32,24,35,23,20,14,24,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,110,48,47,67,27,25,50,30,27,19,13,16,18,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,58,88,21,33,27,43,19,27,10,25,12,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,25,31,38,38,22,35,13,25,25,17,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,51,82,66,51,37,43,24,32,28,20,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,21,36,69,40,55,24,29,20,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,64,43,21,33,23,29,16,30,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,36,25,9,17,15,24,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,33,22,25,15,19,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,30,20,18,20,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,22,12,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,30,13,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,9,All
