col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Alice Beck Dubow,Robert Colville,Tracy B Roman,Lyris Younge,Ken Powell,Scott Diclaudio,Daine Grey Jr,Kai Scott,Leon Goodman,Frances Fattah,Jon Marshall,Stephanie M Sawyer,Mia Roberts Perez,Abbe Fletman,Jennifer Schultz,Edward William Louden Jr,Sandjai Weaver,Thomas Martin,Lynne M Summers,Michael Fanning,Leon A King Ii,Lucretia Clemons,Chris Mallios,Deborah Watson Stokes,Vincent N Melchiorre,Vincent Furlong,Rainy Papademetriou,Wayne M D Bennett,Brian T Ortelere,Shanese Johnson,Sherman Toppin,James F Berardinelli,Rania Major,Betsy Wahl,Anthony Kyriakakis,Stella Tsai,Marissa Brumbach,Jodi Lobel,Vince Giusini,Joshua Hill,Franklin A Bennett Iii,Chris Mccabe,Tangie M Boston,William J Ciancaglini,Starr Marshall Cash,All
Alice Beck Dubow,96,0,428,379,406,368,255,243,222,200,202,210,201,187,171,167,130,123,137,138,126,105,129,116,120,95,86,99,96,105,87,81,87,85,65,77,56,46,53,46,44,35,35,32,31,All
Robert Colville,,13,51,46,43,34,27,19,40,20,42,16,19,18,22,35,19,17,15,7,14,12,12,17,6,16,10,14,9,12,12,12,9,11,11,8,11,7,6,9,6,9,4,9,9,All
Tracy B Roman,,,5,315,299,293,195,165,166,94,147,156,144,158,113,136,75,80,82,111,69,56,108,65,100,52,69,62,64,66,48,49,46,49,33,38,33,19,37,22,26,8,20,15,16,All
Lyris Younge,,,,14,294,273,185,186,143,101,139,158,139,147,95,130,68,59,68,111,56,62,113,53,105,40,53,47,49,54,43,43,39,36,26,23,19,20,24,12,29,14,18,13,14,All
Ken Powell,,,,,4,278,180,151,167,81,163,126,135,144,84,141,53,67,56,109,62,36,103,37,105,52,48,46,66,41,42,53,41,30,33,29,17,17,25,27,26,9,13,12,10,All
Scott Diclaudio,,,,,,13,165,131,142,59,140,112,116,134,74,132,50,47,40,102,47,30,112,27,96,43,51,42,57,28,33,56,19,18,22,28,12,14,24,21,13,9,10,14,6,All
Daine Grey Jr,,,,,,,4,151,82,70,75,154,124,169,83,55,49,60,55,104,68,42,106,46,94,58,73,52,66,40,40,60,45,29,30,28,19,17,22,26,19,8,13,13,13,All
Kai Scott,,,,,,,,4,44,90,38,175,162,135,56,24,75,50,64,116,59,45,119,65,110,35,35,37,18,59,45,11,44,43,25,29,27,22,14,18,17,18,16,10,20,All
