col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Christine Hope,Joffie C Pittman,Sharon Williams Losier,Matthew Perks,Christian Dicicco,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,Abbe Fletman,Mia Roberts Perez,Rainy Papademetriou,Tracy B Roman,Kai Scott,Scott Diclaudio,Ken Powell,Stella Tsai,Chris Mallios,Jennifer Schultz,Stephanie M Sawyer,Betsy Wahl,Daine Grey Jr,Lyris Younge,Marissa Brumbach,Vincent N Melchiorre,Deborah Watson Stokes,Brian T Ortelere,Leon Goodman,Lynne M Summers,Jodi Lobel,Lucretia Clemons,Rania Major,Joshua Hill,Vincent Furlong,Jon Marshall,Frances Fattah,James F Berardinelli,Michael Fanning,Chris Mccabe,Anthony Kyriakakis,Shanese Johnson,Sherman Toppin,Vince Giusini,Wayne M D Bennett,Leon A King Ii,Sandjai Weaver,Edward William Louden Jr,Thomas Martin,Franklin A Bennett Iii,Starr Marshall Cash,William J Ciancaglini,Tangie M Boston,1
Christine Hope,1,21,27,6,17,7,5,4,27,29,25,23,19,18,17,21,13,22,17,19,18,15,18,10,15,13,9,15,11,14,16,8,8,10,8,8,10,5,7,11,9,7,4,8,7,5,5,2,5,1,3,1
Joffie C Pittman,,0,19,18,5,18,2,4,30,25,19,20,27,19,20,15,21,11,19,15,18,19,13,14,8,6,5,6,11,9,6,6,5,7,5,5,11,5,4,8,4,6,6,7,5,6,4,3,1,1,1,1
Sharon Williams Losier,,,0,7,11,1,0,2,19,22,13,24,14,24,17,13,9,12,19,13,13,16,11,11,10,4,8,11,5,12,12,4,3,8,4,5,10,2,2,4,7,3,2,4,4,6,4,2,4,2,2,1
Matthew Perks,,,,1,3,15,3,2,17,15,10,10,13,8,10,12,15,6,8,8,8,4,3,6,9,9,10,4,8,3,4,9,8,5,4,4,3,5,1,3,1,5,5,3,3,4,4,1,3,1,0,1
Christian Dicicco,,,,,1,2,3,1,7,12,11,9,7,7,10,8,5,11,6,7,2,4,6,5,7,3,6,9,6,7,9,4,6,5,3,5,4,4,6,3,5,3,2,2,4,4,2,1,2,2,2,1
Daniel R Sulman,,,,,,0,2,0,17,11,11,2,15,4,6,9,13,8,6,9,7,2,5,4,4,5,2,3,8,2,2,6,1,3,4,4,2,3,4,2,0,4,3,3,2,0,2,0,1,1,0,1
Gary S Silver,,,,,,,0,3,3,3,3,2,1,2,3,3,1,3,1,0,3,1,2,3,4,4,6,1,2,1,2,2,8,4,1,3,0,0,1,2,1,1,4,3,3,1,2,2,1,1,0,1
Franklin A Bennett Iii,,,,,,,,0,2,6,2,2,3,2,5,2,1,3,1,1,4,2,2,4,4,1,3,1,3,2,2,3,5,1,1,2,2,3,0,3,2,2,5,1,5,3,3,4,0,1,1,1
