col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Gary S Silver,Christian Dicicco,Franklin A Bennett Iii,Daniel R Sulman,Ken Powell,Lyris Younge,Tracy B Roman,Daine Grey Jr,Kai Scott,Scott Diclaudio,Mia Roberts Perez,Abbe Fletman,Stephanie M Sawyer,Frances Fattah,Rainy Papademetriou,Chris Mallios,Jon Marshall,Michael Fanning,Leon Goodman,Vincent N Melchiorre,Thomas Martin,Jennifer Schultz,Brian T Ortelere,Edward William Louden Jr,Deborah Watson Stokes,Leon A King Ii,Lynne M Summers,Lucretia Clemons,Anthony Kyriakakis,Stella Tsai,Betsy Wahl,Wayne M D Bennett,Sherman Toppin,Vincent Furlong,James F Berardinelli,Marissa Brumbach,Shanese Johnson,Jodi Lobel,Rania Major,Sandjai Weaver,Vince Giusini,Joshua Hill,Chris Mccabe,Franklin A Bennett Iii,Tangie M Boston,Starr Marshall Cash,William J Ciancaglini,All
Sharon Williams Losier,28,313,283,97,58,51,40,18,341,334,349,263,256,264,232,230,188,127,136,173,124,177,127,171,104,87,60,89,85,60,76,61,34,56,56,51,50,44,39,48,54,28,54,38,32,24,32,20,30,28,18,All
Joffie C Pittman,,4,214,109,35,18,20,52,292,300,279,239,237,208,210,217,160,72,111,180,99,155,107,158,89,60,37,80,51,56,39,47,46,51,52,45,38,30,43,33,26,32,22,23,33,27,30,22,17,21,11,All
Christine Hope,,,3,41,48,51,48,22,231,221,238,249,217,134,206,220,168,111,122,159,62,160,74,152,107,97,55,41,82,57,80,59,33,44,47,52,44,48,42,45,48,27,50,33,28,25,30,20,27,24,17,All
Matthew Perks,,,,4,22,24,18,43,105,86,88,57,65,82,48,67,40,43,51,45,77,16,84,16,24,39,35,68,36,36,27,32,45,41,34,30,26,25,41,19,17,27,14,20,18,26,20,19,9,7,11,All
Gary S Silver,,,,,3,18,22,10,58,40,40,56,21,38,28,40,23,38,39,13,36,10,51,14,25,34,38,27,24,33,25,19,20,17,13,32,23,38,30,14,22,9,11,15,20,15,8,11,8,5,11,All
Christian Dicicco,,,,,,1,17,11,40,22,37,28,29,23,34,30,24,45,31,14,21,19,21,12,33,32,25,14,31,29,34,24,18,21,21,20,27,20,20,19,26,16,25,23,19,14,8,14,10,11,9,All
Franklin A Bennett Iii,,,,,,,0,13,32,28,30,35,31,22,22,15,23,48,14,6,25,18,32,9,31,20,15,16,29,26,27,21,17,18,11,33,22,25,15,9,26,10,21,21,11,21,11,27,13,11,10,All
Daniel R Sulman,,,,,,,,1,32,16,19,29,53,17,37,51,25,32,33,36,11,8,23,9,14,24,23,13,19,35,17,22,33,37,30,21,15,10,27,8,11,21,12,9,18,22,13,14,11,1,8,All
Ken Powell,,,,,,,,,16,313,314,234,205,232,195,208,136,87,118,152,124,154,131,155,99,56,57,105,52,50,39,35,34,29,29,50,39,43,47,25,35,20,24,28,24,23,25,26,14,12,14,All
Lyris Younge,,,,,,,,,,13,305,285,218,223,193,226,149,69,119,149,100,156,111,157,84,58,29,90,49,47,42,36,21,30,29,39,41,35,33,29,27,14,27,19,26,13,23,16,19,12,12,All
Tracy B Roman,,,,,,,,,,,12,223,199,235,184,203,142,76,105,146,105,157,114,152,99,71,49,97,52,44,52,41,20,37,30,41,36,47,35,27,36,19,33,27,24,17,13,23,23,15,18,All
Daine Grey Jr,,,,,,,,,,,,13,225,148,199,277,158,82,146,168,57,162,72,156,100,66,60,42,54,53,54,33,30,41,42,54,44,58,53,27,35,21,28,33,37,28,27,18,17,15,12,All
Kai Scott,,,,,,,,,,,,,8,119,255,224,199,86,115,199,36,176,38,173,86,48,38,11,71,55,45,50,46,49,52,29,36,20,27,26,40,34,30,25,17,32,32,15,22,20,13,All
Scott Diclaudio,,,,,,,,,,,,,,9,116,120,106,37,38,93,107,100,107,98,28,44,82,95,21,33,17,18,20,19,16,30,29,30,42,10,15,9,18,25,24,14,14,17,10,7,10,All
Mia Roberts Perez,,,,,,,,,,,,,,,39,201,195,72,105,181,31,166,32,166,81,43,34,16,51,42,37,46,30,52,48,24,25,20,27,35,24,28,23,20,16,21,29,18,18,18,11,All
Abbe Fletman,,,,,,,,,,,,,,,,1,139,56,149,180,40,148,45,154,81,71,63,27,45,43,39,39,43,57,45,31,27,46,45,30,21,36,19,19,21,21,26,8,10,10,11,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,5,70,40,138,37,119,35,117,27,51,18,19,65,43,55,42,25,51,52,28,32,20,15,35,37,29,25,19,10,16,22,12,24,23,13,All
Frances Fattah,,,,,,,,,,,,,,,,,,24,40,24,35,32,60,31,56,47,32,28,67,54,60,39,18,32,35,42,37,36,28,27,46,16,30,31,15,31,24,25,23,19,18,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,3,87,52,84,33,76,95,49,71,25,25,33,21,43,66,48,35,20,25,32,51,35,10,33,16,19,18,17,18,8,8,7,11,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,0,14,151,20,158,57,21,22,5,29,30,18,23,37,34,29,14,12,4,18,5,9,25,9,8,8,13,19,7,6,8,5,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,21,23,102,9,41,45,32,82,19,32,21,36,37,10,10,26,29,35,37,28,18,22,13,12,20,12,9,15,8,6,6,All
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,0,14,162,78,11,19,3,23,13,16,26,22,12,15,19,11,10,8,24,11,26,14,13,12,6,20,14,9,10,7,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,8,13,37,42,26,90,43,54,45,24,21,22,20,31,32,31,34,18,30,14,20,27,19,21,15,13,17,8,13,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,0,57,10,14,0,15,12,9,10,13,8,13,6,5,5,13,16,7,12,3,12,15,7,11,6,5,4,9,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,0,27,26,20,28,30,35,33,28,14,5,35,30,27,21,29,18,19,19,19,22,23,9,20,6,8,7,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,3,43,35,34,31,40,37,21,40,38,36,27,39,46,30,24,21,31,17,16,16,10,10,11,10,9,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,13,22,6,17,27,23,15,24,18,27,46,7,9,11,16,11,19,10,14,17,3,5,6,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,19,17,16,7,13,9,24,18,23,25,5,11,3,12,6,13,15,6,11,6,2,5,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,45,50,38,16,30,42,24,31,26,16,30,43,24,29,32,12,16,19,15,26,18,17,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,38,38,31,30,31,37,35,24,27,18,29,17,20,21,19,18,13,20,19,11,8,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41,14,29,40,25,31,18,9,37,36,19,33,20,12,21,10,15,17,13,9,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,34,38,16,25,14,13,47,30,35,28,14,9,19,10,8,10,10,7,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,39,27,20,16,13,28,28,7,38,9,10,21,18,10,8,5,7,9,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,42,20,16,14,22,21,21,25,25,19,16,22,10,12,12,12,8,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,15,7,15,37,23,27,22,13,14,24,18,2,9,12,12,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,29,23,21,9,19,6,19,17,27,15,8,24,13,8,5,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21,15,11,19,12,19,21,20,13,13,12,12,13,8,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,9,14,6,8,5,16,15,9,10,10,6,12,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,8,14,8,12,21,20,11,13,6,3,8,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,29,22,18,9,9,14,7,5,10,2,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,24,18,12,12,8,13,13,11,11,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,8,8,15,5,8,4,5,6,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,12,9,8,16,14,11,8,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,8,5,15,8,10,9,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,8,9,4,5,7,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,12,6,4,4,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,8,9,4,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,4,5,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,7,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,670,480,439,218,141,114,100,95,504,498,466,451,409,402,396,373,302,256,254,245,239,237,232,214,180,171,164,156,151,142,139,132,120,119,114,114,107,107,104,100,91,85,83,77,75,67,65,60,50,44,40,All
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
