col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,Sheriff - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jewell Williams,Mia Roberts Perez,Daine Grey Jr,Tracy B Roman,Jennifer Schultz,Rania Major,Ken Powell,Stella Tsai,Abbe Fletman,Lyris Younge,Michael Fanning,Betsy Wahl,Lynne M Summers,Jon Marshall,Leon Goodman,Marissa Brumbach,Thomas Martin,Edward William Louden Jr,Kai Scott,Stephanie M Sawyer,Vincent Furlong,James F Berardinelli,Scott Diclaudio,Shanese Johnson,Deborah Watson Stokes,Frances Fattah,Joshua Hill,Lucretia Clemons,Anthony Kyriakakis,Brian T Ortelere,Chris Mallios,Jodi Lobel,Leon A King Ii,Vince Giusini,Wayne M D Bennett,Rainy Papademetriou,Sandjai Weaver,Starr Marshall Cash,Vincent N Melchiorre,Chris Mccabe,Sherman Toppin,Franklin A Bennett Iii,Tangie M Boston,William J Ciancaglini,1
Jewell Williams,5,16,14,13,13,11,9,9,9,9,8,8,8,7,7,8,8,6,7,7,7,5,6,6,6,6,4,5,3,2,4,5,4,2,4,2,2,3,2,2,2,1,1,0,1
Mia Roberts Perez,,2,8,8,8,7,6,8,6,5,6,9,7,4,5,7,6,3,5,4,1,3,3,4,4,2,4,6,3,1,3,1,2,3,1,2,2,3,1,1,1,1,1,0,1
Daine Grey Jr,,,0,10,9,9,3,9,8,3,2,6,5,2,7,6,4,4,5,5,5,4,3,5,4,3,3,4,2,4,2,2,2,2,5,3,2,1,2,2,1,0,0,1,1
Tracy B Roman,,,,0,8,5,3,8,5,8,3,5,4,4,5,4,5,5,4,5,5,2,3,6,3,3,1,3,1,3,3,3,1,1,5,1,0,1,0,1,0,0,0,1,1
Jennifer Schultz,,,,,0,7,5,7,8,5,3,5,6,4,2,3,2,3,7,3,3,5,1,3,4,1,3,4,2,3,2,2,2,0,1,3,1,1,1,2,0,1,1,0,1
Rania Major,,,,,,1,2,6,5,2,5,4,5,1,3,5,5,3,4,2,3,4,2,1,2,2,3,2,0,2,2,2,1,1,3,2,2,2,1,1,2,1,1,1,1
Ken Powell,,,,,,,1,1,4,5,5,2,4,5,4,2,2,4,4,1,1,3,2,1,2,0,3,2,4,2,2,1,2,3,0,2,0,2,2,1,0,1,1,0,1
Stella Tsai,,,,,,,,0,4,3,1,6,5,1,4,4,2,2,4,4,3,3,1,5,4,1,2,4,0,2,2,1,0,0,2,2,1,0,1,1,0,0,0,0,1
Abbe Fletman,,,,,,,,,0,3,2,4,4,4,3,5,3,1,5,2,2,4,2,1,2,2,2,3,3,2,1,2,1,1,0,3,2,0,1,1,2,0,0,0,1
Lyris Younge,,,,,,,,,,0,3,3,3,4,3,2,4,5,3,2,3,2,2,4,2,3,0,2,2,2,3,2,1,2,2,1,0,1,1,0,0,0,0,0,1
Michael Fanning,,,,,,,,,,,0,3,4,2,1,3,3,3,3,1,3,2,2,1,1,0,2,1,2,1,2,3,1,3,2,1,0,3,1,0,1,1,1,1,1
Betsy Wahl,,,,,,,,,,,,0,4,0,2,5,2,1,4,3,1,1,2,4,4,1,0,5,1,0,3,2,0,2,0,2,1,1,1,1,1,0,0,0,1
Lynne M Summers,,,,,,,,,,,,,0,2,3,3,3,3,3,3,2,3,0,5,2,0,4,3,1,1,2,1,1,2,1,1,1,2,0,0,1,1,1,0,1
Jon Marshall,,,,,,,,,,,,,,1,4,1,3,2,1,0,2,3,3,0,0,2,2,1,2,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1
Leon Goodman,,,,,,,,,,,,,,,0,3,5,3,0,2,2,3,3,3,1,3,3,1,1,2,1,1,1,1,2,0,1,1,1,0,1,0,0,0,1
Marissa Brumbach,,,,,,,,,,,,,,,,0,3,0,3,3,2,2,2,2,3,2,2,4,2,0,0,1,0,2,2,2,1,1,1,0,2,0,0,0,1
Thomas Martin,,,,,,,,,,,,,,,,,0,2,0,3,2,3,3,2,0,4,1,0,0,1,2,2,1,0,2,0,1,2,0,0,2,0,0,0,1
Edward William Louden Jr,,,,,,,,,,,,,,,,,,0,2,0,2,2,2,3,1,1,1,0,0,3,1,1,2,2,3,0,0,1,0,0,0,1,1,1,1
Kai Scott,,,,,,,,,,,,,,,,,,,0,2,2,1,0,2,2,0,1,3,3,0,1,1,2,1,1,3,0,0,2,1,0,1,1,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,0,2,0,1,4,3,2,1,2,1,0,2,0,1,0,2,1,0,1,1,1,0,0,0,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,0,1,2,3,1,3,2,0,1,1,1,3,2,0,4,1,2,1,0,0,0,0,0,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0,2,1,0,4,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
Scott Diclaudio,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,2,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,1,2,0,0,2,1,1,1,3,0,0,1,0,0,0,0,0,0,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,1,0,2,1,1,1,1,1,0,1,1,2,0,0,0,0,1
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,1,2,0,2,0,2,0,0,0,1,0,0,0,1
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,0,0,2,1,1,1,2,1,0,0,0,1,1,0,1
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,0,2,0,1,0,0,1,1,0,0,0,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,2,2,0,2,1,0,2,1,0,0,0,0,1
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0,0,0,1,0,1,0,0,0,0,1
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,1,1,0,0,0,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,2,0,1,1,0,1,1,0,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,1,0,0,0,0,1,1
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1,1
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2,1,0,0,0,0,1
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,43,22,18,16,15,14,12,12,11,11,11,10,10,9,9,9,9,8,8,8,8,7,7,7,6,6,6,6,5,5,5,5,5,5,5,4,4,3,3,2,2,1,1,1,1
,Sheriff - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
