col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Anthony Hardy Williams,Jim Kenney,Doug Oliver,Lynne M Abraham,T Milton Street Sr,Nelson Diaz,Tracy B Roman,Ken Powell,Abbe Fletman,Jon Marshall,Frances Fattah,Mia Roberts Perez,Daine Grey Jr,Kai Scott,Lyris Younge,Sandjai Weaver,Edward William Louden Jr,Deborah Watson Stokes,Rainy Papademetriou,Rania Major,Scott Diclaudio,Stephanie M Sawyer,Michael Fanning,Shanese Johnson,Anthony Kyriakakis,Chris Mallios,Joshua Hill,Leon Goodman,Starr Marshall Cash,Brian T Ortelere,Leon A King Ii,Lucretia Clemons,Lynne M Summers,Thomas Martin,Vincent N Melchiorre,James F Berardinelli,Jennifer Schultz,Stella Tsai,Betsy Wahl,Jodi Lobel,Marissa Brumbach,Sherman Toppin,Vincent Furlong,Chris Mccabe,Tangie M Boston,Wayne M D Bennett,William J Ciancaglini,Vince Giusini,Franklin A Bennett Iii,1
Anthony Hardy Williams,7,0,0,0,0,0,11,9,5,7,7,6,5,5,3,5,3,3,3,5,3,3,4,6,4,4,2,4,2,2,5,2,4,4,4,3,3,2,2,2,2,1,1,0,2,2,1,0,0,1
Jim Kenney,,4,0,0,0,0,9,5,7,2,5,6,6,6,5,4,2,5,4,3,3,5,5,2,2,3,3,1,5,3,0,3,1,2,2,2,3,2,1,1,2,3,2,2,0,0,1,2,0,1
Doug Oliver,,,1,0,0,0,0,0,1,2,2,1,2,1,0,0,1,1,0,2,0,2,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
Lynne M Abraham,,,,0,0,0,2,2,2,2,1,1,1,1,2,3,1,1,0,0,2,0,0,0,2,0,1,1,0,0,1,2,1,0,0,1,0,1,2,2,0,0,0,0,0,1,0,0,1,1
T Milton Street Sr,,,,,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nelson Diaz,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tracy B Roman,,,,,,,1,13,6,6,7,6,6,9,8,7,4,3,2,6,7,5,5,5,4,5,2,5,3,1,1,1,4,2,6,1,3,2,3,1,3,0,2,0,1,0,2,2,0,1
Ken Powell,,,,,,,,1,6,7,4,4,3,6,6,4,4,0,3,4,6,2,5,1,1,6,2,4,2,2,3,1,2,2,5,1,2,1,2,1,1,1,0,0,1,1,2,2,1,1
