col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,Register Of Wills - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Ronald R Donatucci,Tracy B Roman,Lynne M Summers,Ken Powell,Lyris Younge,Deborah Watson Stokes,Kai Scott,Leon Goodman,Scott Diclaudio,Edward William Louden Jr,Daine Grey Jr,Michael Fanning,Stephanie M Sawyer,Brian T Ortelere,Frances Fattah,Rainy Papademetriou,Thomas Martin,Jennifer Schultz,Jon Marshall,Mia Roberts Perez,Abbe Fletman,Leon A King Ii,James F Berardinelli,Vincent N Melchiorre,Shanese Johnson,Lucretia Clemons,Wayne M D Bennett,Vincent Furlong,Sherman Toppin,Rania Major,Stella Tsai,Vince Giusini,Joshua Hill,Betsy Wahl,Marissa Brumbach,Chris Mccabe,Anthony Kyriakakis,Chris Mallios,Jodi Lobel,Sandjai Weaver,Tangie M Boston,William J Ciancaglini,Franklin A Bennett Iii,Starr Marshall Cash,All
Ronald R Donatucci,418,"1,320","1,207","1,297","1,096",826,855,899,888,846,785,595,676,611,644,590,642,618,607,562,539,515,477,477,499,452,434,414,368,360,333,303,326,319,305,309,278,273,256,240,226,220,195,184,All
Tracy B Roman,,61,565,785,614,329,422,457,546,441,457,355,377,355,255,340,351,332,344,254,337,218,219,272,238,182,185,178,137,173,129,116,113,133,130,69,86,139,88,107,99,82,76,74,All
Lynne M Summers,,,104,514,471,434,480,369,215,281,353,325,416,298,353,333,385,264,152,275,236,250,153,306,298,268,199,167,139,193,173,107,185,157,154,133,101,111,158,88,118,93,98,85,All
Ken Powell,,,,49,600,286,402,489,475,447,475,370,313,374,230,344,364,262,402,265,331,236,220,304,186,145,194,203,136,128,93,111,128,112,103,98,107,156,84,91,74,66,92,65,All
Lyris Younge,,,,,45,321,417,460,401,372,331,227,356,222,239,250,198,230,304,286,288,197,152,173,159,209,136,144,176,114,106,90,93,122,97,125,96,157,102,69,68,36,49,77,All
Deborah Watson Stokes,,,,,,105,374,262,140,171,249,154,340,112,321,150,211,210,108,254,145,238,125,132,257,233,153,154,169,150,153,72,132,163,147,140,76,112,123,115,146,67,77,117,All
Kai Scott,,,,,,,30,200,187,179,409,294,390,184,270,207,257,167,102,288,224,221,115,261,238,237,171,117,164,151,122,118,126,149,148,132,111,168,96,109,94,72,69,92,All
Leon Goodman,,,,,,,,27,350,342,271,94,154,187,201,167,205,216,356,107,125,209,193,71,153,118,171,169,114,113,71,78,103,67,59,58,72,54,83,90,76,54,83,57,All
Scott Diclaudio,,,,,,,,,41,376,305,179,174,223,100,171,132,228,349,139,226,111,237,155,87,91,135,125,97,107,64,108,64,56,48,50,85,87,50,53,50,63,62,27,All
Edward William Louden Jr,,,,,,,,,,58,245,88,112,196,161,157,177,213,308,98,133,159,205,72,152,105,156,155,99,109,65,99,90,70,55,60,86,53,53,66,43,69,65,49,All
Daine Grey Jr,,,,,,,,,,,11,262,282,336,177,309,241,243,194,212,294,184,217,213,156,126,154,193,127,117,98,101,96,98,86,83,84,130,62,95,68,42,65,77,All
Michael Fanning,,,,,,,,,,,,82,249,191,85,215,242,81,87,180,181,71,71,257,79,96,79,67,81,84,50,100,55,55,96,85,78,139,69,34,39,67,61,56,All
Stephanie M Sawyer,,,,,,,,,,,,,4,99,200,121,159,152,75,247,226,169,91,177,199,164,129,92,112,121,98,57,81,126,111,96,65,157,57,90,93,62,61,95,All
Brian T Ortelere,,,,,,,,,,,,,,20,110,406,259,225,179,111,221,97,227,164,74,68,89,158,76,76,93,80,100,43,33,80,59,38,75,31,31,45,54,19,All
Frances Fattah,,,,,,,,,,,,,,,15,110,212,162,93,202,95,216,86,116,225,162,151,143,130,144,139,56,146,113,95,123,76,49,100,85,94,65,74,70,All
Rainy Papademetriou,,,,,,,,,,,,,,,,3,278,180,169,134,195,87,202,207,86,114,72,139,63,71,115,96,99,52,88,87,107,43,133,33,34,43,37,22,All
Thomas Martin,,,,,,,,,,,,,,,,,3,147,149,135,139,134,107,181,168,156,147,125,128,105,86,96,149,61,89,91,91,46,117,66,47,59,65,34,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,10,172,142,207,144,246,60,154,123,138,187,94,120,106,74,80,128,122,73,99,55,61,82,63,66,52,59,All
Jon Marshall,,,,,,,,,,,,,,,,,,,25,50,117,99,165,46,83,94,99,117,78,87,47,49,58,23,69,30,81,25,68,35,41,33,47,37,All
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,,14,183,144,74,199,96,159,101,90,132,110,150,72,117,138,105,160,81,177,104,62,74,52,43,85,All
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,5,103,159,165,85,94,62,130,94,66,82,68,48,63,64,73,71,131,52,48,31,35,33,25,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,10,96,62,165,118,172,112,121,111,82,70,114,81,66,64,89,52,48,78,100,48,67,68,All
