col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Blondell Reynolds Brown,Derek S Green,W Wilson Goode Jr,William K Greenlee,Isaiah Thomas,Jenne Ayers,Allan Domb,Sherrie Cohen,Ed Neilson,Thomas Wyatt,Helen Gym,Wilson Alexander,Paul Steinke,Carla M Cain,Frank Rizzo,Marnie Aument Loughrey,Tracy B Roman,Ken Powell,Lyris Younge,Scott Diclaudio,Daine Grey Jr,Kai Scott,Mia Roberts Perez,Jennifer Schultz,Stephanie M Sawyer,Leon Goodman,Abbe Fletman,Jon Marshall,Frances Fattah,Deborah Watson Stokes,Michael Fanning,Chris Mallios,Edward William Louden Jr,Leon A King Ii,Vincent N Melchiorre,Thomas Martin,Wayne M D Bennett,Brian T Ortelere,Lucretia Clemons,James F Berardinelli,Lynne M Summers,Rainy Papademetriou,Vincent Furlong,Betsy Wahl,Shanese Johnson,Sherman Toppin,Rania Major,Joshua Hill,Sandjai Weaver,Chris Mccabe,Stella Tsai,Vince Giusini,Anthony Kyriakakis,Marissa Brumbach,Franklin A Bennett Iii,William J Ciancaglini,Jodi Lobel,Tangie M Boston,Starr Marshall Cash,All
Blondell Reynolds Brown,5,125,226,194,133,76,102,151,117,35,64,34,38,31,40,18,179,169,167,144,156,167,125,98,131,79,116,59,86,85,92,95,39,77,82,56,52,38,47,41,45,36,39,46,39,40,34,33,28,34,22,28,22,21,29,18,15,23,16,All
Derek S Green,,13,81,68,104,100,83,42,23,76,21,64,42,29,25,13,131,118,95,119,76,64,58,75,39,107,49,91,67,49,37,27,83,59,27,54,58,47,43,41,36,43,36,32,32,33,26,35,29,18,23,28,27,17,25,19,19,10,13,All
W Wilson Goode Jr,,,8,152,109,44,52,115,100,19,53,16,27,10,41,7,137,133,148,107,130,139,108,56,123,53,93,31,77,73,80,86,24,54,76,38,37,18,38,24,29,19,21,28,33,29,28,26,21,27,19,16,14,15,16,8,15,14,17,All
William K Greenlee,,,,3,79,24,59,111,103,23,40,11,15,10,16,8,129,116,117,118,125,112,96,46,96,47,94,29,49,43,82,84,23,37,67,36,30,25,18,27,29,24,21,25,25,25,18,19,15,20,15,18,20,18,14,15,13,11,12,All
Isaiah Thomas,,,,,6,45,73,58,35,43,36,13,35,13,30,7,85,70,81,49,74,85,58,47,67,51,40,33,66,65,38,33,17,56,30,49,40,19,44,23,38,23,23,33,34,32,26,23,21,22,17,17,13,20,20,11,18,15,21,All
Jenne Ayers,,,,,,6,49,43,14,36,23,56,16,38,19,10,114,90,83,82,59,46,43,76,29,79,33,68,38,45,17,12,67,32,14,34,34,35,30,30,28,23,27,25,30,13,27,20,26,13,16,21,9,14,14,11,8,15,9,All
Allan Domb,,,,,,,8,27,14,50,27,25,34,35,25,9,68,59,57,52,71,48,40,64,32,44,46,36,33,35,24,24,28,32,17,29,38,39,35,39,27,41,37,24,22,17,15,18,21,10,13,18,17,15,13,13,12,17,5,All
Sherrie Cohen,,,,,,,,1,84,23,44,9,23,27,20,19,118,105,101,95,99,107,91,55,91,38,73,18,43,49,63,70,12,46,68,26,27,14,31,16,34,18,19,27,26,16,23,19,19,14,24,15,13,25,11,9,15,10,7,All
Ed Neilson,,,,,,,,,2,10,21,7,6,5,12,6,79,74,83,70,72,72,70,29,64,19,62,16,22,22,63,59,7,16,57,15,10,8,19,8,12,15,16,15,8,11,9,5,7,14,7,8,8,11,7,9,15,8,9,All
Thomas Wyatt,,,,,,,,,,5,11,24,28,34,12,8,59,46,31,45,46,30,23,55,20,41,28,36,30,30,15,14,34,27,10,32,33,34,17,38,22,30,36,16,19,15,13,18,18,6,13,16,8,10,18,10,12,5,6,All
Helen Gym,,,,,,,,,,,5,5,17,9,16,9,43,26,40,22,32,43,38,37,30,22,24,14,33,28,11,24,13,20,10,19,17,11,24,12,22,12,12,22,16,14,21,12,14,14,23,13,8,16,5,6,8,14,6,All
Wilson Alexander,,,,,,,,,,,,3,9,12,9,5,58,53,46,56,31,12,20,27,13,50,17,48,11,11,9,8,40,10,7,15,19,23,9,18,11,18,16,9,9,10,8,9,9,4,6,9,10,2,8,5,5,7,3,All
Paul Steinke,,,,,,,,,,,,,1,13,9,3,28,29,21,22,22,31,26,22,18,17,19,11,18,14,10,18,15,19,10,19,16,16,14,15,13,10,7,18,9,10,9,11,14,7,11,10,9,10,6,4,7,4,6,All
Carla M Cain,,,,,,,,,,,,,,2,8,10,41,27,21,31,36,15,25,43,12,27,26,22,12,21,8,2,17,14,7,18,13,31,14,27,18,26,22,15,13,7,13,11,9,6,11,5,4,9,6,3,8,9,5,All
Frank Rizzo,,,,,,,,,,,,,,,2,3,24,22,23,23,22,24,22,36,18,24,13,19,22,15,10,7,11,18,11,13,15,9,15,14,16,12,13,15,16,9,12,11,11,5,10,8,7,7,8,8,5,7,2,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,18,15,13,13,14,12,14,14,11,9,7,8,8,9,6,9,4,3,6,6,4,7,7,6,13,8,5,13,6,3,7,5,7,3,9,6,4,4,5,3,7,6,3,All
Tracy B Roman,,,,,,,,,,,,,,,,,8,212,204,207,147,133,128,89,112,101,108,75,55,59,86,86,79,42,86,44,38,44,40,44,41,41,38,30,31,20,31,31,27,12,24,26,19,20,14,14,14,19,14,All
Ken Powell,,,,,,,,,,,,,,,,,,8,191,185,137,112,103,75,97,96,108,91,52,37,91,85,69,50,77,45,36,37,26,42,30,40,32,20,28,20,21,21,17,13,12,19,13,13,19,12,14,10,5,All
Lyris Younge,,,,,,,,,,,,,,,,,,,2,176,144,139,107,65,111,72,105,66,41,47,84,89,60,33,84,27,30,28,33,23,23,27,26,25,17,21,15,16,15,22,14,12,9,7,8,10,14,11,14,All
Scott Diclaudio,,,,,,,,,,,,,,,,,,,,3,131,104,96,67,88,82,102,79,27,29,81,78,72,24,79,27,33,41,16,42,27,33,30,16,14,23,14,23,14,8,10,17,19,9,16,13,9,9,6,All
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,2,127,106,64,117,57,129,45,45,53,88,92,36,42,82,40,35,44,27,39,32,42,37,24,27,23,17,22,20,27,18,19,13,11,15,8,9,16,12,All
Kai Scott,,,,,,,,,,,,,,,,,,,,,,4,126,47,128,34,107,16,57,62,90,109,18,46,87,26,34,18,40,16,32,17,23,37,30,27,26,17,22,28,16,19,17,19,21,13,12,16,14,All
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,,,,,0,53,105,26,94,15,50,45,86,91,18,36,78,25,27,17,39,15,26,22,15,36,23,13,30,23,19,23,26,15,18,25,11,12,11,16,14,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,0,34,61,48,54,45,40,17,18,42,37,13,32,42,47,36,48,33,42,45,35,28,17,27,23,21,22,25,22,21,21,14,23,11,14,3,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,0,23,91,10,47,54,86,89,6,31,85,16,15,11,26,6,24,14,13,36,27,14,19,14,15,21,23,9,9,17,10,8,9,15,9,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,80,39,39,16,11,66,41,19,40,39,38,22,46,37,31,35,21,29,17,15,24,15,8,15,14,15,12,20,8,10,10,8,All
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,29,18,71,84,19,25,72,14,21,32,13,28,13,37,27,18,10,7,11,10,8,14,12,13,12,9,6,4,7,9,1,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,14,16,7,65,23,6,32,31,41,20,43,14,38,30,13,11,18,11,16,10,9,9,16,10,8,11,8,11,4,3,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,56,18,21,19,55,17,39,32,14,28,14,37,19,17,36,30,21,25,24,21,24,20,11,11,16,15,12,9,11,9,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,20,17,44,13,29,28,7,35,12,37,8,14,30,31,22,25,24,16,30,20,11,9,23,12,8,12,17,17,All
Michael Fanning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,85,6,18,82,19,13,10,15,9,11,16,8,8,11,15,6,12,7,12,6,9,8,12,12,6,9,4,10,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,15,75,14,13,9,11,9,13,12,8,13,4,15,4,8,7,16,6,10,10,7,8,7,4,5,11,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,3,26,21,29,15,31,11,24,22,10,12,12,11,15,7,2,8,13,7,2,8,5,5,5,6,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,30,35,22,27,12,27,16,19,25,24,15,22,22,17,12,19,18,17,13,15,8,5,14,6,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,10,13,8,6,19,10,9,9,7,6,5,8,8,7,7,6,10,2,3,7,6,4,5,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,34,16,24,22,29,16,18,12,21,11,18,23,20,10,9,17,9,11,14,7,13,6,9,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,23,24,22,14,24,10,18,24,17,27,13,10,15,22,19,8,15,7,7,7,9,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,40,8,44,33,14,9,14,10,13,7,10,15,12,14,3,8,6,6,5,7,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,20,13,13,29,30,12,22,13,19,4,20,8,10,15,13,6,13,14,9,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,37,30,12,9,16,10,16,15,2,8,14,8,6,13,2,3,6,2,All
