col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,City Commissioners - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Anthony Clark,Tracey L Gordon,Carol A Jenkins,Lisa M Deeley,Will Mega,Omar Sabir,Ken Powell,Mia Roberts Perez,Deborah Watson Stokes,Scott Diclaudio,Tracy B Roman,Daine Grey Jr,Kai Scott,Lyris Younge,Abbe Fletman,Jennifer Schultz,Leon Goodman,Betsy Wahl,Frances Fattah,Rainy Papademetriou,Anthony Kyriakakis,Edward William Louden Jr,Jodi Lobel,Jon Marshall,Lynne M Summers,Rania Major,Shanese Johnson,Stella Tsai,Lucretia Clemons,Marissa Brumbach,Sandjai Weaver,Sherman Toppin,Brian T Ortelere,Leon A King Ii,Stephanie M Sawyer,Tangie M Boston,Chris Mallios,Starr Marshall Cash,Vincent N Melchiorre,Thomas Martin,Vincent Furlong,James F Berardinelli,Michael Fanning,Wayne M D Bennett,Chris Mccabe,Joshua Hill,Vince Giusini,William J Ciancaglini,Franklin A Bennett Iii,1
Anthony Clark,4,4,4,2,2,1,10,4,7,7,8,3,5,8,4,6,7,2,4,5,5,5,2,6,3,3,5,2,3,3,3,4,2,3,3,1,1,3,3,2,3,2,1,1,1,2,2,1,0,1
Tracey L Gordon,,1,3,4,2,1,2,6,5,3,4,5,4,3,5,4,2,5,2,2,4,2,3,0,5,5,2,3,2,4,2,2,1,1,4,5,3,1,1,0,0,1,2,1,0,0,0,1,1,1
Carol A Jenkins,,,0,1,1,0,5,4,4,2,1,5,4,1,5,5,3,2,3,3,2,2,3,2,2,1,1,3,0,1,2,1,3,3,1,0,3,2,1,2,3,0,0,1,1,1,0,0,0,1
Lisa M Deeley,,,,0,2,0,3,6,3,3,4,4,3,2,5,3,1,5,2,4,4,1,5,2,2,3,0,4,4,4,2,0,1,1,2,1,2,0,1,1,0,0,1,1,0,0,0,0,0,1
Will Mega,,,,,0,1,4,4,2,4,2,2,3,2,1,2,4,1,4,2,3,2,2,1,1,2,1,2,2,2,2,1,2,1,0,1,1,1,0,2,1,0,2,2,0,1,0,0,1,1
Omar Sabir,,,,,,0,3,2,1,1,1,1,2,2,0,0,2,1,2,0,0,1,0,1,2,0,1,1,0,0,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ken Powell,,,,,,,0,6,4,8,6,6,7,8,5,6,7,2,4,5,3,5,4,6,3,3,2,2,1,1,5,2,4,6,1,1,3,3,2,2,2,1,0,1,1,0,1,0,0,1
Mia Roberts Perez,,,,,,,,0,7,4,6,7,5,4,3,5,4,7,6,3,2,1,4,4,5,5,3,4,4,4,5,2,0,3,3,1,4,3,3,3,2,0,1,1,0,0,1,0,0,1
