col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Deborah Watson Stokes,Lyris Younge,Tracy B Roman,Jon Marshall,Scott Diclaudio,Frances Fattah,Daine Grey Jr,Thomas Martin,Sherman Toppin,Edward William Louden Jr,Jennifer Schultz,Leon Goodman,Kai Scott,Mia Roberts Perez,Lucretia Clemons,Lynne M Summers,Stella Tsai,Ken Powell,Abbe Fletman,Stephanie M Sawyer,Jodi Lobel,Anthony Kyriakakis,Michael Fanning,Rainy Papademetriou,Rania Major,Shanese Johnson,Vincent N Melchiorre,Betsy Wahl,Leon A King Ii,Marissa Brumbach,Wayne M D Bennett,Brian T Ortelere,Chris Mccabe,Franklin A Bennett Iii,James F Berardinelli,Tangie M Boston,Vincent Furlong,Sandjai Weaver,Starr Marshall Cash,Chris Mallios,Joshua Hill,Vince Giusini,William J Ciancaglini,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Wilson Alexander,Paul Steinke,Ed Neilson,William K Greenlee,Helen Gym,Sherrie Cohen,Thomas Wyatt,Carla M Cain,Frank Rizzo,Marnie Aument Loughrey,1
Deborah Watson Stokes,11,14,13,5,6,11,9,7,13,4,12,6,11,11,7,9,11,3,7,6,4,4,1,3,4,6,6,4,5,2,2,1,2,3,4,3,1,3,3,0,1,0,1,18,23,21,20,12,9,5,9,6,7,13,6,7,7,5,1,1
Lyris Younge,,0,17,13,14,10,11,6,10,9,6,8,11,9,6,8,9,6,9,5,3,4,5,4,5,3,7,3,4,2,2,2,4,3,4,4,2,2,1,2,1,0,1,18,16,11,11,5,9,6,6,4,5,6,7,3,5,0,2,1
Tracy B Roman,,,0,9,11,8,7,7,6,8,7,8,7,5,3,9,4,6,3,5,1,3,4,2,6,5,3,4,3,1,3,2,0,3,4,4,1,3,1,1,0,0,0,12,11,8,6,7,7,6,3,3,2,6,5,5,5,1,2,1
Jon Marshall,,,,0,10,4,6,7,4,7,4,10,5,4,3,3,2,7,3,2,4,4,3,3,3,1,2,2,3,2,4,2,1,1,0,1,2,0,0,0,2,0,1,14,5,5,6,4,4,7,5,4,3,4,2,4,2,1,1,1
Scott Diclaudio,,,,,0,4,7,2,2,7,5,10,5,5,2,3,0,7,3,3,0,1,3,1,3,1,1,2,1,0,2,1,1,2,1,1,2,1,0,2,0,0,1,14,6,3,7,1,4,6,2,5,3,2,3,4,1,1,1,1
Frances Fattah,,,,,,0,5,7,5,4,4,4,8,7,5,7,5,4,5,4,6,2,3,0,3,4,3,4,2,0,3,0,4,3,2,1,2,3,2,1,0,1,0,8,12,9,12,10,7,5,7,2,4,2,2,4,3,3,1,1
Daine Grey Jr,,,,,,,1,7,3,2,6,4,8,6,3,4,4,6,3,4,2,4,5,4,3,4,2,2,4,2,3,3,1,3,2,1,3,1,0,2,1,1,1,10,8,3,5,5,5,3,4,3,4,6,5,5,3,0,0,1
Thomas Martin,,,,,,,,0,4,5,3,3,4,3,7,6,3,3,1,2,4,5,4,5,4,4,0,2,4,6,4,2,0,3,3,2,3,1,0,0,1,1,0,10,6,9,7,9,3,7,4,2,6,2,2,2,2,1,1,1
Sherman Toppin,,,,,,,,,0,1,4,3,5,5,4,4,6,1,8,1,3,2,0,2,2,2,6,1,3,0,1,0,3,0,3,2,1,0,0,0,1,0,1,7,9,14,12,3,3,3,5,1,4,4,3,1,1,1,0,1
Edward William Louden Jr,,,,,,,,,,1,0,10,1,1,1,2,1,4,1,0,2,1,2,0,1,2,0,1,2,0,2,1,0,4,2,2,0,1,0,0,0,1,0,8,4,1,0,5,6,8,2,2,3,0,0,1,1,2,2,1
