col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Allan Domb,Derek S Green,Frank Rizzo,William K Greenlee,Sherrie Cohen,Ed Neilson,Paul Steinke,Thomas Wyatt,Jenne Ayers,Helen Gym,Blondell Reynolds Brown,Isaiah Thomas,W Wilson Goode Jr,Carla M Cain,Wilson Alexander,Marnie Aument Loughrey,Scott Diclaudio,Tracy B Roman,Michael Fanning,Ken Powell,Jennifer Schultz,Vincent N Melchiorre,Daine Grey Jr,Jon Marshall,James F Berardinelli,Vincent Furlong,Lynne M Summers,Abbe Fletman,Chris Mallios,Lyris Younge,Leon Goodman,Stephanie M Sawyer,Kai Scott,Mia Roberts Perez,Edward William Louden Jr,Thomas Martin,Rainy Papademetriou,Anthony Kyriakakis,Brian T Ortelere,Vince Giusini,Deborah Watson Stokes,Betsy Wahl,Chris Mccabe,Marissa Brumbach,Stella Tsai,Wayne M D Bennett,Frances Fattah,Rania Major,Leon A King Ii,William J Ciancaglini,Joshua Hill,Lucretia Clemons,Shanese Johnson,Franklin A Bennett Iii,Sandjai Weaver,Sherman Toppin,Jodi Lobel,Starr Marshall Cash,Tangie M Boston,All
Allan Domb,41,211,223,190,193,141,200,159,116,120,83,63,55,77,64,60,239,165,184,162,174,152,118,160,152,160,124,114,139,95,116,100,83,89,99,88,106,88,110,98,66,80,81,61,72,81,72,69,44,69,59,50,44,49,37,44,47,29,29,All
Derek S Green,,15,94,181,145,75,98,129,114,68,79,79,66,51,95,45,247,171,162,172,122,129,104,181,103,97,83,95,115,114,122,51,91,68,123,94,76,68,89,72,63,51,68,55,55,82,87,60,64,40,55,60,46,53,46,42,27,30,31,All
Frank Rizzo,,,24,116,116,105,133,99,96,81,67,59,64,48,40,59,157,128,124,115,137,97,79,72,116,108,102,65,70,66,81,100,64,73,75,74,68,90,58,83,73,77,89,61,58,61,48,39,45,76,50,50,47,51,32,30,41,22,29,All
William K Greenlee,,,,2,160,156,95,64,40,67,130,45,85,23,34,50,189,130,197,127,84,164,82,111,89,87,75,90,148,85,67,93,102,85,65,85,59,65,64,78,57,52,64,66,49,54,47,41,42,40,44,51,36,41,24,34,26,21,25,All
Sherrie Cohen,,,,,1,110,104,78,97,100,96,49,68,65,29,41,169,150,160,119,135,136,104,119,68,84,105,99,138,83,89,114,110,103,61,70,68,69,48,64,79,84,54,75,82,54,63,58,52,47,48,48,55,30,44,35,46,36,26,All
Ed Neilson,,,,,,16,82,70,38,67,108,53,72,22,16,38,126,109,179,124,80,130,88,45,82,77,66,86,97,87,41,89,91,78,44,76,55,52,42,56,40,52,73,65,36,35,29,31,32,48,30,25,21,22,19,25,21,21,14,All
Paul Steinke,,,,,,,3,131,68,98,37,58,29,35,39,32,128,107,110,97,104,81,65,75,89,92,87,88,80,47,72,73,71,54,71,73,59,86,60,79,42,55,68,39,65,57,38,42,37,63,45,33,26,38,23,36,35,15,21,All
Thomas Wyatt,,,,,,,,4,80,64,40,56,28,52,56,37,114,101,68,108,117,65,102,77,108,109,61,90,55,66,74,58,68,47,84,69,82,71,73,67,43,46,51,41,53,55,41,39,49,47,48,35,26,38,36,31,25,20,17,All
Jenne Ayers,,,,,,,,,3,72,48,27,26,93,70,63,127,162,65,98,142,41,80,86,76,70,90,56,36,77,92,69,48,56,84,51,73,54,67,42,66,58,42,60,64,49,51,41,40,35,39,36,34,21,34,29,37,25,20,All
Helen Gym,,,,,,,,,,11,49,52,42,55,22,56,78,106,74,74,102,52,66,41,65,59,83,70,57,48,50,73,74,76,46,40,62,50,39,42,59,74,41,67,82,39,39,53,36,36,34,48,33,26,27,31,36,28,14,All
Blondell Reynolds Brown,,,,,,,,,,,3,59,91,30,23,28,83,102,89,91,72,60,86,41,54,55,57,57,57,72,47,77,75,76,52,58,54,43,40,41,66,38,34,54,38,54,51,49,43,27,34,34,41,36,28,32,25,27,30,All
Isaiah Thomas,,,,,,,,,,,,6,66,13,17,10,54,55,70,56,61,31,58,34,39,44,45,38,38,50,46,46,62,45,31,48,35,26,27,31,49,29,34,27,34,34,52,34,42,24,34,29,30,25,32,31,17,28,18,All
W Wilson Goode Jr,,,,,,,,,,,,,2,13,22,13,71,76,74,70,53,59,61,34,39,36,53,47,53,68,45,62,67,66,31,37,32,21,27,26,49,26,35,33,28,34,49,25,41,22,23,31,37,23,24,27,14,24,18,All
Carla M Cain,,,,,,,,,,,,,,0,21,49,52,80,37,47,97,15,56,32,50,54,62,53,15,42,37,52,38,46,38,27,45,29,40,25,58,42,22,41,44,41,30,38,21,18,22,33,30,15,23,17,24,17,14,All
Wilson Alexander,,,,,,,,,,,,,,,3,18,70,72,29,61,51,17,48,62,44,47,40,28,14,44,63,24,23,28,61,31,33,22,45,24,28,16,32,14,20,29,30,22,29,15,23,16,20,20,18,23,16,9,11,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,59,67,43,50,64,39,39,28,45,38,54,31,21,38,23,38,27,39,36,31,31,26,27,32,32,43,33,44,47,33,31,38,18,27,21,28,27,28,15,18,25,16,19,All
Scott Diclaudio,,,,,,,,,,,,,,,,,5,233,215,212,145,197,126,187,144,123,90,126,155,157,131,95,95,92,128,86,93,76,102,93,45,45,67,57,61,67,57,52,47,68,49,31,30,57,32,44,33,23,27,All
Tracy B Roman,,,,,,,,,,,,,,,,,,5,123,205,161,94,154,115,100,99,110,128,85,178,125,129,110,114,130,83,98,57,85,64,80,69,52,84,79,61,72,60,49,38,46,50,52,29,39,39,45,29,26,All
Michael Fanning,,,,,,,,,,,,,,,,,,,9,138,76,220,106,113,77,77,74,103,176,91,66,114,107,108,40,84,54,46,54,56,57,46,73,58,39,54,45,46,24,52,41,26,16,46,27,30,25,32,27,All
Ken Powell,,,,,,,,,,,,,,,,,,,,2,110,104,137,113,97,90,70,121,91,160,134,91,115,93,124,88,89,60,85,48,45,41,53,49,45,69,48,44,46,33,41,39,30,39,26,31,24,17,18,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,7,59,114,92,134,119,148,104,49,85,101,100,72,81,99,74,93,69,101,73,89,95,63,90,91,70,65,67,51,50,59,57,49,43,35,41,50,32,25,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,3,80,96,69,57,48,94,156,68,34,82,83,81,36,53,48,52,37,71,23,41,56,59,29,26,25,19,20,54,22,24,20,29,25,11,23,12,13,All
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,,,0,55,84,77,67,149,82,114,75,100,105,89,78,73,106,42,90,44,54,45,37,48,50,39,39,42,49,20,32,27,31,26,31,33,17,20,18,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,1,67,70,61,38,84,87,115,39,33,30,96,61,44,42,61,44,32,30,32,25,35,58,42,34,38,24,42,24,17,28,27,28,24,19,18,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,3,119,65,82,51,59,75,53,48,51,79,63,101,69,106,84,33,47,59,30,44,51,44,31,36,66,50,29,23,40,35,25,29,16,17,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,4,77,64,35,59,77,51,53,44,76,67,72,67,71,70,49,43,57,40,38,60,43,43,48,51,47,25,19,36,24,32,33,16,17,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,1,56,34,46,68,101,58,69,61,74,48,49,40,60,84,75,53,70,72,51,64,64,41,44,56,61,47,38,20,37,42,27,23,All
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,112,101,51,92,114,92,40,63,90,59,69,56,36,49,39,53,60,35,30,21,26,23,23,30,21,20,28,22,23,16,15,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,71,31,93,111,91,24,37,45,54,41,44,37,47,47,32,40,24,22,20,23,28,20,22,16,17,15,17,21,20,13,All
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,83,72,82,86,83,48,63,46,63,38,38,36,36,42,37,46,40,32,30,20,22,29,27,18,23,29,19,22,14,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,57,45,96,60,53,38,65,38,45,33,34,28,27,56,42,41,48,25,44,27,34,26,31,38,28,21,16,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,91,109,38,47,39,32,24,39,90,74,56,68,53,41,35,38,31,39,36,46,35,17,21,25,39,33,24,All
Kai Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,105,37,53,51,59,30,40,53,50,40,48,43,41,49,40,37,25,33,51,39,29,33,26,34,23,14,All
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,41,44,46,28,37,66,67,44,56,64,34,55,43,22,28,30,37,34,15,25,25,34,21,21,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,56,55,44,66,41,41,26,36,21,30,56,33,26,46,34,34,32,28,35,25,32,16,15,16,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,53,39,43,64,37,28,46,39,34,58,46,28,37,40,45,29,29,26,19,41,21,16,12,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,58,84,45,26,35,29,46,43,29,29,29,30,29,24,33,24,18,23,21,15,22,10,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,49,66,35,48,44,39,52,45,27,22,44,48,31,35,17,29,20,33,28,6,6,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,23,19,30,20,25,52,22,29,29,26,22,18,13,29,17,24,12,10,15,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,45,50,44,37,51,37,21,31,59,39,29,22,25,24,25,18,12,14,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,62,44,56,50,33,58,46,41,25,34,41,39,25,27,26,38,36,31,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,70,71,26,45,34,18,29,25,42,35,20,23,16,36,22,23,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,40,27,30,34,18,23,56,30,23,23,24,17,20,18,25,12,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,24,41,35,24,17,22,50,30,16,17,14,33,23,22,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,49,43,33,22,29,54,38,23,30,23,28,23,21,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,41,44,50,26,35,23,24,34,23,33,15,12,17,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,45,18,34,31,41,21,36,28,23,30,27,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,19,26,37,34,31,35,20,23,12,26,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,26,35,33,19,24,38,12,19,14,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,16,15,24,18,13,19,12,13,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,32,9,21,16,17,7,All
