col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Mayor - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Jim Kenney,Anthony Hardy Williams,Nelson Diaz,Lynne M Abraham,T Milton Street Sr,Doug Oliver,Kai Scott,Scott Diclaudio,Tracy B Roman,Ken Powell,Mia Roberts Perez,Abbe Fletman,Brian T Ortelere,Michael Fanning,Jennifer Schultz,Lyris Younge,Daine Grey Jr,Rainy Papademetriou,Edward William Louden Jr,Jon Marshall,Lynne M Summers,Leon Goodman,Chris Mallios,Vincent Furlong,Betsy Wahl,Deborah Watson Stokes,James F Berardinelli,Stephanie M Sawyer,Thomas Martin,Wayne M D Bennett,Rania Major,Vincent N Melchiorre,Anthony Kyriakakis,Sandjai Weaver,Stella Tsai,Frances Fattah,Leon A King Ii,Vince Giusini,William J Ciancaglini,Jodi Lobel,Lucretia Clemons,Shanese Johnson,Chris Mccabe,Tangie M Boston,Franklin A Bennett Iii,Joshua Hill,Marissa Brumbach,Sherman Toppin,Starr Marshall Cash,1
Jim Kenney,10,0,0,0,0,0,14,11,10,11,11,12,15,11,12,9,10,12,7,7,8,6,4,6,6,4,6,3,6,5,6,2,3,4,4,2,3,4,2,2,2,1,0,2,2,1,0,0,1,1
Anthony Hardy Williams,,2,0,0,0,0,4,4,5,5,5,1,1,3,1,3,2,1,4,2,2,1,1,1,2,3,1,1,0,1,1,1,2,2,2,2,2,0,2,2,1,1,2,0,0,0,1,1,1,1
Nelson Diaz,,,4,0,0,0,0,1,0,1,1,1,1,0,2,2,2,2,0,1,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lynne M Abraham,,,,3,0,0,2,5,5,2,3,4,0,3,2,2,2,0,1,3,2,2,4,0,0,1,0,2,2,2,0,4,0,0,0,1,0,1,1,0,0,2,1,0,0,0,1,0,0,1
T Milton Street Sr,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Doug Oliver,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kai Scott,,,,,,,0,7,7,9,16,10,9,13,4,10,9,7,4,7,6,2,5,2,5,3,2,2,2,3,4,5,5,5,4,2,4,2,2,2,2,1,2,1,0,2,0,2,2,1
Scott Diclaudio,,,,,,,,0,13,10,8,10,5,8,6,12,8,4,7,11,5,9,7,4,2,3,4,3,4,4,2,7,0,2,0,2,1,3,2,0,2,2,1,0,2,1,1,0,1,1
