col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,Sheriff - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Jewell Williams,Tracy B Roman,Michael Fanning,Ken Powell,Kai Scott,Mia Roberts Perez,Scott Diclaudio,Jennifer Schultz,Lyris Younge,Brian T Ortelere,Leon Goodman,Rainy Papademetriou,Chris Mallios,Daine Grey Jr,Vincent N Melchiorre,Lynne M Summers,Stephanie M Sawyer,Thomas Martin,Abbe Fletman,Deborah Watson Stokes,Jon Marshall,Frances Fattah,Edward William Louden Jr,Vincent Furlong,James F Berardinelli,Wayne M D Bennett,Shanese Johnson,Leon A King Ii,Betsy Wahl,Lucretia Clemons,Marissa Brumbach,Stella Tsai,Joshua Hill,Anthony Kyriakakis,Jodi Lobel,Sherman Toppin,Rania Major,Chris Mccabe,Vince Giusini,Sandjai Weaver,Franklin A Bennett Iii,William J Ciancaglini,Starr Marshall Cash,Tangie M Boston,All
Jewell Williams,183,632,408,532,468,473,489,446,448,344,444,352,275,372,263,369,333,324,281,329,312,319,302,255,246,252,264,257,210,209,194,194,200,171,159,194,189,162,178,164,132,126,104,99,All
Tracy B Roman,,24,166,320,163,206,312,257,297,172,245,183,124,206,124,182,151,181,189,149,180,131,199,133,113,117,135,102,117,101,102,102,76,80,76,71,92,68,65,84,54,58,42,46,All
Michael Fanning,,,36,177,234,254,148,81,143,198,86,219,342,110,329,78,125,133,103,84,49,83,55,64,50,69,62,67,40,50,48,44,62,54,45,54,49,67,38,41,40,39,38,25,All
Ken Powell,,,,14,155,168,288,177,290,176,216,192,124,196,126,122,110,168,168,99,212,101,182,117,110,113,100,90,61,67,48,48,99,69,55,73,55,46,61,61,43,43,30,27,All
Kai Scott,,,,,12,302,108,121,188,189,126,217,140,153,105,120,163,95,128,147,67,155,49,67,52,91,116,121,80,93,87,62,73,76,60,84,77,72,58,72,38,34,57,44,All
Mia Roberts Perez,,,,,,10,129,170,162,185,114,204,133,149,112,150,169,105,127,154,75,134,65,78,68,81,106,106,100,92,110,105,84,75,78,69,72,90,56,63,35,46,51,36,All
Scott Diclaudio,,,,,,,25,141,258,180,194,173,112,159,126,91,74,131,154,67,187,68,178,103,124,83,61,88,48,47,43,40,61,65,50,67,51,40,78,53,54,64,17,18,All
Jennifer Schultz,,,,,,,,20,136,143,157,132,78,178,63,182,141,109,154,137,124,111,114,147,141,105,105,76,111,96,114,103,78,79,73,70,80,70,70,64,54,49,37,27,All
