col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Ed Neilson,Allan Domb,Frank Rizzo,William K Greenlee,Derek S Green,Paul Steinke,Jenne Ayers,Sherrie Cohen,Thomas Wyatt,W Wilson Goode Jr,Carla M Cain,Helen Gym,Isaiah Thomas,Blondell Reynolds Brown,Marnie Aument Loughrey,Wilson Alexander,Michael Fanning,Jennifer Schultz,Tracy B Roman,Vincent N Melchiorre,Mia Roberts Perez,Stephanie M Sawyer,James F Berardinelli,Marissa Brumbach,Daine Grey Jr,Lynne M Summers,Lyris Younge,Stella Tsai,Vince Giusini,Vincent Furlong,Abbe Fletman,Leon Goodman,Anthony Kyriakakis,Betsy Wahl,Brian T Ortelere,Chris Mccabe,Deborah Watson Stokes,Scott Diclaudio,Frances Fattah,Ken Powell,Lucretia Clemons,Rainy Papademetriou,Kai Scott,Rania Major,Thomas Martin,Chris Mallios,Edward William Louden Jr,Jodi Lobel,Shanese Johnson,Starr Marshall Cash,Sherman Toppin,Wayne M D Bennett,Franklin A Bennett Iii,Sandjai Weaver,William J Ciancaglini,Jon Marshall,Joshua Hill,Leon A King Ii,Tangie M Boston,1
Ed Neilson,1,12,10,13,9,6,3,8,5,7,5,7,3,5,0,1,21,11,8,11,7,7,4,9,6,5,8,6,7,7,7,4,6,6,4,5,4,3,5,7,5,4,6,4,3,3,2,2,2,6,4,3,1,2,2,1,0,1,0,1
Allan Domb,,2,9,8,8,11,3,3,8,3,3,6,3,1,2,2,7,6,3,5,3,1,6,1,4,4,4,2,7,7,3,1,5,3,5,4,1,4,1,2,1,3,1,1,3,1,4,1,1,0,2,1,1,1,2,0,1,0,0,1
Frank Rizzo,,,1,5,2,4,4,7,2,5,3,3,3,1,3,2,6,9,8,5,6,5,6,3,2,4,4,5,7,7,2,2,3,3,1,5,2,3,3,2,4,3,1,2,6,1,2,2,1,2,0,3,2,3,2,1,2,1,0,1
William K Greenlee,,,,0,4,3,4,6,4,6,3,4,2,5,1,0,8,6,3,4,7,4,4,8,5,4,5,7,6,4,3,2,5,4,1,6,4,4,3,6,5,3,6,3,4,4,3,1,2,3,2,2,0,1,1,1,1,0,1,1
Derek S Green,,,,,1,5,3,3,5,3,3,2,3,3,1,2,4,4,3,5,6,2,5,3,4,1,5,2,3,2,5,7,6,4,5,3,3,4,2,4,1,3,3,3,2,3,4,2,2,2,2,2,1,0,2,1,2,0,0,1
Paul Steinke,,,,,,0,2,3,10,3,3,5,5,1,1,1,2,7,5,2,4,6,4,4,3,4,3,3,6,5,4,0,4,5,4,2,2,3,2,3,0,2,1,2,3,0,3,3,2,0,1,2,1,1,0,0,1,1,0,1
Jenne Ayers,,,,,,,0,7,2,3,8,0,2,2,5,1,3,5,8,2,3,6,4,5,6,4,2,6,2,1,4,3,4,3,3,1,4,3,3,1,3,1,1,3,0,1,3,2,3,2,2,2,1,1,0,1,0,0,1,1
Sherrie Cohen,,,,,,,,1,2,4,8,3,0,2,3,0,4,6,9,4,5,5,1,7,4,4,4,7,4,3,6,3,6,6,3,2,3,4,3,4,3,3,3,2,2,3,3,2,2,2,0,1,0,1,1,0,0,1,0,1
Thomas Wyatt,,,,,,,,,1,2,2,2,5,1,1,0,1,4,2,4,3,5,2,3,4,2,2,3,2,2,4,1,2,3,2,3,3,3,2,1,1,4,1,2,2,0,2,2,3,1,1,0,0,1,1,0,0,0,0,1
W Wilson Goode Jr,,,,,,,,,,1,2,4,5,6,0,2,6,6,5,4,6,5,2,4,4,3,7,4,3,1,2,2,2,4,0,3,2,0,3,2,4,1,2,4,2,1,0,1,1,2,1,1,1,2,2,0,0,0,0,1
Carla M Cain,,,,,,,,,,,0,2,0,2,4,0,4,5,7,3,3,5,1,5,6,5,3,5,3,2,5,2,4,3,4,2,3,1,4,2,2,1,2,3,1,1,2,2,4,2,1,2,1,1,2,0,0,1,1,1
Helen Gym,,,,,,,,,,,,0,3,3,0,0,1,3,3,1,3,2,2,3,1,2,3,3,3,3,3,1,2,1,1,1,0,0,2,1,1,1,2,1,1,2,0,1,1,0,0,1,0,2,2,0,0,1,0,1
Isaiah Thomas,,,,,,,,,,,,,1,2,1,1,4,3,2,2,4,5,1,3,2,1,2,2,3,1,1,0,2,1,1,1,2,0,1,1,3,3,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1
Blondell Reynolds Brown,,,,,,,,,,,,,,0,1,1,2,3,2,1,4,2,1,1,4,2,3,3,2,0,0,3,1,1,1,2,2,0,3,0,2,0,3,3,0,1,0,0,2,2,1,1,0,0,1,0,0,0,1,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,0,0,1,2,3,2,2,1,1,1,1,3,0,3,1,1,1,0,1,1,2,2,1,0,2,0,0,1,1,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1
Wilson Alexander,,,,,,,,,,,,,,,,0,1,3,3,0,1,2,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
Michael Fanning,,,,,,,,,,,,,,,,,0,5,5,12,4,5,3,5,4,4,5,4,6,4,3,3,4,3,3,4,3,0,2,3,5,3,2,2,2,2,2,2,0,3,2,1,1,2,2,0,0,0,0,1
Jennifer Schultz,,,,,,,,,,,,,,,,,,0,10,3,8,9,4,8,3,7,6,9,6,3,5,4,4,5,3,2,6,2,5,3,2,2,2,6,4,0,3,3,2,4,1,2,1,2,1,1,0,0,1,1
Tracy B Roman,,,,,,,,,,,,,,,,,,,1,4,7,7,1,7,5,8,5,7,4,3,6,4,5,4,3,2,2,4,7,2,2,3,2,4,4,2,2,3,2,1,1,2,2,2,0,0,0,1,1,1
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,0,4,1,4,2,2,2,4,3,5,2,3,3,5,3,3,4,1,1,3,3,2,4,2,2,2,2,1,2,1,1,1,0,1,1,3,0,0,0,0,1
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,,,0,6,3,5,4,2,7,7,6,1,3,3,6,5,2,3,4,2,5,2,2,4,4,5,3,5,2,2,2,2,1,2,1,2,0,0,1,0,1,1
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,0,3,9,7,5,6,7,3,3,5,1,3,5,3,1,9,1,3,2,6,2,1,3,3,1,3,3,2,5,3,3,2,2,0,1,0,2,0,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,1,3,5,4,0,3,3,0,2,4,4,3,2,2,2,2,0,0,3,3,2,4,0,2,1,2,1,1,1,2,3,1,0,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,4,9,4,4,5,2,5,6,2,0,5,2,4,4,4,3,3,2,1,2,3,3,2,3,1,2,0,2,0,1,0,1,0,1
Daine Grey Jr,,,,,,,,,,,,,,,,,,,,,,,,,0,3,5,4,1,4,4,2,3,3,3,2,4,1,4,1,3,1,2,3,0,2,2,2,3,3,3,1,1,1,0,0,0,1,1,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,3,4,0,2,3,3,2,2,0,4,1,3,1,1,4,3,0,0,1,1,0,2,1,3,0,1,0,0,2,1,1
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,5,4,4,6,2,3,4,1,3,3,4,1,2,3,2,2,1,1,1,3,3,1,2,1,2,0,0,2,0,1
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,4,2,5,6,3,2,5,2,5,2,3,3,3,3,2,2,2,3,3,2,1,1,0,2,1,1,0,0,1,1
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,1,6,3,3,2,1,2,2,3,4,4,2,0,4,2,4,1,0,1,0,2,0,2,1,0,1,0,0,1
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,2,3,5,0,3,2,4,3,2,1,0,3,0,3,1,0,1,1,2,1,2,2,1,2,2,0,1
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,5,4,2,3,3,3,3,2,2,2,4,1,1,2,3,1,1,3,0,2,2,1,0,0,2,0,1
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,2,2,4,3,1,0,0,1,2,1,3,1,2,1,2,0,1,1,0,2,1,2,1,0,1
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,4,1,2,4,4,4,2,4,3,1,1,2,5,1,1,0,1,1,1,0,0,0,1,1,0,1
