col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Christian Dicicco,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Matthew Perks,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,Marissa Brumbach,Ken Powell,Scott Diclaudio,Vincent N Melchiorre,Vince Giusini,Tracy B Roman,Michael Fanning,Rainy Papademetriou,Thomas Martin,Abbe Fletman,Brian T Ortelere,William J Ciancaglini,Jon Marshall,James F Berardinelli,Jennifer Schultz,Lyris Younge,Chris Mallios,Mia Roberts Perez,Betsy Wahl,Stella Tsai,Vincent Furlong,Stephanie M Sawyer,Kai Scott,Anthony Kyriakakis,Daine Grey Jr,Leon Goodman,Lynne M Summers,Chris Mccabe,Deborah Watson Stokes,Edward William Louden Jr,Lucretia Clemons,Jodi Lobel,Leon A King Ii,Rania Major,Wayne M D Bennett,Frances Fattah,Joshua Hill,Shanese Johnson,Sandjai Weaver,Franklin A Bennett Iii,Sherman Toppin,Tangie M Boston,Starr Marshall Cash,All
Christian Dicicco,277,997,802,404,205,237,130,131,"1,200","1,118","1,207","1,138","1,048","1,030","1,059",863,"1,039",673,732,691,698,491,359,464,349,285,264,256,306,270,163,258,183,214,284,214,189,170,145,136,128,160,134,164,121,124,99,89,75,64,51,All
Christine Hope,,53,687,313,144,163,88,66,612,731,732,627,442,516,629,594,496,547,496,260,307,287,385,456,308,304,268,247,243,269,185,181,230,149,249,148,188,116,166,132,99,147,118,121,104,113,94,65,68,61,50,All
Sharon Williams Losier,,,19,292,136,85,43,48,469,782,827,571,368,420,604,660,550,637,589,140,225,163,254,401,173,237,192,201,125,264,141,121,166,167,197,107,163,145,129,91,90,127,85,105,66,100,78,46,65,51,42,All
Joffie C Pittman,,,,15,260,70,226,28,318,455,407,294,252,403,280,348,247,375,248,124,272,186,216,233,331,254,175,207,99,178,276,178,165,167,104,97,116,106,99,92,98,71,92,72,73,55,55,35,55,34,34,All
Matthew Perks,,,,,3,72,170,33,163,195,208,121,144,186,84,177,75,217,134,99,134,196,195,101,186,159,130,142,130,94,174,149,110,153,83,78,92,108,79,97,68,59,70,57,78,36,44,36,38,23,20,All
Gary S Silver,,,,,,9,41,45,166,123,164,124,156,125,94,121,94,125,93,156,91,179,149,59,65,85,69,78,140,75,61,81,111,86,93,61,53,56,39,56,58,52,46,55,46,47,35,33,32,25,20,All
Daniel R Sulman,,,,,,,2,30,126,116,80,86,92,84,72,156,47,214,103,77,37,109,135,34,194,155,120,129,53,99,186,135,84,54,59,64,72,33,53,73,61,31,61,31,57,22,28,21,24,21,17,All
Franklin A Bennett Iii,,,,,,,,1,91,52,93,53,75,64,36,48,37,36,28,70,47,75,65,34,32,45,37,42,55,40,26,40,32,40,47,49,46,32,32,36,29,35,47,32,36,26,38,43,23,18,17,All
Marissa Brumbach,,,,,,,,,222,642,598,687,657,509,584,432,423,413,334,426,271,286,262,158,225,240,249,201,179,283,136,173,105,116,190,144,164,92,134,121,64,111,82,91,66,100,73,60,27,50,35,All
Ken Powell,,,,,,,,,,66,"1,045",765,499,524,885,763,773,687,684,188,372,223,189,493,312,229,155,132,152,205,150,138,178,208,106,99,84,179,60,75,90,54,96,60,67,50,45,47,49,30,21,All
Scott Diclaudio,,,,,,,,,,,48,837,652,584,730,728,686,628,687,361,399,409,222,478,268,160,139,143,231,180,87,146,156,210,146,124,80,185,70,68,77,83,109,76,69,51,58,68,52,43,26,All
Vincent N Melchiorre,,,,,,,,,,,,34,681,450,862,591,667,552,544,381,287,288,101,334,330,164,140,104,139,177,94,117,72,71,69,121,55,54,52,60,39,41,63,44,59,34,29,35,17,18,21,All
Vince Giusini,,,,,,,,,,,,,40,386,424,375,428,324,327,467,218,378,175,141,201,139,153,130,217,91,96,175,82,115,118,131,70,96,77,76,54,63,94,58,65,49,52,49,34,18,23,All
Tracy B Roman,,,,,,,,,,,,,,14,465,365,470,246,264,243,698,226,278,316,227,172,158,179,166,169,101,111,165,200,203,83,147,174,116,94,77,126,76,99,67,90,76,57,47,46,34,All
Michael Fanning,,,,,,,,,,,,,,,30,651,806,542,585,175,337,115,90,369,329,157,114,74,88,192,109,101,84,73,85,106,65,55,47,44,43,48,50,51,49,39,25,37,33,26,28,All
Rainy Papademetriou,,,,,,,,,,,,,,,,9,663,802,788,131,216,231,233,313,244,252,187,223,145,209,198,198,193,112,101,81,83,90,102,87,94,79,56,67,67,46,66,23,38,22,24,All
Thomas Martin,,,,,,,,,,,,,,,,,10,514,587,134,336,101,102,309,204,80,83,56,91,136,54,63,74,87,93,81,50,55,43,39,51,48,65,50,59,47,37,35,47,22,22,All
Abbe Fletman,,,,,,,,,,,,,,,,,,5,657,110,97,198,241,280,324,264,204,226,110,232,266,193,178,90,102,99,100,66,107,107,88,69,59,45,74,56,48,25,37,20,20,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,10,127,185,222,165,245,153,129,96,105,119,156,94,129,151,93,59,74,46,81,42,31,65,35,53,35,46,16,23,32,35,18,17,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,81,117,305,146,71,108,92,106,114,163,79,68,123,54,83,108,131,67,82,45,58,31,46,49,53,49,35,25,39,24,16,24,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,8,142,137,263,160,62,50,55,118,75,42,73,97,177,74,56,56,145,38,38,47,38,68,48,48,24,42,32,43,23,10,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,27,265,94,135,144,97,143,229,95,108,172,164,150,104,109,75,114,61,82,68,61,81,58,75,41,43,43,39,19,23,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,12,123,124,240,220,226,196,170,162,147,183,161,207,106,164,123,122,131,95,116,97,88,95,100,72,39,57,38,36,All
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,4,192,142,89,67,67,70,99,70,110,135,78,56,67,135,62,32,49,51,47,44,28,48,34,21,43,26,27,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,3,232,172,161,61,125,242,151,120,62,50,104,93,26,63,90,72,30,54,29,51,15,23,22,28,15,26,All
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,,,,,,,,16,258,247,94,190,260,163,158,78,148,96,151,45,146,117,95,91,78,97,83,81,60,32,50,33,34,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,17,198,73,163,173,118,100,58,136,91,139,36,121,119,69,88,47,71,63,76,51,25,23,40,29,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,89,175,203,169,110,60,122,74,140,42,130,104,77,105,53,85,69,79,59,26,35,35,27,All
