col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,Tracy B Roman,Kai Scott,Ken Powell,Lynne M Summers,Abbe Fletman,Jennifer Schultz,Daine Grey Jr,Scott Diclaudio,Stephanie M Sawyer,Mia Roberts Perez,Betsy Wahl,Jon Marshall,Lyris Younge,Frances Fattah,Leon Goodman,Stella Tsai,Brian T Ortelere,Chris Mallios,Rainy Papademetriou,Lucretia Clemons,Deborah Watson Stokes,Shanese Johnson,Vincent N Melchiorre,Edward William Louden Jr,Rania Major,Thomas Martin,Anthony Kyriakakis,Joshua Hill,Marissa Brumbach,Wayne M D Bennett,Chris Mccabe,Leon A King Ii,Michael Fanning,Jodi Lobel,Vincent Furlong,Vince Giusini,William J Ciancaglini,Franklin A Bennett Iii,James F Berardinelli,Sandjai Weaver,Sherman Toppin,Starr Marshall Cash,Tangie M Boston,1
Sharon Williams Losier,2,22,24,11,8,2,0,0,28,15,18,18,12,11,12,14,14,16,10,12,15,13,10,11,9,9,9,7,6,6,8,11,11,6,3,5,5,6,5,4,4,5,3,4,3,5,3,4,2,2,1,1
Christine Hope,,1,15,5,14,8,5,3,19,22,16,19,19,17,14,13,19,19,19,7,8,16,9,13,12,11,11,10,12,11,11,7,6,8,8,6,9,5,7,2,9,6,9,5,3,5,4,4,3,4,4,1
Joffie C Pittman,,,0,10,6,8,1,3,17,18,15,12,15,7,10,16,12,15,10,11,15,11,9,12,10,13,10,6,5,4,8,10,6,7,6,5,4,9,7,6,4,4,1,5,1,3,4,3,2,2,1,1
Matthew Perks,,,,2,7,7,4,1,8,10,13,5,8,7,5,11,5,6,3,9,7,6,10,5,6,8,4,4,5,1,4,6,6,2,4,6,4,3,1,4,3,4,3,1,4,2,2,1,3,1,0,1
Christian Dicicco,,,,,0,2,4,5,8,10,9,9,8,7,5,9,3,4,9,7,6,8,7,8,6,2,6,8,6,10,5,5,5,7,3,4,3,3,2,5,5,1,8,6,7,6,3,2,1,5,3,1
Daniel R Sulman,,,,,,0,2,2,2,10,3,6,7,8,5,2,9,6,9,1,3,4,2,5,1,5,3,4,7,4,2,0,3,0,6,4,6,2,1,3,2,3,2,1,2,0,1,0,2,2,3,1
Gary S Silver,,,,,,,0,0,1,4,4,1,4,3,5,3,4,2,1,2,2,3,2,0,3,2,1,2,2,2,1,1,2,1,1,0,0,0,0,2,1,1,3,1,2,1,0,1,1,0,1,1
Franklin A Bennett Iii,,,,,,,,0,2,1,1,3,0,1,1,2,1,1,4,0,0,2,3,2,1,1,1,3,2,3,0,0,1,1,1,2,0,2,1,2,2,0,2,2,3,2,2,1,0,2,2,1
Tracy B Roman,,,,,,,,,2,7,17,14,10,13,6,17,11,8,10,13,16,7,10,6,4,3,3,7,6,9,4,14,7,5,2,1,6,2,2,2,4,2,5,4,2,3,3,2,1,2,3,1
Kai Scott,,,,,,,,,,1,11,8,18,7,14,9,15,16,10,4,10,13,2,12,6,15,10,5,6,5,9,3,3,6,6,5,6,8,5,5,7,2,2,5,3,4,1,3,3,3,1,1
Ken Powell,,,,,,,,,,,0,8,9,8,8,16,6,4,3,13,15,8,13,2,6,7,4,6,5,7,5,14,5,6,4,2,2,1,0,3,5,3,7,3,2,5,2,1,1,2,1,1
Lynne M Summers,,,,,,,,,,,,5,5,13,10,9,10,9,11,7,6,12,5,7,6,4,5,7,9,5,6,5,9,7,4,6,6,4,4,5,5,5,2,5,1,4,3,4,5,4,2,1
Abbe Fletman,,,,,,,,,,,,,0,11,15,10,13,14,11,6,7,8,4,8,10,15,9,6,5,3,8,4,0,3,6,5,5,7,5,2,5,4,5,4,1,2,5,3,2,0,0,1
