col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,Lyris Younge,Ken Powell,Tracy B Roman,Kai Scott,Daine Grey Jr,Scott Diclaudio,Stephanie M Sawyer,Leon Goodman,Mia Roberts Perez,Abbe Fletman,Frances Fattah,Deborah Watson Stokes,Jon Marshall,Michael Fanning,Chris Mallios,Jennifer Schultz,Leon A King Ii,Vincent N Melchiorre,Lynne M Summers,Jodi Lobel,Thomas Martin,Rainy Papademetriou,Lucretia Clemons,Edward William Louden Jr,Wayne M D Bennett,Shanese Johnson,Vincent Furlong,James F Berardinelli,Anthony Kyriakakis,Sandjai Weaver,Marissa Brumbach,Betsy Wahl,Rania Major,Sherman Toppin,Stella Tsai,Brian T Ortelere,Joshua Hill,Vince Giusini,Chris Mccabe,Tangie M Boston,Starr Marshall Cash,Franklin A Bennett Iii,William J Ciancaglini,All
Sharon Williams Losier,68,"1,355","1,375",473,410,324,207,126,"1,579","1,440","1,522","1,176","1,168","1,292","1,073",802,896,827,645,589,644,672,627,507,470,661,513,352,372,347,424,473,408,436,336,259,223,300,286,289,340,304,288,233,213,162,185,207,190,124,120,All
Christine Hope,,24,999,289,369,289,232,178,"1,137",991,"1,051","1,082","1,126",749,964,515,861,863,598,624,385,632,578,548,454,576,489,348,360,357,394,256,340,404,358,259,233,270,294,315,332,266,257,228,218,167,220,199,193,134,123,All
Joffie C Pittman,,,32,442,218,137,105,192,"1,354","1,221","1,111","1,093","1,010","1,029",873,590,798,846,460,402,454,586,690,312,354,628,273,292,237,273,278,339,319,224,194,241,207,202,169,212,175,244,220,170,139,160,170,120,123,94,94,All
Matthew Perks,,,,11,114,148,101,136,436,495,426,330,294,366,215,508,192,246,235,233,347,134,172,250,233,97,210,167,190,192,163,325,194,162,173,216,129,137,94,123,130,102,119,161,151,109,93,59,63,79,61,All
Christian Dicicco,,,,,10,152,87,59,325,288,244,337,281,251,283,212,280,205,304,224,147,136,131,209,209,174,226,175,177,148,169,108,209,187,175,143,135,127,140,136,151,116,119,88,95,115,99,82,72,74,88,All
Gary S Silver,,,,,,8,118,83,248,266,243,221,285,187,172,293,144,165,224,193,179,118,76,237,193,86,208,147,207,176,138,150,162,155,224,171,107,125,111,113,142,107,84,146,110,102,69,47,62,83,58,All
Franklin A Bennett Iii,,,,,,,1,41,167,174,166,184,140,124,148,204,100,71,220,178,109,92,52,122,190,57,157,95,150,85,109,102,169,144,110,70,65,92,77,89,97,77,73,53,88,54,57,67,47,104,49,All
Daniel R Sulman,,,,,,,,1,153,153,114,226,132,68,148,135,155,168,119,148,58,76,133,134,130,59,106,114,92,100,101,63,107,93,82,64,120,63,92,110,67,64,92,46,72,74,68,46,38,41,42,All
